cell_id,Sphenopsis melanotis,Sphenopsis melanotis [melanotis Group],Sphenopsis melanotis ochracea,Sphenopsis melanotis piurae/macrophrys
83660dfffffffff,2.0,0.0,0.0,0.0
8366c6fffffffff,4.0,0.0,0.0,0.0
8366d3fffffffff,25.0,0.0,18.0,0.0
8366d5fffffffff,2.0,0.0,0.0,0.0
8366defffffffff,5.0,4.0,0.0,0.0
8366e6fffffffff,7.0,1.0,0.0,0.0
838f29fffffffff,1.0,0.0,1.0,0.0
838f2bfffffffff,2.0,0.0,1.0,0.0
838f4afffffffff,2.0,2.0,0.0,0.0
838f51fffffffff,2.0,0.0,0.0,0.0
838f54fffffffff,2.0,0.0,0.0,1.0
838f55fffffffff,2.0,0.0,0.0,2.0
