cell_id,Perisoreus canadensis,Perisoreus canadensis [canadensis Group],Perisoreus canadensis capitalis/bicolor,Perisoreus canadensis obscurus/griseus
820c47fffffffff,1.0,0.0,0.0,0.0
820c57fffffffff,9.0,2.0,0.0,0.0
820c77fffffffff,9.0,0.0,0.0,0.0
820ceffffffffff,2.0,0.0,0.0,0.0
820d4ffffffffff,2.0,0.0,0.0,0.0
820d77fffffffff,72.0,0.0,0.0,0.0
820e4ffffffffff,11.0,0.0,0.0,0.0
820e57fffffffff,2.0,0.0,0.0,0.0
820e67fffffffff,2.0,0.0,0.0,0.0
820e6ffffffffff,8.0,0.0,0.0,0.0
820e87fffffffff,5.0,5.0,0.0,0.0
820ec7fffffffff,27.0,0.0,0.0,0.0
820ecffffffffff,11.0,0.0,0.0,0.0
820eeffffffffff,75.0,0.0,0.0,0.0
821237fffffffff,3.0,0.0,0.0,0.0
821257fffffffff,7.0,7.0,0.0,0.0
82125ffffffffff,6.0,0.0,0.0,0.0
8212affffffffff,1.0,1.0,0.0,0.0
8212c7fffffffff,14.0,7.0,4.0,0.0
8212cffffffffff,7.0,2.0,2.0,0.0
8212dffffffffff,16.0,0.0,4.0,2.0
8212e7fffffffff,1.0,1.0,0.0,0.0
8212f7fffffffff,4.0,0.0,0.0,0.0
82134ffffffffff,6.0,0.0,0.0,0.0
821387fffffffff,3.0,0.0,0.0,0.0
8213a7fffffffff,1.0,0.0,0.0,0.0
8213b7fffffffff,3.0,0.0,0.0,0.0
821aa7fffffffff,1.0,0.0,0.0,0.0
822687fffffffff,38.0,0.0,12.0,0.0
82268ffffffffff,106.0,0.0,16.0,0.0
822697fffffffff,76.0,0.0,11.0,0.0
82269ffffffffff,10.0,0.0,1.0,0.0
8226a7fffffffff,1.0,0.0,0.0,0.0
82270ffffffffff,4.0,3.0,0.0,0.0
82271ffffffffff,2.0,0.0,0.0,0.0
82272ffffffffff,3.0,0.0,0.0,0.0
822747fffffffff,357.0,9.0,0.0,0.0
822757fffffffff,117.0,5.0,0.0,0.0
822767fffffffff,276.0,1.0,0.0,0.0
82276ffffffffff,2.0,0.0,0.0,0.0
822777fffffffff,99.0,6.0,0.0,0.0
82279ffffffffff,2.0,0.0,2.0,0.0
822807fffffffff,8.0,0.0,0.0,2.0
822817fffffffff,55.0,0.0,0.0,1.0
82281ffffffffff,86.0,0.0,0.0,18.0
822887fffffffff,5.0,0.0,1.0,0.0
82288ffffffffff,30.0,0.0,4.0,0.0
822897fffffffff,26.0,0.0,4.0,0.0
82289ffffffffff,8.0,0.0,7.0,0.0
8228affffffffff,27.0,0.0,4.0,17.0
8228d7fffffffff,64.0,1.0,2.0,18.0
8228dffffffffff,82.0,0.0,0.0,7.0
8228f7fffffffff,40.0,0.0,0.0,20.0
822997fffffffff,17.0,0.0,1.0,0.0
822a17fffffffff,7.0,0.0,0.0,0.0
822a37fffffffff,13.0,1.0,0.0,0.0
822b07fffffffff,1.0,1.0,0.0,0.0
822b0ffffffffff,3.0,0.0,0.0,0.0
822b17fffffffff,71.0,2.0,0.0,0.0
822b27fffffffff,1.0,1.0,0.0,0.0
822b37fffffffff,1.0,0.0,0.0,0.0
822b87fffffffff,50.0,0.0,0.0,0.0
822b8ffffffffff,86.0,26.0,0.0,0.0
822b97fffffffff,16.0,0.0,0.0,0.0
822b9ffffffffff,104.0,11.0,0.0,0.0
822ba7fffffffff,8.0,0.0,0.0,0.0
822baffffffffff,133.0,28.0,0.0,0.0
822bb7fffffffff,5.0,0.0,0.0,0.0
8248cffffffffff,2.0,0.0,0.0,0.0
8248dffffffffff,45.0,0.0,6.0,0.0
