cell_id,Glyphorynchus spirurus,Glyphorynchus spirurus [pectoralis Group],Glyphorynchus spirurus [spirurus Group],Glyphorynchus spirurus albigularis,Glyphorynchus spirurus [cuneatus Group]
834523fffffffff,2.0,0.0,0.0,0.0,0.0
83452efffffffff,7.0,0.0,0.0,0.0,0.0
835f01fffffffff,1.0,0.0,1.0,0.0,0.0
835f71fffffffff,2.0,0.0,0.0,0.0,0.0
836610fffffffff,1.0,0.0,0.0,0.0,0.0
836611fffffffff,2.0,0.0,0.0,0.0,0.0
836620fffffffff,1.0,0.0,0.0,0.0,0.0
8366a0fffffffff,15.0,0.0,0.0,0.0,0.0
8366a3fffffffff,3.0,0.0,0.0,0.0,0.0
8366a5fffffffff,3.0,0.0,0.0,0.0,0.0
8366b0fffffffff,3.0,0.0,0.0,0.0,0.0
8366b1fffffffff,1.0,0.0,0.0,0.0,0.0
8366b4fffffffff,5.0,1.0,0.0,0.0,0.0
8366b5fffffffff,5.0,0.0,0.0,0.0,0.0
8366d0fffffffff,3.0,1.0,0.0,0.0,0.0
8366defffffffff,8.0,0.0,5.0,0.0,0.0
8366e4fffffffff,2.0,0.0,0.0,0.0,0.0
83675cfffffffff,3.0,0.0,0.0,0.0,0.0
836792fffffffff,3.0,0.0,0.0,0.0,0.0
83679afffffffff,8.0,1.0,0.0,0.0,0.0
836d21fffffffff,7.0,0.0,0.0,0.0,0.0
836d2cfffffffff,15.0,3.0,0.0,0.0,0.0
836d2dfffffffff,2.0,0.0,0.0,0.0,0.0
836d31fffffffff,2.0,0.0,0.0,0.0,0.0
836d65fffffffff,6.0,0.0,0.0,0.0,0.0
836d69fffffffff,6.0,4.0,0.0,0.0,0.0
836d6dfffffffff,1.0,0.0,0.0,0.0,0.0
838a69fffffffff,1.0,0.0,0.0,0.0,0.0
838b46fffffffff,1.0,0.0,0.0,0.0,0.0
838f0dfffffffff,3.0,3.0,0.0,0.0,0.0
838f61fffffffff,2.0,0.0,0.0,0.0,0.0
