cell_id,Vireo plumbeus,Vireo plumbeus plumbeus/gravis,Vireo plumbeus notius/montanus
822627fffffffff,3.0,0.0,0.0
822687fffffffff,68.0,1.0,0.0
82268ffffffffff,221.0,3.0,0.0
822697fffffffff,175.0,2.0,0.0
82269ffffffffff,105.0,2.0,0.0
8226a7fffffffff,4.0,0.0,0.0
8226affffffffff,65.0,0.0,0.0
8226b7fffffffff,3.0,0.0,0.0
8226d7fffffffff,49.0,2.0,0.0
8226f7fffffffff,44.0,0.0,0.0
822787fffffffff,7.0,0.0,0.0
82278ffffffffff,13.0,0.0,0.0
822797fffffffff,6.0,0.0,0.0
82279ffffffffff,27.0,0.0,0.0
822817fffffffff,8.0,0.0,0.0
822837fffffffff,148.0,6.0,0.0
822887fffffffff,4.0,0.0,0.0
8228a7fffffffff,13.0,0.0,0.0
8228affffffffff,56.0,1.0,0.0
8228b7fffffffff,11.0,0.0,0.0
822917fffffffff,30.0,2.0,0.0
82291ffffffffff,21.0,0.0,0.0
822987fffffffff,22.0,0.0,0.0
82298ffffffffff,232.0,1.0,0.0
822997fffffffff,17.0,0.0,0.0
8229a7fffffffff,775.0,0.0,0.0
8229affffffffff,20.0,0.0,0.0
8229b7fffffffff,155.0,0.0,0.0
822af7fffffffff,7.0,0.0,0.0
82446ffffffffff,4.0,0.0,0.0
824527fffffffff,123.0,0.0,17.0
82452ffffffffff,11.0,7.0,0.0
824537fffffffff,9.0,0.0,0.0
82480ffffffffff,4.0,0.0,0.0
824817fffffffff,3.0,0.0,0.0
82482ffffffffff,1.0,0.0,0.0
824847fffffffff,43.0,0.0,0.0
82485ffffffffff,71.0,0.0,0.0
824877fffffffff,21.0,0.0,0.0
824887fffffffff,9.0,0.0,0.0
82488ffffffffff,22.0,0.0,0.0
824897fffffffff,12.0,1.0,0.0
82489ffffffffff,8.0,0.0,0.0
8248a7fffffffff,3.0,0.0,0.0
8248affffffffff,3.0,0.0,0.0
8248b7fffffffff,62.0,0.0,0.0
8248c7fffffffff,87.0,12.0,0.0
8248cffffffffff,39.0,0.0,0.0
8248d7fffffffff,25.0,0.0,0.0
8248dffffffffff,51.0,0.0,0.0
8248e7fffffffff,11.0,0.0,0.0
8248effffffffff,246.0,2.0,0.0
8248f7fffffffff,14.0,0.0,0.0
824987fffffffff,7.0,0.0,0.0
82498ffffffffff,3.0,0.0,0.0
824997fffffffff,19.0,8.0,0.0
82499ffffffffff,2.0,0.0,0.0
8249b7fffffffff,1.0,1.0,0.0
826d27fffffffff,4.0,0.0,0.0
826d2ffffffffff,97.0,0.0,67.0
826d37fffffffff,2.0,0.0,0.0
826d67fffffffff,59.0,0.0,11.0
