cell_id,Onychognathus fulgidus,Onychognathus fulgidus fulgidus,Onychognathus fulgidus hartlaubii/intermedius
825887fffffffff,6.0,0.0,0.0
825897fffffffff,5.0,0.0,0.0
8258d7fffffffff,4.0,0.0,0.0
8258dffffffffff,1.0,0.0,1.0
8258e7fffffffff,2.0,0.0,0.0
826a97fffffffff,1.0,0.0,0.0
826ac7fffffffff,50.0,0.0,0.0
826acffffffffff,8.0,0.0,0.0
826adffffffffff,36.0,0.0,0.0
826aeffffffffff,3.0,0.0,0.0
82750ffffffffff,255.0,0.0,30.0
827517fffffffff,1.0,0.0,0.0
82751ffffffffff,8.0,0.0,0.0
82752ffffffffff,127.0,0.0,14.0
8275a7fffffffff,1.0,0.0,0.0
8275affffffffff,5.0,0.0,0.0
8275b7fffffffff,1.0,0.0,0.0
828237fffffffff,1.0,0.0,0.0
828287fffffffff,11.0,0.0,0.0
82828ffffffffff,4.0,0.0,0.0
8282a7fffffffff,5.0,0.0,0.0
8282affffffffff,1.0,0.0,0.0
8282d7fffffffff,14.0,0.0,0.0
8282e7fffffffff,104.0,0.0,0.0
8282f7fffffffff,4.0,0.0,1.0
828317fffffffff,3.0,0.0,0.0
82839ffffffffff,2.0,0.0,0.0
8283affffffffff,6.0,0.0,0.0
