cell_id,Saucerottia beryllina,Saucerottia beryllina beryllina/viola,Saucerottia beryllina [devillei Group]
844520dffffffff,3.0,0.0,0.0
8445245ffffffff,6.0,0.0,0.0
8445249ffffffff,160.0,0.0,0.0
844524bffffffff,55.0,0.0,0.0
844524dffffffff,3.0,0.0,0.0
8445251ffffffff,8.0,0.0,0.0
844525bffffffff,7.0,0.0,0.0
844525dffffffff,1.0,0.0,0.0
844526bffffffff,2.0,0.0,0.0
8448017ffffffff,3.0,0.0,0.0
8448027ffffffff,1.0,0.0,0.0
844802bffffffff,4.0,0.0,0.0
8448035ffffffff,3.0,0.0,0.0
8448065ffffffff,1.0,0.0,0.0
84480adffffffff,211.0,0.0,0.0
8448147ffffffff,2.0,0.0,0.0
844815bffffffff,4.0,0.0,0.0
844818bffffffff,4.0,0.0,0.0
8448191ffffffff,1.0,0.0,0.0
8448193ffffffff,7.0,0.0,0.0
8448195ffffffff,3.0,0.0,0.0
844819dffffffff,11.0,0.0,0.0
84481d5ffffffff,2.0,0.0,0.0
84481d7ffffffff,21.0,0.0,0.0
8448321ffffffff,5.0,0.0,0.0
8448325ffffffff,13.0,0.0,0.0
8448331ffffffff,6.0,0.0,0.0
8448333ffffffff,6.0,0.0,0.0
8448337ffffffff,383.0,0.0,0.0
844833bffffffff,8.0,0.0,0.0
8448361ffffffff,1143.0,25.0,0.0
8448363ffffffff,25.0,0.0,0.0
8448365ffffffff,86.0,0.0,0.0
8448367ffffffff,97.0,0.0,0.0
8448369ffffffff,64.0,0.0,0.0
844836dffffffff,344.0,5.0,0.0
8448e01ffffffff,6.0,0.0,0.0
8448e07ffffffff,2.0,0.0,0.0
8448e43ffffffff,2.0,0.0,0.0
8448e49ffffffff,2.0,0.0,0.0
8448e4dffffffff,63.0,0.0,0.0
8448e63ffffffff,2.0,0.0,0.0
8449801ffffffff,468.0,0.0,0.0
8449803ffffffff,2.0,0.0,0.0
8449807ffffffff,6.0,0.0,0.0
8449809ffffffff,82.0,0.0,0.0
844980bffffffff,722.0,0.0,0.0
844980dffffffff,13.0,0.0,0.0
8449815ffffffff,12.0,0.0,0.0
8449829ffffffff,2.0,0.0,0.0
844982dffffffff,60.0,0.0,0.0
8449831ffffffff,1.0,0.0,0.0
8449835ffffffff,2.0,0.0,0.0
8449839ffffffff,2.0,0.0,0.0
844983bffffffff,4.0,0.0,0.0
8449843ffffffff,2.0,0.0,0.0
8449851ffffffff,8.0,0.0,0.0
8449853ffffffff,4.0,0.0,0.0
8449855ffffffff,91.0,9.0,0.0
8449857ffffffff,12.0,0.0,0.0
844985bffffffff,2.0,0.0,0.0
8449861ffffffff,164.0,28.0,0.0
8449863ffffffff,37.0,0.0,0.0
8449865ffffffff,79.0,8.0,0.0
8449869ffffffff,1.0,1.0,0.0
844986bffffffff,2.0,2.0,0.0
844986dffffffff,59.0,9.0,0.0
84498c9ffffffff,39.0,3.0,0.0
84498d3ffffffff,1.0,0.0,0.0
84498d9ffffffff,2.0,0.0,0.0
84498dbffffffff,4.0,0.0,0.0
84498edffffffff,6.0,0.0,0.0
844990bffffffff,2.0,0.0,0.0
844990dffffffff,1.0,0.0,0.0
8449943ffffffff,42.0,0.0,0.0
8449945ffffffff,9.0,0.0,0.0
844994bffffffff,202.0,0.0,0.0
8449951ffffffff,278.0,48.0,0.0
8449953ffffffff,110.0,7.0,0.0
8449957ffffffff,2.0,0.0,0.0
8449959ffffffff,5631.0,665.0,0.0
844995bffffffff,2490.0,254.0,0.0
844995dffffffff,9.0,0.0,0.0
8449961ffffffff,55.0,2.0,0.0
8449963ffffffff,256.0,27.0,0.0
8449969ffffffff,451.0,0.0,0.0
844996bffffffff,52.0,0.0,0.0
