cell_id,Strix huhula,Strix huhula [undescribed cloud-forest form]
835f03fffffffff,12.0,0.0
835f06fffffffff,1.0,0.0
835f08fffffffff,2.0,0.0
835f10fffffffff,1.0,0.0
835f12fffffffff,1.0,0.0
835f15fffffffff,1.0,0.0
835f1cfffffffff,9.0,0.0
835f2bfffffffff,135.0,0.0
835f36fffffffff,1.0,0.0
835f40fffffffff,3.0,0.0
835f46fffffffff,1.0,0.0
835f68fffffffff,3.0,0.0
835f71fffffffff,1.0,0.0
83666afffffffff,2.0,0.0
83666efffffffff,5.0,0.0
8366c0fffffffff,70.0,0.0
8366c2fffffffff,16.0,0.0
8366c3fffffffff,2.0,0.0
8366cefffffffff,2.0,0.0
8366d8fffffffff,15.0,0.0
8366dafffffffff,3.0,0.0
8366dbfffffffff,5.0,0.0
8366dcfffffffff,93.0,0.0
8366ddfffffffff,4.0,0.0
8366defffffffff,1030.0,841.0
8366e8fffffffff,2.0,0.0
8366eafffffffff,2.0,0.0
8366eefffffffff,2.0,0.0
838046fffffffff,2.0,0.0
838065fffffffff,4.0,0.0
838066fffffffff,3.0,0.0
838070fffffffff,1.0,0.0
838075fffffffff,2.0,0.0
838121fffffffff,7.0,0.0
838130fffffffff,2.0,0.0
838134fffffffff,9.0,0.0
838142fffffffff,1.0,0.0
838145fffffffff,1.0,0.0
83814afffffffff,7.0,0.0
83814dfffffffff,13.0,0.0
83814efffffffff,1.0,0.0
83815afffffffff,3.0,0.0
83815dfffffffff,13.0,0.0
838163fffffffff,33.0,0.0
838171fffffffff,1.0,0.0
838175fffffffff,2.0,0.0
838a04fffffffff,2.0,0.0
838a05fffffffff,9.0,0.0
838a23fffffffff,2.0,0.0
838a24fffffffff,4.0,0.0
838a25fffffffff,1.0,0.0
838a45fffffffff,6.0,0.0
838a63fffffffff,7.0,0.0
838a68fffffffff,7.0,0.0
838a69fffffffff,40.0,0.0
838a6dfffffffff,38.0,0.0
838a92fffffffff,6.0,0.0
838a9cfffffffff,6.0,0.0
838aa9fffffffff,1.0,0.0
838aaafffffffff,5.0,0.0
838adcfffffffff,1.0,0.0
838af0fffffffff,4.0,0.0
838af6fffffffff,51.0,0.0
838b0dfffffffff,1.0,0.0
838b21fffffffff,2.0,0.0
838b22fffffffff,2.0,0.0
838b29fffffffff,1.0,0.0
838b40fffffffff,3.0,0.0
838b44fffffffff,61.0,0.0
838b45fffffffff,4.0,0.0
838b46fffffffff,5.0,0.0
838b4efffffffff,2.0,0.0
838b51fffffffff,4.0,0.0
838b56fffffffff,4.0,0.0
838b5cfffffffff,1.0,0.0
838b61fffffffff,164.0,0.0
838b62fffffffff,7.0,0.0
838b63fffffffff,58.0,0.0
838b69fffffffff,2.0,0.0
838b6efffffffff,20.0,0.0
838b71fffffffff,33.0,0.0
838b74fffffffff,10.0,0.0
838b75fffffffff,2.0,0.0
838b82fffffffff,2.0,0.0
838b84fffffffff,1.0,0.0
838b99fffffffff,5.0,0.0
838b9dfffffffff,11.0,0.0
838ba0fffffffff,1.0,0.0
838ba4fffffffff,2.0,0.0
838ba6fffffffff,4.0,0.0
838bb5fffffffff,1.0,0.0
838f40fffffffff,58.0,0.0
838f42fffffffff,18.0,0.0
838f43fffffffff,2.0,0.0
838f46fffffffff,19.0,0.0
838f48fffffffff,4.0,0.0
838f61fffffffff,1.0,0.0
838f6bfffffffff,1.0,0.0
838f6cfffffffff,5.0,0.0
838f71fffffffff,3.0,0.0
838f73fffffffff,2.0,0.0
838f74fffffffff,3.0,0.0
838f76fffffffff,6.0,0.0
83a801fffffffff,5.0,0.0
83a806fffffffff,6.0,0.0
83a810fffffffff,21.0,0.0
83a812fffffffff,7.0,0.0
83a815fffffffff,15.0,0.0
83a816fffffffff,3.0,0.0
83a81bfffffffff,4.0,0.0
83a81efffffffff,32.0,0.0
83a82afffffffff,2.0,0.0
83a831fffffffff,2.0,0.0
83a842fffffffff,3.0,0.0
83a843fffffffff,2.0,0.0
83a846fffffffff,25.0,0.0
83a856fffffffff,2.0,0.0
83a859fffffffff,138.0,0.0
83a880fffffffff,7.0,0.0
83a88cfffffffff,7.0,0.0
83a88dfffffffff,5.0,0.0
83a891fffffffff,13.0,0.0
83a8a1fffffffff,3.0,0.0
83a8a2fffffffff,26.0,0.0
83a8a3fffffffff,12.0,0.0
83a8a5fffffffff,11.0,0.0
83a8a9fffffffff,2.0,0.0
83a8c0fffffffff,4.0,0.0
83a8c2fffffffff,4.0,0.0
83a8d1fffffffff,12.0,0.0
83a942fffffffff,12.0,0.0
83a950fffffffff,12.0,0.0
83a953fffffffff,79.0,0.0
83a95efffffffff,2.0,0.0
83b342fffffffff,50.0,0.0
83b351fffffffff,1.0,0.0
