cell_id,Cepphus grylle,Cepphus grylle mandtii,Cepphus grylle [grylle Group]
83002dfffffffff,2.0,2.0,0.0
830153fffffffff,2.0,0.0,0.0
83015afffffffff,31.0,31.0,0.0
83015efffffffff,4.0,2.0,0.0
830241fffffffff,2.0,2.0,0.0
83024cfffffffff,10.0,0.0,0.0
830689fffffffff,3.0,0.0,0.0
830696fffffffff,1.0,0.0,0.0
8306d1fffffffff,2.0,0.0,0.0
8306d4fffffffff,2.0,0.0,0.0
8306d6fffffffff,2.0,0.0,0.0
8306ddfffffffff,1.0,0.0,0.0
83074efffffffff,1.0,0.0,0.0
830758fffffffff,2.0,0.0,0.0
83075efffffffff,2.0,0.0,0.0
830762fffffffff,9.0,0.0,0.0
830763fffffffff,2.0,0.0,0.0
830773fffffffff,2.0,2.0,0.0
83088efffffffff,2.0,0.0,2.0
830893fffffffff,1.0,0.0,0.0
83089efffffffff,9.0,0.0,0.0
830c14fffffffff,17.0,2.0,0.0
830c15fffffffff,2.0,0.0,0.0
830ca4fffffffff,54.0,1.0,0.0
830d03fffffffff,31.0,7.0,0.0
830d66fffffffff,62.0,9.0,0.0
830e49fffffffff,3.0,0.0,0.0
830e80fffffffff,6.0,0.0,0.0
830eccfffffffff,33.0,0.0,0.0
830ee1fffffffff,1.0,0.0,0.0
830ee8fffffffff,2.0,0.0,0.0
830eeafffffffff,37.0,0.0,0.0
830eeefffffffff,3.0,0.0,0.0
830f48fffffffff,2.0,0.0,0.0
831126fffffffff,1.0,0.0,0.0
8312b0fffffffff,5.0,0.0,0.0
831616fffffffff,1.0,1.0,0.0
831801fffffffff,2.0,0.0,0.0
831805fffffffff,8.0,0.0,2.0
83182cfffffffff,2.0,0.0,0.0
831846fffffffff,4.0,0.0,0.0
831870fffffffff,11.0,0.0,0.0
831876fffffffff,1.0,0.0,0.0
83190afffffffff,4.0,0.0,0.0
83190efffffffff,3.0,0.0,0.0
83191dfffffffff,2.0,0.0,0.0
831926fffffffff,2.0,0.0,2.0
83192cfffffffff,2.0,0.0,0.0
831940fffffffff,2.0,0.0,0.0
831941fffffffff,26.0,2.0,2.0
831946fffffffff,4.0,0.0,0.0
831948fffffffff,3.0,0.0,0.0
83194afffffffff,6.0,0.0,0.0
83194cfffffffff,3.0,0.0,0.0
831959fffffffff,5.0,0.0,0.0
83195bfffffffff,7.0,0.0,0.0
831968fffffffff,34.0,0.0,0.0
83196bfffffffff,16.0,0.0,0.0
831972fffffffff,4.0,0.0,0.0
831973fffffffff,3.0,0.0,0.0
831aa0fffffffff,30.0,0.0,0.0
831aa2fffffffff,6.0,0.0,0.0
831aa3fffffffff,34.0,0.0,4.0
831aa4fffffffff,5.0,1.0,0.0
831ab1fffffffff,1.0,0.0,0.0
831b83fffffffff,3.0,0.0,0.0
831b8efffffffff,1.0,0.0,0.0
831b98fffffffff,19.0,0.0,0.0
831f00fffffffff,2.0,0.0,0.0
831f01fffffffff,7.0,0.0,0.0
831f02fffffffff,2.0,0.0,0.0
831f06fffffffff,1.0,0.0,0.0
831f0cfffffffff,7.0,0.0,0.0
831f0efffffffff,2.0,0.0,0.0
831f31fffffffff,1.0,0.0,0.0
831f72fffffffff,8.0,0.0,0.0
83225afffffffff,2.0,0.0,0.0
8322dbfffffffff,19.0,5.0,0.0
83276cfffffffff,3.0,1.0,0.0
832a06fffffffff,14.0,0.0,0.0
832a10fffffffff,7.0,0.0,0.0
832a13fffffffff,79.0,0.0,0.0
832a15fffffffff,128.0,5.0,11.0
832a30fffffffff,508.0,0.0,3.0
832a31fffffffff,242.0,79.0,72.0
832a33fffffffff,130.0,0.0,0.0
832a34fffffffff,224.0,0.0,15.0
832aa4fffffffff,3.0,0.0,3.0
832aadfffffffff,3.0,0.0,0.0
832ad0fffffffff,17.0,0.0,0.0
832ad3fffffffff,48.0,0.0,0.0
832af0fffffffff,7.0,0.0,0.0
832b00fffffffff,6.0,0.0,0.0
832b05fffffffff,11.0,0.0,0.0
832b06fffffffff,4.0,0.0,0.0
832b0afffffffff,51.0,0.0,0.0
832b0cfffffffff,3.0,0.0,0.0
832b0efffffffff,9.0,0.0,0.0
832b12fffffffff,36.0,0.0,0.0
832b16fffffffff,56.0,0.0,0.0
832b18fffffffff,356.0,0.0,0.0
832b19fffffffff,2.0,0.0,0.0
832b1afffffffff,4.0,0.0,0.0
832b1bfffffffff,234.0,0.0,0.0
832b21fffffffff,6.0,0.0,2.0
832b23fffffffff,2.0,0.0,1.0
832b24fffffffff,5.0,0.0,0.0
832b25fffffffff,6.0,0.0,0.0
832b2afffffffff,9.0,0.0,0.0
832b2cfffffffff,6.0,0.0,0.0
832b2efffffffff,14.0,0.0,0.0
832b30fffffffff,10.0,0.0,0.0
832b31fffffffff,11.0,0.0,0.0
832b33fffffffff,1.0,0.0,0.0
832ba0fffffffff,1.0,0.0,0.0
832ba5fffffffff,2.0,0.0,0.0
832bacfffffffff,11.0,0.0,0.0
