cell_id,Pheugopedius sclateri,Pheugopedius sclateri columbianus,Pheugopedius sclateri paucimaculatus,Pheugopedius sclateri sclateri
836608fffffffff,32.0,3.0,0.0,0.0
83660afffffffff,1.0,0.0,0.0,0.0
836618fffffffff,29.0,7.0,0.0,0.0
836619fffffffff,4.0,2.0,0.0,0.0
83661bfffffffff,40.0,3.0,0.0,0.0
8366e0fffffffff,436.0,64.0,0.0,0.0
8366e4fffffffff,628.0,127.0,0.0,0.0
8366e6fffffffff,1235.0,84.0,0.0,0.0
8366f1fffffffff,2.0,0.0,0.0,0.0
8366f5fffffffff,72.0,15.0,0.0,0.0
838f08fffffffff,1.0,0.0,0.0,0.0
838f09fffffffff,13.0,0.0,0.0,0.0
838f0dfffffffff,694.0,0.0,81.0,0.0
838f28fffffffff,30.0,0.0,7.0,0.0
838f29fffffffff,16.0,0.0,0.0,0.0
838f2afffffffff,526.0,0.0,44.0,0.0
838f2bfffffffff,282.0,0.0,31.0,0.0
838f2cfffffffff,55.0,0.0,0.0,0.0
838f2efffffffff,34.0,0.0,0.0,0.0
838f42fffffffff,1.0,0.0,0.0,0.0
838f50fffffffff,158.0,0.0,0.0,3.0
838f54fffffffff,337.0,0.0,0.0,99.0
838f55fffffffff,420.0,0.0,0.0,177.0
838f56fffffffff,1.0,0.0,0.0,0.0
838f72fffffffff,97.0,0.0,0.0,37.0
838f73fffffffff,6.0,0.0,0.0,2.0
838f76fffffffff,3.0,0.0,0.0,0.0
