cell_id,Camaroptera brachyura,Camaroptera brachyura [brevicaudata Group],Camaroptera brachyura [brachyura Group]
8454a9bffffffff,2.0,2.0,0.0
8454e21ffffffff,1.0,0.0,0.0
8454e25ffffffff,1.0,0.0,0.0
846a697ffffffff,3.0,0.0,0.0
847a413ffffffff,1.0,0.0,0.0
847a4cbffffffff,1.0,0.0,0.0
847a73bffffffff,3.0,3.0,0.0
847acd5ffffffff,4.0,4.0,0.0
847ad97ffffffff,2.0,2.0,0.0
847b48dffffffff,7.0,0.0,7.0
847b4c5ffffffff,24.0,0.0,15.0
847b4c7ffffffff,80.0,0.0,44.0
847b4c9ffffffff,2.0,0.0,0.0
847b4cbffffffff,10.0,0.0,2.0
847b4ebffffffff,2.0,0.0,0.0
8497035ffffffff,3.0,0.0,3.0
8497291ffffffff,6.0,6.0,0.0
849729bffffffff,1.0,1.0,0.0
84972e3ffffffff,7.0,3.0,0.0
8497485ffffffff,1.0,1.0,0.0
84974abffffffff,1.0,1.0,0.0
84974e5ffffffff,2.0,2.0,0.0
8497513ffffffff,4.0,4.0,0.0
84bcd0dffffffff,2.0,0.0,2.0
84bcd67ffffffff,1.0,0.0,1.0
84bcdc5ffffffff,2.0,2.0,0.0
84bcdcdffffffff,2.0,2.0,0.0
84bcdd1ffffffff,2.0,2.0,0.0
84bcf25ffffffff,1.0,0.0,1.0
