cell_id,Sphenopsis melanotis,Sphenopsis melanotis [melanotis Group],Sphenopsis melanotis ochracea,Sphenopsis melanotis piurae/macrophrys
82660ffffffffff,47.0,0.0,0.0,0.0
82661ffffffffff,127.0,2.0,0.0,0.0
8266c7fffffffff,24.0,0.0,0.0,0.0
8266d7fffffffff,541.0,4.0,294.0,0.0
8266dffffffffff,1952.0,394.0,0.0,0.0
8266e7fffffffff,2787.0,138.0,0.0,0.0
8266f7fffffffff,39.0,0.0,0.0,0.0
828b27fffffffff,14.0,0.0,0.0,0.0
828b2ffffffffff,41.0,1.0,0.0,0.0
828b67fffffffff,688.0,38.0,0.0,0.0
828b6ffffffffff,20.0,1.0,0.0,0.0
828b77fffffffff,30.0,0.0,0.0,0.0
828e67fffffffff,96.0,0.0,0.0,0.0
828e6ffffffffff,2.0,0.0,0.0,0.0
828f0ffffffffff,51.0,0.0,0.0,42.0
828f2ffffffffff,5.0,0.0,0.0,0.0
828f47fffffffff,22.0,0.0,0.0,0.0
828f4ffffffffff,3.0,0.0,0.0,0.0
828f57fffffffff,89.0,0.0,0.0,0.0
828f5ffffffffff,45.0,0.0,0.0,0.0
828f77fffffffff,96.0,0.0,0.0,0.0
82b327fffffffff,26.0,1.0,0.0,0.0
