cell_id,Poecile montanus,Poecile montanus [montanus Group],Poecile montanus [songarus Group]
830125fffffffff,2.0,0.0,0.0
830126fffffffff,22.0,0.0,0.0
830130fffffffff,1.0,0.0,0.0
830131fffffffff,1.0,0.0,0.0
830134fffffffff,11.0,0.0,0.0
830135fffffffff,51.0,5.0,0.0
830802fffffffff,2.0,0.0,0.0
830806fffffffff,7.0,0.0,0.0
830810fffffffff,10.0,5.0,0.0
830811fffffffff,12.0,6.0,0.0
830812fffffffff,49.0,9.0,0.0
830813fffffffff,8.0,0.0,0.0
830814fffffffff,19.0,1.0,0.0
830815fffffffff,9.0,0.0,0.0
830816fffffffff,5.0,1.0,0.0
830818fffffffff,4.0,2.0,0.0
830819fffffffff,9.0,0.0,0.0
83081dfffffffff,8.0,0.0,0.0
83081efffffffff,20.0,0.0,0.0
830829fffffffff,5.0,0.0,0.0
830832fffffffff,7.0,0.0,0.0
830833fffffffff,12.0,0.0,0.0
830836fffffffff,3.0,0.0,0.0
830880fffffffff,34.0,9.0,0.0
830882fffffffff,5.0,4.0,0.0
830883fffffffff,4.0,0.0,0.0
830884fffffffff,27.0,14.0,0.0
830885fffffffff,14.0,4.0,0.0
830886fffffffff,27.0,7.0,0.0
830888fffffffff,12.0,2.0,0.0
83088afffffffff,7.0,2.0,0.0
83088bfffffffff,2.0,0.0,0.0
83088efffffffff,15.0,9.0,0.0
830893fffffffff,9.0,0.0,0.0
830895fffffffff,26.0,9.0,0.0
830898fffffffff,32.0,3.0,0.0
830899fffffffff,39.0,16.0,0.0
83089afffffffff,80.0,1.0,0.0
83089bfffffffff,7.0,2.0,0.0
83089dfffffffff,46.0,0.0,0.0
83089efffffffff,14.0,0.0,0.0
8308a0fffffffff,5.0,2.0,0.0
8308a2fffffffff,1.0,0.0,0.0
8308a3fffffffff,1.0,0.0,0.0
8308a4fffffffff,15.0,8.0,0.0
8308a5fffffffff,24.0,7.0,0.0
8308a6fffffffff,6.0,0.0,0.0
8308a8fffffffff,2.0,0.0,0.0
8308a9fffffffff,4.0,0.0,0.0
8308acfffffffff,2.0,0.0,0.0
8308b0fffffffff,2.0,0.0,0.0
8308b1fffffffff,2.0,0.0,0.0
8308b3fffffffff,10.0,0.0,0.0
8308b6fffffffff,9.0,3.0,0.0
8308c1fffffffff,36.0,4.0,0.0
8308c2fffffffff,10.0,6.0,0.0
8308c3fffffffff,7.0,1.0,0.0
8308c5fffffffff,1.0,0.0,0.0
8308c8fffffffff,21.0,2.0,0.0
