cell_id,Acrocephalus scirpaceus,Acrocephalus scirpaceus scirpaceus,Acrocephalus scirpaceus fuscus,Acrocephalus scirpaceus avicenniae,Acrocephalus scirpaceus ammon,Acrocephalus scirpaceus [baeticatus Group]
820887fffffffff,144.0,0.0,0.0,0.0,0.0,0.0
82088ffffffffff,7.0,4.0,0.0,0.0,0.0,0.0
820897fffffffff,26.0,0.0,0.0,0.0,0.0,0.0
82089ffffffffff,214.0,44.0,0.0,0.0,0.0,0.0
8208a7fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8208b7fffffffff,111.0,0.0,0.0,0.0,0.0,0.0
8208dffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8208f7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
820987fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
820997fffffffff,24.0,7.0,0.0,0.0,0.0,0.0
82099ffffffffff,39.0,0.0,0.0,0.0,0.0,0.0
8209a7fffffffff,37.0,1.0,0.0,0.0,0.0,0.0
8210dffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821107fffffffff,19.0,0.0,0.0,0.0,0.0,0.0
821127fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
82112ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821137fffffffff,20.0,0.0,0.0,0.0,0.0,0.0
821187fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82118ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8211a7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8211affffffffff,50.0,6.0,0.0,0.0,0.0,0.0
821807fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82180ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821827fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82182ffffffffff,214.0,0.0,0.0,0.0,0.0,0.0
821847fffffffff,91.0,9.0,0.0,0.0,0.0,0.0
82184ffffffffff,1652.0,0.0,0.0,0.0,0.0,0.0
82185ffffffffff,61.0,0.0,0.0,0.0,0.0,0.0
821867fffffffff,93.0,6.0,0.0,0.0,0.0,0.0
82186ffffffffff,115.0,2.0,0.0,0.0,0.0,0.0
821877fffffffff,172.0,45.0,0.0,0.0,0.0,0.0
82192ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0
821947fffffffff,2841.0,488.0,0.0,0.0,0.0,0.0
82194ffffffffff,2842.0,267.0,0.0,0.0,0.0,0.0
821957fffffffff,219.0,5.0,0.0,0.0,0.0,0.0
82195ffffffffff,1759.0,76.0,0.0,0.0,0.0,0.0
82196ffffffffff,1149.0,10.0,0.0,0.0,0.0,0.0
821977fffffffff,85.0,2.0,0.0,0.0,0.0,0.0
821e07fffffffff,1349.0,79.0,0.0,0.0,0.0,0.0
821e0ffffffffff,777.0,20.0,0.0,0.0,0.0,0.0
821e17fffffffff,210.0,4.0,0.0,0.0,0.0,0.0
821e1ffffffffff,398.0,14.0,0.0,0.0,0.0,0.0
821e27fffffffff,319.0,5.0,0.0,0.0,0.0,0.0
821e2ffffffffff,84.0,0.0,0.0,0.0,0.0,0.0
821e37fffffffff,1260.0,4.0,0.0,0.0,0.0,0.0
821e47fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
821e4ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821e57fffffffff,55.0,0.0,0.0,0.0,0.0,0.0
821e5ffffffffff,195.0,0.0,0.0,0.0,0.0,0.0
821e67fffffffff,20.0,0.0,0.0,0.0,0.0,0.0
821e6ffffffffff,27.0,0.0,0.0,0.0,0.0,0.0
821e77fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
821e87fffffffff,98.0,0.0,0.0,0.0,0.0,0.0
821e8ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0
821e97fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
821e9ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0
821ea7fffffffff,206.0,0.0,0.0,0.0,0.0,0.0
821eaffffffffff,84.0,0.0,0.0,0.0,0.0,0.0
821eb7fffffffff,55.0,6.0,0.0,0.0,0.0,0.0
821ec7fffffffff,329.0,0.0,0.0,0.0,0.0,0.0
821ecffffffffff,610.0,4.0,0.0,0.0,0.0,0.0
821ed7fffffffff,128.0,0.0,0.0,0.0,0.0,0.0
821edffffffffff,393.0,0.0,0.0,0.0,0.0,0.0
821ee7fffffffff,28.0,0.0,0.0,0.0,0.0,0.0
821eeffffffffff,191.0,0.0,0.0,0.0,0.0,0.0
821ef7fffffffff,26.0,0.0,0.0,0.0,0.0,0.0
821f07fffffffff,473.0,120.0,0.0,0.0,0.0,0.0
821f0ffffffffff,137.0,0.0,0.0,0.0,0.0,0.0
821f17fffffffff,265.0,3.0,0.0,0.0,0.0,0.0
821f1ffffffffff,571.0,22.0,0.0,0.0,0.0,0.0
821f27fffffffff,135.0,16.0,0.0,0.0,0.0,0.0
821f2ffffffffff,368.0,195.0,0.0,0.0,0.0,0.0
821f37fffffffff,117.0,18.0,0.0,0.0,0.0,0.0
821f47fffffffff,25.0,0.0,0.0,0.0,0.0,0.0
821f4ffffffffff,17.0,0.0,0.0,0.0,0.0,0.0
