cell_id,Edolisoma salvadorii,Edolisoma salvadorii salvadorii,Edolisoma salvadorii talautense
8473b09ffffffff,25.0,0.0,0.0
8473b55ffffffff,2.0,0.0,0.0
8473b61ffffffff,13.0,0.0,0.0
