cell_id,Saxicola torquatus,Saxicola torquatus [torquatus Group],Saxicola torquatus albofasciatus,Saxicola torquatus sibilla
835202fffffffff,52.0,5.0,0.0,0.0
835206fffffffff,7.0,1.0,0.0,0.0
835215fffffffff,11.0,0.0,0.0,0.0
83521bfffffffff,1.0,0.0,0.0,0.0
835280fffffffff,1.0,0.0,0.0,0.0
835286fffffffff,3.0,0.0,0.0,0.0
835291fffffffff,4.0,0.0,4.0,0.0
835298fffffffff,5.0,0.0,0.0,0.0
835299fffffffff,2.0,0.0,0.0,0.0
83529bfffffffff,50.0,0.0,16.0,0.0
8352d3fffffffff,2.0,0.0,0.0,0.0
835410fffffffff,72.0,38.0,0.0,0.0
835411fffffffff,2.0,2.0,0.0,0.0
835413fffffffff,18.0,4.0,0.0,0.0
8358d1fffffffff,4.0,2.0,0.0,0.0
8358dcfffffffff,2.0,2.0,0.0,0.0
8358defffffffff,5.0,0.0,0.0,0.0
836a49fffffffff,4.0,0.0,3.0,0.0
836ac0fffffffff,17.0,0.0,0.0,0.0
836ac1fffffffff,36.0,15.0,0.0,0.0
836ac2fffffffff,1.0,0.0,0.0,0.0
836ac3fffffffff,32.0,3.0,0.0,0.0
836ac8fffffffff,3.0,0.0,0.0,0.0
836acafffffffff,6.0,2.0,0.0,0.0
836accfffffffff,6.0,2.0,0.0,0.0
836acdfffffffff,6.0,2.0,0.0,0.0
836acefffffffff,15.0,3.0,0.0,0.0
836ad8fffffffff,117.0,14.0,0.0,0.0
836adafffffffff,8.0,2.0,0.0,0.0
836adcfffffffff,573.0,88.0,0.0,0.0
836addfffffffff,14.0,0.0,0.0,0.0
836adefffffffff,163.0,13.0,0.0,0.0
836ae8fffffffff,1.0,0.0,0.0,0.0
836aeafffffffff,4.0,0.0,0.0,0.0
837a40fffffffff,15.0,6.0,0.0,0.0
837a41fffffffff,6.0,3.0,0.0,0.0
837a43fffffffff,2.0,2.0,0.0,0.0
837a45fffffffff,178.0,41.0,0.0,0.0
837a48fffffffff,11.0,0.0,0.0,0.0
837a4cfffffffff,71.0,6.0,0.0,0.0
837a4dfffffffff,59.0,8.0,0.0,0.0
837a61fffffffff,5.0,0.0,0.0,0.0
837a64fffffffff,47.0,20.0,0.0,0.0
837a65fffffffff,25.0,9.0,0.0,0.0
837a68fffffffff,6.0,2.0,0.0,0.0
837a69fffffffff,3.0,0.0,0.0,0.0
837a6afffffffff,206.0,52.0,0.0,0.0
837a6bfffffffff,14.0,4.0,0.0,0.0
837a6cfffffffff,5.0,0.0,0.0,0.0
837a6dfffffffff,30.0,4.0,0.0,0.0
837a6efffffffff,131.0,28.0,0.0,0.0
837ac1fffffffff,1.0,0.0,0.0,0.0
837ac8fffffffff,2.0,0.0,2.0,0.0
837acafffffffff,3.0,0.0,0.0,0.0
837accfffffffff,110.0,0.0,54.0,0.0
837acdfffffffff,20.0,0.0,11.0,0.0
837acefffffffff,18.0,0.0,2.0,0.0
837ad9fffffffff,8.0,0.0,6.0,0.0
837aebfffffffff,3.0,0.0,0.0,0.0
837b48fffffffff,20.0,8.0,0.0,0.0
837b4bfffffffff,124.0,26.0,0.0,0.0
837b4dfffffffff,2.0,0.0,0.0,0.0
838212fffffffff,2.0,0.0,0.0,0.0
838218fffffffff,3.0,0.0,0.0,0.0
83821bfffffffff,5.0,0.0,0.0,0.0
8382a5fffffffff,4.0,2.0,0.0,0.0
8382a8fffffffff,2.0,0.0,0.0,0.0
8382d0fffffffff,4.0,2.0,0.0,0.0
8382d1fffffffff,3.0,3.0,0.0,0.0
8382d3fffffffff,22.0,6.0,0.0,0.0
8382f0fffffffff,4.0,0.0,0.0,0.0
8382f4fffffffff,8.0,0.0,0.0,0.0
838312fffffffff,8.0,3.0,0.0,0.0
838326fffffffff,6.0,1.0,0.0,0.0
838330fffffffff,9.0,4.0,0.0,0.0
838332fffffffff,5.0,5.0,0.0,0.0
838333fffffffff,43.0,12.0,0.0,0.0
83838afffffffff,1.0,1.0,0.0,0.0
8383acfffffffff,3.0,1.0,0.0,0.0
839600fffffffff,6.0,4.0,0.0,0.0
839601fffffffff,9.0,0.0,0.0,0.0
839602fffffffff,39.0,10.0,0.0,0.0
839604fffffffff,6.0,4.0,0.0,0.0
839609fffffffff,36.0,13.0,0.0,0.0
83960bfffffffff,11.0,6.0,0.0,0.0
839615fffffffff,24.0,11.0,0.0,0.0
83961afffffffff,5.0,0.0,0.0,0.0
83961cfffffffff,2.0,0.0,0.0,0.0
839621fffffffff,2.0,2.0,0.0,0.0
839623fffffffff,3.0,1.0,0.0,0.0
839626fffffffff,2.0,0.0,0.0,0.0
839628fffffffff,4.0,2.0,0.0,0.0
83962bfffffffff,22.0,12.0,0.0,0.0
83962cfffffffff,15.0,5.0,0.0,0.0
83962efffffffff,4.0,2.0,0.0,0.0
839644fffffffff,2.0,0.0,0.0,0.0
839646fffffffff,2.0,0.0,0.0,0.0
839648fffffffff,1.0,0.0,0.0,0.0
83964cfffffffff,1.0,0.0,0.0,0.0
839656fffffffff,14.0,5.0,0.0,0.0
839662fffffffff,5.0,0.0,0.0,0.0
83966bfffffffff,1.0,0.0,0.0,0.0
83966cfffffffff,1.0,0.0,0.0,0.0
839675fffffffff,9.0,2.0,0.0,0.0
839686fffffffff,2.0,0.0,0.0,0.0
839690fffffffff,3.0,1.0,0.0,0.0
839692fffffffff,287.0,55.0,0.0,0.0
839693fffffffff,346.0,58.0,0.0,0.0
8396a0fffffffff,15.0,8.0,0.0,0.0
8396a2fffffffff,31.0,0.0,0.0,0.0
8396a5fffffffff,65.0,2.0,0.0,0.0
8396a6fffffffff,2.0,0.0,0.0,0.0
8396a8fffffffff,6.0,4.0,0.0,0.0
8396aafffffffff,4.0,0.0,0.0,0.0
8396acfffffffff,2.0,2.0,0.0,0.0
8396b0fffffffff,25.0,0.0,0.0,0.0
8396b1fffffffff,18.0,4.0,0.0,0.0
8396b2fffffffff,6.0,5.0,0.0,0.0
8396b4fffffffff,5.0,2.0,0.0,0.0
8396b5fffffffff,81.0,11.0,0.0,0.0
8396b6fffffffff,34.0,8.0,0.0,0.0
839700fffffffff,9.0,0.0,0.0,0.0
839702fffffffff,31.0,3.0,0.0,0.0
839703fffffffff,52.0,14.0,0.0,0.0
83970afffffffff,8.0,1.0,0.0,0.0
83970cfffffffff,6.0,5.0,0.0,0.0
839711fffffffff,12.0,8.0,0.0,0.0
839719fffffffff,75.0,14.0,0.0,0.0
83971cfffffffff,93.0,11.0,0.0,0.0
83971dfffffffff,12.0,5.0,0.0,0.0
839728fffffffff,14.0,0.0,0.0,0.0
839729fffffffff,1.0,0.0,0.0,0.0
83972cfffffffff,9.0,5.0,0.0,0.0
83972dfffffffff,119.0,36.0,0.0,0.0
83972efffffffff,12.0,7.0,0.0,0.0
839735fffffffff,2.0,0.0,0.0,0.0
839741fffffffff,35.0,4.0,0.0,0.0
839743fffffffff,85.0,12.0,0.0,0.0
83974afffffffff,97.0,31.0,0.0,0.0
83974bfffffffff,46.0,20.0,0.0,0.0
83974efffffffff,53.0,6.0,0.0,0.0
839750fffffffff,1.0,0.0,0.0,0.0
839751fffffffff,136.0,25.0,0.0,0.0
83975bfffffffff,4.0,0.0,0.0,0.0
83975cfffffffff,74.0,9.0,0.0,0.0
83975dfffffffff,43.0,13.0,0.0,0.0
83975efffffffff,4.0,2.0,0.0,0.0
839772fffffffff,1.0,0.0,0.0,0.0
839789fffffffff,14.0,0.0,0.0,0.0
83978dfffffffff,8.0,0.0,0.0,0.0
83978efffffffff,16.0,0.0,0.0,0.0
8397a8fffffffff,30.0,0.0,0.0,0.0
8397aafffffffff,2.0,0.0,0.0,0.0
8397acfffffffff,3.0,0.0,0.0,0.0
83a204fffffffff,4.0,0.0,0.0,2.0
83a210fffffffff,1.0,0.0,0.0,0.0
83a214fffffffff,148.0,0.0,0.0,113.0
83a216fffffffff,1.0,0.0,0.0,1.0
83a222fffffffff,219.0,0.0,0.0,125.0
83a230fffffffff,6.0,0.0,0.0,3.0
83a231fffffffff,273.0,0.0,0.0,162.0
83a233fffffffff,41.0,0.0,0.0,26.0
83a235fffffffff,172.0,0.0,0.0,110.0
83a236fffffffff,3.0,0.0,0.0,3.0
83a2a3fffffffff,8.0,0.0,0.0,8.0
83a2aefffffffff,4.0,0.0,0.0,3.0
83a308fffffffff,63.0,0.0,0.0,55.0
83a30dfffffffff,1.0,0.0,0.0,1.0
83a319fffffffff,5.0,0.0,0.0,1.0
83a31bfffffffff,5.0,0.0,0.0,3.0
83a31dfffffffff,5.0,0.0,0.0,4.0
83a335fffffffff,15.0,0.0,0.0,0.0
83a376fffffffff,18.0,0.0,0.0,11.0
83a38bfffffffff,32.0,0.0,0.0,26.0
83a38cfffffffff,2.0,0.0,0.0,2.0
83a399fffffffff,3.0,0.0,0.0,1.0
83a3a9fffffffff,1.0,0.0,0.0,1.0
83a3abfffffffff,4.0,0.0,0.0,2.0
83ac93fffffffff,8.0,0.0,0.0,0.0
83ac96fffffffff,2.0,0.0,0.0,0.0
83ad10fffffffff,1.0,0.0,0.0,0.0
83ad12fffffffff,8.0,6.0,0.0,0.0
83ad16fffffffff,1.0,0.0,0.0,0.0
83ad32fffffffff,299.0,129.0,0.0,0.0
83ad36fffffffff,162.0,76.0,0.0,0.0
83ada0fffffffff,2.0,0.0,0.0,0.0
83ada1fffffffff,2.0,2.0,0.0,0.0
83ada4fffffffff,18.0,10.0,0.0,0.0
83ada8fffffffff,2.0,0.0,0.0,0.0
83adacfffffffff,30.0,9.0,0.0,0.0
83bc09fffffffff,14.0,0.0,0.0,0.0
83bc0bfffffffff,2.0,2.0,0.0,0.0
83bc19fffffffff,30.0,4.0,0.0,0.0
83bc1bfffffffff,3.0,1.0,0.0,0.0
83bc40fffffffff,54.0,3.0,0.0,0.0
83bc41fffffffff,18.0,3.0,0.0,0.0
83bc43fffffffff,4.0,2.0,0.0,0.0
83bc44fffffffff,13.0,2.0,0.0,0.0
83bc45fffffffff,45.0,4.0,0.0,0.0
83bc48fffffffff,6.0,1.0,0.0,0.0
83bc49fffffffff,47.0,7.0,0.0,0.0
83bc4afffffffff,3.0,0.0,0.0,0.0
83bc4bfffffffff,28.0,18.0,0.0,0.0
83bc4cfffffffff,2.0,0.0,0.0,0.0
83bc4dfffffffff,78.0,27.0,0.0,0.0
83bc50fffffffff,1.0,0.0,0.0,0.0
83bc51fffffffff,6.0,2.0,0.0,0.0
83bc52fffffffff,7.0,5.0,0.0,0.0
83bc54fffffffff,4.0,3.0,0.0,0.0
83bc55fffffffff,12.0,0.0,0.0,0.0
83bc58fffffffff,2.0,0.0,0.0,0.0
83bc5cfffffffff,1.0,0.0,0.0,0.0
83bc5dfffffffff,1.0,0.0,0.0,0.0
83bc5efffffffff,8.0,0.0,0.0,0.0
83bc68fffffffff,101.0,29.0,0.0,0.0
83bc69fffffffff,66.0,35.0,0.0,0.0
83bc6afffffffff,223.0,71.0,0.0,0.0
83bc6bfffffffff,203.0,67.0,0.0,0.0
83bc71fffffffff,23.0,7.0,0.0,0.0
83bc72fffffffff,2.0,0.0,0.0,0.0
83bc73fffffffff,33.0,6.0,0.0,0.0
83bc89fffffffff,58.0,26.0,0.0,0.0
83bc8bfffffffff,2.0,0.0,0.0,0.0
83bc99fffffffff,2.0,0.0,0.0,0.0
83bcc0fffffffff,26.0,26.0,0.0,0.0
83bcc1fffffffff,20.0,13.0,0.0,0.0
83bcc2fffffffff,471.0,127.0,0.0,0.0
83bcc3fffffffff,421.0,104.0,0.0,0.0
83bcc4fffffffff,143.0,43.0,0.0,0.0
83bcc5fffffffff,6.0,4.0,0.0,0.0
83bcc6fffffffff,556.0,213.0,0.0,0.0
83bccafffffffff,3.0,0.0,0.0,0.0
83bcccfffffffff,11.0,2.0,0.0,0.0
83bccefffffffff,4.0,4.0,0.0,0.0
83bcd0fffffffff,233.0,74.0,0.0,0.0
83bcd1fffffffff,224.0,69.0,0.0,0.0
83bcd2fffffffff,99.0,23.0,0.0,0.0
83bcd3fffffffff,33.0,19.0,0.0,0.0
83bcd4fffffffff,103.0,35.0,0.0,0.0
83bcd5fffffffff,70.0,38.0,0.0,0.0
83bcd6fffffffff,83.0,31.0,0.0,0.0
83bcd8fffffffff,12.0,1.0,0.0,0.0
83bcd9fffffffff,7.0,7.0,0.0,0.0
83bcdcfffffffff,317.0,93.0,0.0,0.0
83bcddfffffffff,38.0,6.0,0.0,0.0
83bcdefffffffff,67.0,9.0,0.0,0.0
83bce0fffffffff,14.0,5.0,0.0,0.0
83bce1fffffffff,7.0,0.0,0.0,0.0
83bce2fffffffff,675.0,281.0,0.0,0.0
83bce3fffffffff,7.0,0.0,0.0,0.0
83bce5fffffffff,11.0,5.0,0.0,0.0
83bce6fffffffff,242.0,78.0,0.0,0.0
83bce8fffffffff,10.0,0.0,0.0,0.0
83bce9fffffffff,25.0,6.0,0.0,0.0
83bcebfffffffff,1.0,0.0,0.0,0.0
83bcf0fffffffff,36.0,8.0,0.0,0.0
83bcf1fffffffff,39.0,28.0,0.0,0.0
83bcf2fffffffff,247.0,76.0,0.0,0.0
83bcf3fffffffff,384.0,164.0,0.0,0.0
83bcf4fffffffff,27.0,10.0,0.0,0.0
83bcf5fffffffff,559.0,328.0,0.0,0.0
83bcf6fffffffff,172.0,51.0,0.0,0.0
