cell_id,Pionites leucogaster,Pionites leucogaster xanthomerius,Pionites leucogaster xanthurus,Pionites leucogaster leucogaster
8480445ffffffff,6.0,0.0,0.0,0.0
848044dffffffff,3.0,0.0,0.0,0.0
8480469ffffffff,178.0,0.0,0.0,12.0
8480625ffffffff,2.0,0.0,0.0,0.0
8480643ffffffff,3.0,0.0,0.0,0.0
8480655ffffffff,13.0,0.0,0.0,0.0
8480665ffffffff,2.0,0.0,0.0,0.0
848066bffffffff,3.0,0.0,0.0,0.0
8480713ffffffff,11.0,0.0,0.0,1.0
8480717ffffffff,2.0,0.0,0.0,0.0
8480723ffffffff,1.0,0.0,0.0,0.0
8480745ffffffff,4.0,0.0,0.0,0.0
8480759ffffffff,8.0,0.0,0.0,0.0
848075bffffffff,4.0,0.0,0.0,0.0
848075dffffffff,1.0,0.0,0.0,1.0
84814d5ffffffff,2.0,0.0,0.0,0.0
84814ebffffffff,2.0,0.0,0.0,0.0
84815a7ffffffff,1.0,0.0,0.0,0.0
848a00bffffffff,4.0,0.0,0.0,0.0
848a01dffffffff,3.0,0.0,0.0,0.0
848a059ffffffff,16.0,0.0,0.0,3.0
848a05bffffffff,25.0,0.0,0.0,0.0
848a069ffffffff,4.0,0.0,0.0,0.0
848a109ffffffff,16.0,0.0,0.0,0.0
848a143ffffffff,1.0,0.0,0.0,0.0
848a155ffffffff,6.0,0.0,0.0,0.0
848a157ffffffff,5.0,0.0,0.0,0.0
848a21bffffffff,4.0,0.0,0.0,0.0
848a23bffffffff,3.0,0.0,0.0,0.0
848a25bffffffff,3.0,0.0,0.0,0.0
848a2cdffffffff,1.0,0.0,0.0,0.0
848a337ffffffff,4.0,2.0,0.0,2.0
848a459ffffffff,58.0,2.0,0.0,0.0
848a553ffffffff,1.0,0.0,0.0,0.0
848a6d3ffffffff,1.0,0.0,0.0,0.0
848a6d9ffffffff,43.0,0.0,0.0,0.0
848a6dbffffffff,5.0,0.0,0.0,0.0
848a70bffffffff,1.0,0.0,0.0,0.0
848a73dffffffff,4.0,0.0,0.0,0.0
848a81bffffffff,1.0,0.0,0.0,0.0
848a827ffffffff,2.0,0.0,0.0,0.0
848a925ffffffff,2.0,0.0,0.0,0.0
848a927ffffffff,3.0,0.0,0.0,0.0
848ab21ffffffff,1.0,0.0,0.0,0.0
848b23bffffffff,2.0,0.0,0.0,0.0
848b401ffffffff,14.0,2.0,0.0,0.0
848b403ffffffff,2.0,0.0,2.0,0.0
848b40bffffffff,24.0,0.0,0.0,0.0
848b40dffffffff,33.0,4.0,0.0,0.0
848b429ffffffff,5.0,0.0,0.0,0.0
848b42dffffffff,2.0,0.0,0.0,0.0
848b441ffffffff,1.0,0.0,0.0,0.0
848b445ffffffff,34.0,0.0,0.0,0.0
848b447ffffffff,16.0,0.0,0.0,0.0
848b449ffffffff,6.0,0.0,0.0,0.0
848b44bffffffff,116.0,4.0,0.0,0.0
848b44dffffffff,154.0,3.0,0.0,0.0
848b459ffffffff,20.0,0.0,0.0,0.0
848b461ffffffff,2.0,0.0,0.0,0.0
848b463ffffffff,2.0,0.0,0.0,0.0
848b469ffffffff,40.0,0.0,0.0,0.0
848b46bffffffff,28.0,0.0,0.0,0.0
848b4adffffffff,1.0,0.0,0.0,0.0
848b4e5ffffffff,10.0,0.0,1.0,0.0
848b511ffffffff,3.0,0.0,0.0,0.0
848b513ffffffff,5.0,0.0,0.0,0.0
848b51dffffffff,2.0,0.0,0.0,0.0
848b527ffffffff,1.0,0.0,0.0,0.0
848b529ffffffff,2.0,0.0,0.0,0.0
848b52dffffffff,1.0,0.0,0.0,0.0
848b53dffffffff,3.0,0.0,0.0,0.0
848b551ffffffff,1.0,0.0,0.0,0.0
848b561ffffffff,1.0,0.0,0.0,0.0
848b567ffffffff,7.0,0.0,0.0,0.0
848b5c3ffffffff,6.0,0.0,0.0,0.0
848b5cdffffffff,26.0,0.0,0.0,0.0
848b623ffffffff,6.0,1.0,0.0,0.0
848b627ffffffff,81.0,1.0,0.0,0.0
848b631ffffffff,1.0,0.0,0.0,0.0
848b633ffffffff,9.0,0.0,0.0,0.0
848b635ffffffff,10.0,0.0,0.0,0.0
848b637ffffffff,202.0,5.0,0.0,0.0
848b63bffffffff,4.0,0.0,0.0,0.0
848b63dffffffff,3.0,0.0,0.0,0.0
848b691ffffffff,1.0,0.0,0.0,0.0
848b693ffffffff,20.0,0.0,0.0,0.0
848b697ffffffff,1.0,0.0,0.0,0.0
848b6e5ffffffff,4.0,0.0,0.0,0.0
848b6e7ffffffff,55.0,0.0,0.0,0.0
848b6edffffffff,5.0,0.0,0.0,0.0
848b709ffffffff,15.0,0.0,0.0,0.0
848b713ffffffff,257.0,0.0,0.0,0.0
848b717ffffffff,11.0,0.0,0.0,0.0
848b71bffffffff,45.0,0.0,0.0,0.0
848b745ffffffff,4.0,0.0,0.0,0.0
848b747ffffffff,28.0,0.0,0.0,0.0
848b755ffffffff,4.0,0.0,0.0,0.0
848b757ffffffff,5.0,0.0,0.0,0.0
848b763ffffffff,1.0,0.0,0.0,0.0
848b821ffffffff,2.0,0.0,0.0,0.0
848b829ffffffff,2.0,0.0,0.0,0.0
848b845ffffffff,1.0,0.0,0.0,0.0
848b98bffffffff,2.0,0.0,0.0,0.0
848b999ffffffff,34.0,0.0,0.0,0.0
848b99dffffffff,87.0,0.0,0.0,0.0
848b9d1ffffffff,4.0,0.0,0.0,0.0
848b9d5ffffffff,416.0,0.0,0.0,11.0
848f489ffffffff,21.0,0.0,0.0,0.0
848f495ffffffff,2.0,0.0,0.0,0.0
848f611ffffffff,1.0,0.0,0.0,0.0
848f613ffffffff,1.0,0.0,0.0,0.0
848f61bffffffff,3.0,0.0,0.0,0.0
848f6b5ffffffff,3.0,0.0,3.0,0.0
848f6ebffffffff,2.0,0.0,0.0,0.0
84a8c97ffffffff,15.0,0.0,0.0,15.0
