cell_id,Melanerpes formicivorus,Melanerpes formicivorus [formicivorus Group],Melanerpes formicivorus angustifrons
84268bbffffffff,1.0,0.0,0.0
8428005ffffffff,29.0,0.0,0.0
8428021ffffffff,484.0,0.0,0.0
8428023ffffffff,229.0,0.0,0.0
8428025ffffffff,74.0,0.0,0.0
8428027ffffffff,73.0,0.0,0.0
8428029ffffffff,81.0,0.0,0.0
842802bffffffff,99.0,0.0,0.0
842802dffffffff,183.0,0.0,0.0
8428035ffffffff,2.0,0.0,0.0
8428061ffffffff,194.0,0.0,0.0
8428063ffffffff,360.0,0.0,0.0
8428065ffffffff,211.0,0.0,0.0
8428067ffffffff,92.0,0.0,0.0
8428069ffffffff,658.0,0.0,0.0
842806bffffffff,122.0,0.0,0.0
842806dffffffff,621.0,0.0,0.0
8428101ffffffff,30.0,0.0,0.0
8428103ffffffff,176.0,0.0,0.0
8428109ffffffff,11.0,0.0,0.0
842810bffffffff,287.0,0.0,0.0
842810dffffffff,3.0,0.0,0.0
8428111ffffffff,361.0,0.0,0.0
8428113ffffffff,509.0,0.0,0.0
8428117ffffffff,33.0,0.0,0.0
8428119ffffffff,28.0,0.0,0.0
842811bffffffff,25.0,0.0,0.0
842811dffffffff,18.0,0.0,0.0
842812bffffffff,1.0,0.0,0.0
8428133ffffffff,2.0,0.0,0.0
8428141ffffffff,689.0,0.0,0.0
8428143ffffffff,17.0,0.0,0.0
8428145ffffffff,32.0,0.0,0.0
8428147ffffffff,261.0,0.0,0.0
8428149ffffffff,1276.0,0.0,0.0
842814bffffffff,1346.0,0.0,0.0
842814dffffffff,13.0,0.0,0.0
8428151ffffffff,1061.0,0.0,0.0
8428153ffffffff,319.0,0.0,0.0
8428155ffffffff,433.0,0.0,0.0
8428157ffffffff,628.0,0.0,0.0
8428159ffffffff,333.0,0.0,0.0
842815bffffffff,24.0,0.0,0.0
842815dffffffff,429.0,0.0,0.0
8428169ffffffff,2.0,0.0,0.0
842816bffffffff,124.0,0.0,0.0
8428181ffffffff,2.0,0.0,0.0
8428185ffffffff,19.0,0.0,0.0
8428187ffffffff,157.0,0.0,0.0
8428189ffffffff,21.0,0.0,0.0
842818dffffffff,550.0,0.0,0.0
84281a3ffffffff,14.0,0.0,0.0
84281abffffffff,94.0,0.0,0.0
84281b5ffffffff,1430.0,0.0,0.0
84281bdffffffff,9.0,0.0,0.0
84281c1ffffffff,23.0,0.0,0.0
84281c3ffffffff,20.0,0.0,0.0
84281c5ffffffff,5.0,0.0,0.0
84281c7ffffffff,337.0,0.0,0.0
84281c9ffffffff,19.0,0.0,0.0
84281cbffffffff,3.0,0.0,0.0
84281d5ffffffff,14.0,0.0,0.0
84281e1ffffffff,95.0,0.0,0.0
84281e3ffffffff,168.0,0.0,0.0
84281e5ffffffff,15.0,0.0,0.0
84281e7ffffffff,4.0,0.0,0.0
84281e9ffffffff,3043.0,0.0,0.0
84281ebffffffff,4106.0,0.0,0.0
84281edffffffff,170.0,0.0,0.0
8428301ffffffff,2148.0,0.0,0.0
8428303ffffffff,3838.0,34.0,0.0
8428305ffffffff,381.0,0.0,0.0
8428307ffffffff,4375.0,0.0,0.0
8428309ffffffff,6649.0,42.0,0.0
842830bffffffff,5313.0,410.0,0.0
842830dffffffff,3180.0,0.0,0.0
8428311ffffffff,258.0,20.0,0.0
8428313ffffffff,7.0,0.0,0.0
8428315ffffffff,781.0,50.0,0.0
8428317ffffffff,842.0,1.0,0.0
842831dffffffff,863.0,46.0,0.0
8428321ffffffff,3882.0,0.0,0.0
8428323ffffffff,3738.0,0.0,0.0
8428325ffffffff,121.0,0.0,0.0
8428327ffffffff,3646.0,0.0,0.0
8428329ffffffff,3005.0,0.0,0.0
842832bffffffff,6472.0,0.0,0.0
842832dffffffff,481.0,0.0,0.0
