cell_id,Dendrocopos leucotos,Dendrocopos leucotos lilfordi,Dendrocopos leucotos [leucotos Group],Dendrocopos leucotos owstoni
82089ffffffffff,2.0,0.0,2.0,0.0
82098ffffffffff,1.0,0.0,0.0,0.0
821107fffffffff,2.0,0.0,2.0,0.0
821127fffffffff,1.0,0.0,0.0,0.0
821187fffffffff,16.0,0.0,16.0,0.0
82118ffffffffff,16.0,0.0,16.0,0.0
8211affffffffff,44.0,0.0,44.0,0.0
82184ffffffffff,63.0,63.0,0.0,0.0
821e07fffffffff,58.0,0.0,1.0,0.0
821e1ffffffffff,5.0,0.0,0.0,0.0
821e2ffffffffff,1.0,0.0,1.0,0.0
821e37fffffffff,1.0,0.0,0.0,0.0
821e87fffffffff,7.0,6.0,0.0,0.0
821eaffffffffff,3.0,3.0,0.0,0.0
821ec7fffffffff,6.0,0.0,0.0,0.0
821ecffffffffff,17.0,0.0,0.0,0.0
821ee7fffffffff,4.0,0.0,4.0,0.0
821ef7fffffffff,2.0,2.0,0.0,0.0
821f5ffffffffff,3.0,0.0,1.0,0.0
821f67fffffffff,3.0,0.0,3.0,0.0
821f8ffffffffff,3.0,0.0,0.0,0.0
822047fffffffff,1.0,0.0,0.0,0.0
82204ffffffffff,2.0,0.0,2.0,0.0
82255ffffffffff,2.0,0.0,0.0,0.0
822c27fffffffff,2.0,0.0,0.0,0.0
822e77fffffffff,1.0,0.0,1.0,0.0
822eaffffffffff,7.0,0.0,6.0,0.0
8230e7fffffffff,8.0,0.0,0.0,0.0
823187fffffffff,23.0,0.0,0.0,0.0
8231affffffffff,6.0,0.0,0.0,0.0
823977fffffffff,35.0,10.0,0.0,0.0
823f6ffffffffff,4.0,2.0,0.0,0.0
824b0ffffffffff,5.0,0.0,0.0,5.0
824b57fffffffff,15.0,0.0,0.0,15.0
824ba7fffffffff,14.0,0.0,0.0,0.0
