cell_id,Sheppardia polioptera,Sheppardia polioptera nigriceps/tessmanni,Sheppardia polioptera polioptera
8458c8bffffffff,4.0,0.0,0.0
8458debffffffff,1.0,0.0,0.0
8458e2dffffffff,6.0,0.0,0.0
846ac03ffffffff,2.0,0.0,1.0
846ac15ffffffff,50.0,0.0,4.0
846ac31ffffffff,1.0,0.0,0.0
846ac89ffffffff,1.0,0.0,1.0
846acd5ffffffff,3.0,0.0,0.0
846ace5ffffffff,2.0,0.0,0.0
846adc1ffffffff,388.0,0.0,47.0
846adc5ffffffff,43.0,0.0,0.0
8475a07ffffffff,1.0,0.0,0.0
847a483ffffffff,3.0,0.0,0.0
847a489ffffffff,22.0,0.0,0.0
847a4c3ffffffff,2.0,0.0,0.0
847a4cbffffffff,104.0,0.0,0.0
847a4d3ffffffff,1.0,0.0,0.0
847a4ddffffffff,69.0,0.0,0.0
847a683ffffffff,2.0,0.0,0.0
8483125ffffffff,13.0,0.0,0.0
8483151ffffffff,2.0,0.0,0.0
8483a89ffffffff,3.0,0.0,0.0
8496097ffffffff,12.0,0.0,0.0
84960bbffffffff,9.0,0.0,2.0
8496569ffffffff,7.0,0.0,0.0
