cell_id,Dicrurus hottentottus,Dicrurus hottentottus hottentottus/brevirostris,Dicrurus hottentottus viridinitens,Dicrurus hottentottus borneensis,Dicrurus hottentottus jentincki/faberi,Dicrurus hottentottus leucops/banggaiensis,Dicrurus hottentottus guillemardi,Dicrurus hottentottus pectoralis,Dicrurus hottentottus suluensis
833030fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833032fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833083fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83308efffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833091fffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833096fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833098fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83309afffffffff,38.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83309bfffffffff,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83309dfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83309efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833185fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83318dfffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833199fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8331a8fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8331aafffffffff,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8331aefffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c00fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c02fffffffff,246.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c06fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c0afffffffff,459.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c0bfffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c11fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c15fffffffff,221.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833c16fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
