cell_id,Sheppardia poensis,Sheppardia poensis granti,Sheppardia poensis poensis,Sheppardia poensis [kungwensis Group]
8358d1fffffffff,1.0,0.0,0.0,0.0
8358d3fffffffff,46.0,44.0,0.0,0.0
8358dcfffffffff,2.0,0.0,0.0,0.0
8382d0fffffffff,45.0,0.0,25.0,0.0
8382d1fffffffff,18.0,0.0,12.0,0.0
8382d2fffffffff,20.0,3.0,0.0,0.0
8382d3fffffffff,7.0,1.0,0.0,0.0
