cell_id,Anisognathus lacrymosus,Anisognathus lacrymosus pallididorsalis,Anisognathus lacrymosus melanops,Anisognathus lacrymosus yariguierum,Anisognathus lacrymosus intensus,Anisognathus lacrymosus [palpebrosus Group],Anisognathus lacrymosus lacrymosus
836609fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83660bfffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
83660cfffffffff,72.0,0.0,0.0,0.0,0.0,0.0,0.0
83660dfffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
836618fffffffff,740.0,0.0,0.0,0.0,0.0,0.0,0.0
836619fffffffff,472.0,0.0,0.0,0.0,0.0,0.0,0.0
83661bfffffffff,1970.0,0.0,0.0,0.0,0.0,8.0,0.0
83661dfffffffff,179.0,0.0,0.0,0.0,0.0,0.0,0.0
836621fffffffff,1062.0,571.0,0.0,0.0,0.0,0.0,0.0
836629fffffffff,126.0,0.0,18.0,0.0,0.0,0.0,0.0
83662bfffffffff,42.0,0.0,7.0,0.0,0.0,0.0,0.0
83662dfffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
83662efffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8366c0fffffffff,55.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c2fffffffff,337.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c4fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c6fffffffff,579.0,0.0,0.0,0.0,0.0,1.0,0.0
8366d0fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d1fffffffff,74.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d5fffffffff,67.0,0.0,0.0,0.0,0.0,0.0,0.0
8366defffffffff,1031.0,0.0,0.0,0.0,0.0,60.0,0.0
8366e0fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
8366e2fffffffff,173.0,0.0,0.0,0.0,0.0,0.0,0.0
8366e4fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8366e5fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
8366e6fffffffff,5248.0,0.0,0.0,0.0,0.0,105.0,0.0
8366f1fffffffff,160.0,0.0,0.0,0.0,0.0,0.0,0.0
8366f3fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
8366f5fffffffff,287.0,0.0,0.0,0.0,0.0,0.0,0.0
83675afffffffff,125.0,0.0,0.0,0.0,0.0,0.0,0.0
838b61fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
838b6cfffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0
838e61fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
838e64fffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0
838e65fffffffff,137.0,0.0,0.0,0.0,0.0,0.0,0.0
838e6dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838f29fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
838f2bfffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
838f2dfffffffff,25.0,0.0,0.0,0.0,0.0,1.0,0.0
838f42fffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0
838f46fffffffff,43.0,0.0,0.0,0.0,0.0,0.0,0.0
838f4afffffffff,74.0,0.0,0.0,0.0,0.0,0.0,7.0
838f50fffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
838f51fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838f54fffffffff,97.0,0.0,0.0,0.0,0.0,0.0,0.0
838f55fffffffff,120.0,0.0,0.0,0.0,0.0,0.0,0.0
838f59fffffffff,137.0,0.0,0.0,0.0,0.0,0.0,17.0
838f5cfffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
838f5dfffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
838f70fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
838f72fffffffff,932.0,0.0,0.0,0.0,0.0,62.0,0.0
838f73fffffffff,113.0,0.0,0.0,0.0,0.0,0.0,0.0
838f74fffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0
838f76fffffffff,401.0,0.0,0.0,0.0,0.0,36.0,0.0
