cell_id,Glaucidium tephronotum,Glaucidium tephronotum tephronotum,Glaucidium tephronotum pycrafti,Glaucidium tephronotum medje
8258d7fffffffff,1.0,0.0,0.0,0.0
826a9ffffffffff,2.0,0.0,0.0,0.0
826ac7fffffffff,89.0,0.0,0.0,0.0
826acffffffffff,1.0,0.0,0.0,0.0
826adffffffffff,66.0,0.0,0.0,0.0
826aeffffffffff,5.0,0.0,0.0,0.0
827507fffffffff,2.0,0.0,0.0,0.0
82750ffffffffff,76.0,0.0,0.0,0.0
82752ffffffffff,30.0,0.0,0.0,0.0
8275affffffffff,4.0,0.0,0.0,0.0
827a4ffffffffff,37.0,0.0,0.0,0.0
828287fffffffff,2.0,0.0,0.0,0.0
8282a7fffffffff,5.0,0.0,0.0,0.0
8282affffffffff,2.0,0.0,0.0,0.0
8282d7fffffffff,8.0,0.0,2.0,0.0
8296dffffffffff,1.0,0.0,0.0,0.0
