cell_id,Petroica boodang,Petroica boodang campbelli,Petroica boodang boodang/leggii
84a7221ffffffff,4.0,2.0,0.0
84a7225ffffffff,4.0,2.0,0.0
84a7227ffffffff,1.0,0.0,0.0
84a722dffffffff,5.0,0.0,0.0
84a7265ffffffff,75.0,9.0,0.0
84a7267ffffffff,27.0,9.0,0.0
84a7269ffffffff,3.0,0.0,0.0
84a726dffffffff,174.0,50.0,0.0
84a7301ffffffff,2.0,0.0,0.0
84a7351ffffffff,4.0,0.0,0.0
84a7353ffffffff,1.0,1.0,0.0
84a7359ffffffff,6.0,0.0,0.0
84a735bffffffff,2.0,0.0,0.0
84b9125ffffffff,6.0,0.0,0.0
84b9149ffffffff,10.0,0.0,0.0
84b914bffffffff,16.0,0.0,0.0
84b914dffffffff,26.0,0.0,2.0
84b9151ffffffff,9.0,0.0,0.0
84b9155ffffffff,14.0,0.0,0.0
84b9159ffffffff,33.0,0.0,1.0
84b915dffffffff,12.0,0.0,0.0
84b9161ffffffff,1.0,0.0,0.0
84b9169ffffffff,54.0,0.0,1.0
84b916dffffffff,43.0,0.0,0.0
84b9337ffffffff,2.0,0.0,0.0
84b9365ffffffff,2.0,0.0,0.0
84b9a1bffffffff,1.0,0.0,0.0
84b9a5bffffffff,3.0,0.0,0.0
84be081ffffffff,2.0,0.0,0.0
84be083ffffffff,7.0,0.0,0.0
84be085ffffffff,9.0,0.0,0.0
84be087ffffffff,89.0,0.0,0.0
84be089ffffffff,109.0,0.0,0.0
84be08bffffffff,21.0,0.0,0.0
84be08dffffffff,8.0,0.0,0.0
84be091ffffffff,1.0,0.0,1.0
84be095ffffffff,1.0,0.0,0.0
84be097ffffffff,3.0,0.0,0.0
84be099ffffffff,40.0,0.0,1.0
84be09bffffffff,5.0,0.0,0.0
84be09dffffffff,1.0,0.0,0.0
84be0a3ffffffff,13.0,0.0,0.0
84be0a7ffffffff,1.0,0.0,0.0
84be0a9ffffffff,2.0,0.0,0.0
84be0abffffffff,2.0,0.0,0.0
84be0b1ffffffff,3.0,0.0,0.0
84be0b3ffffffff,6.0,0.0,0.0
84be0b5ffffffff,1.0,0.0,0.0
84be0b9ffffffff,1.0,0.0,0.0
84be0bbffffffff,2.0,0.0,0.0
84be0bdffffffff,19.0,0.0,0.0
84be0c3ffffffff,5.0,0.0,0.0
84be0c7ffffffff,2.0,0.0,0.0
84be0d1ffffffff,7.0,0.0,2.0
84be0d3ffffffff,269.0,0.0,7.0
84be0d5ffffffff,15.0,0.0,0.0
84be0d7ffffffff,7.0,0.0,0.0
84be0d9ffffffff,1.0,0.0,0.0
84be0dbffffffff,26.0,0.0,0.0
84be0ddffffffff,5.0,0.0,0.0
84be187ffffffff,1.0,0.0,0.0
84be191ffffffff,3.0,0.0,0.0
84be195ffffffff,2.0,0.0,0.0
84be199ffffffff,20.0,0.0,0.0
84be1a3ffffffff,7.0,0.0,0.0
84be1b1ffffffff,24.0,0.0,0.0
84be1b5ffffffff,17.0,0.0,0.0
84be1b7ffffffff,2.0,0.0,0.0
84be1b9ffffffff,21.0,0.0,0.0
84be1bbffffffff,2.0,0.0,0.0
84be1bdffffffff,1.0,0.0,0.0
84be293ffffffff,13.0,0.0,0.0
84be401ffffffff,7.0,0.0,0.0
84be409ffffffff,13.0,0.0,6.0
84be40dffffffff,9.0,0.0,0.0
84be441ffffffff,121.0,0.0,39.0
84be443ffffffff,195.0,0.0,55.0
84be445ffffffff,34.0,0.0,15.0
84be447ffffffff,39.0,0.0,14.0
84be449ffffffff,6.0,0.0,3.0
84be44bffffffff,8.0,0.0,3.0
84be44dffffffff,71.0,0.0,16.0
84be451ffffffff,16.0,0.0,0.0
84be453ffffffff,5.0,0.0,0.0
84be455ffffffff,50.0,0.0,9.0
84be457ffffffff,19.0,0.0,1.0
84be459ffffffff,23.0,0.0,0.0
84be45bffffffff,10.0,0.0,6.0
84be45dffffffff,114.0,0.0,15.0
84be461ffffffff,3.0,0.0,0.0
84be463ffffffff,8.0,0.0,3.0
84be469ffffffff,26.0,0.0,4.0
84be46bffffffff,9.0,0.0,0.0
84be46dffffffff,12.0,0.0,2.0
84be493ffffffff,32.0,0.0,0.0
84be4c9ffffffff,74.0,0.0,17.0
84be4cbffffffff,18.0,0.0,2.0
84be4cdffffffff,12.0,0.0,2.0
84be4d1ffffffff,2.0,0.0,0.0
84be4d3ffffffff,15.0,0.0,0.0
84be4d9ffffffff,2.0,0.0,0.0
84be545ffffffff,2.0,0.0,0.0
84be549ffffffff,2.0,0.0,0.0
84be54dffffffff,2.0,0.0,0.0
84be56dffffffff,1.0,0.0,0.0
84be601ffffffff,1.0,0.0,0.0
84be607ffffffff,14.0,0.0,0.0
84be60dffffffff,15.0,0.0,0.0
84be613ffffffff,2.0,0.0,0.0
84be617ffffffff,54.0,0.0,5.0
84be621ffffffff,2.0,0.0,0.0
84be623ffffffff,43.0,0.0,5.0
84be625ffffffff,2.0,0.0,0.0
84be627ffffffff,11.0,0.0,5.0
84be629ffffffff,55.0,0.0,1.0
84be62bffffffff,80.0,0.0,9.0
84be62dffffffff,18.0,0.0,0.0
84be631ffffffff,295.0,0.0,29.0
84be633ffffffff,323.0,0.0,25.0
84be635ffffffff,124.0,0.0,19.0
84be637ffffffff,39.0,0.0,8.0
84be639ffffffff,2.0,0.0,0.0
84be63bffffffff,201.0,0.0,21.0
84be63dffffffff,40.0,0.0,10.0
84be663ffffffff,7.0,0.0,2.0
84be667ffffffff,9.0,0.0,0.0
84be681ffffffff,2.0,0.0,0.0
84be683ffffffff,16.0,0.0,0.0
84be685ffffffff,3.0,0.0,2.0
84be695ffffffff,4.0,0.0,0.0
84be6a1ffffffff,73.0,0.0,8.0
84be6a3ffffffff,2.0,0.0,0.0
84be6a5ffffffff,11.0,0.0,0.0
84be6a7ffffffff,6.0,0.0,1.0
84be6a9ffffffff,10.0,0.0,0.0
84be6adffffffff,13.0,0.0,4.0
84be6b1ffffffff,16.0,0.0,2.0
84be6b3ffffffff,6.0,0.0,0.0
84be6b5ffffffff,13.0,0.0,0.0
84be6b7ffffffff,1.0,0.0,0.0
84be6b9ffffffff,14.0,0.0,3.0
84be6bbffffffff,27.0,0.0,0.0
84be6bdffffffff,6.0,0.0,0.0
84be6e5ffffffff,24.0,0.0,0.0
84be6e9ffffffff,24.0,0.0,0.0
84be6edffffffff,16.0,0.0,0.0
84be701ffffffff,6.0,0.0,2.0
84be703ffffffff,2.0,0.0,0.0
84be705ffffffff,3.0,0.0,0.0
84be707ffffffff,5.0,0.0,0.0
84be709ffffffff,12.0,0.0,0.0
84be70dffffffff,6.0,0.0,0.0
84be711ffffffff,10.0,0.0,0.0
84be713ffffffff,159.0,0.0,47.0
84be715ffffffff,7.0,0.0,0.0
84be717ffffffff,245.0,0.0,17.0
84be71bffffffff,32.0,0.0,10.0
84be71dffffffff,4.0,0.0,0.0
84be721ffffffff,40.0,0.0,2.0
84be723ffffffff,1.0,0.0,0.0
84be725ffffffff,107.0,0.0,2.0
84be727ffffffff,1.0,0.0,1.0
84be729ffffffff,178.0,0.0,0.0
84be72bffffffff,18.0,0.0,4.0
84be72dffffffff,972.0,0.0,3.0
84be735ffffffff,6.0,0.0,0.0
84be737ffffffff,2.0,0.0,0.0
84be739ffffffff,12.0,0.0,0.0
84be73bffffffff,6.0,0.0,0.0
84be73dffffffff,1.0,0.0,0.0
84be741ffffffff,6.0,0.0,2.0
84be743ffffffff,5.0,0.0,1.0
84be745ffffffff,33.0,0.0,0.0
84be747ffffffff,12.0,0.0,0.0
84be749ffffffff,8.0,0.0,0.0
84be74bffffffff,19.0,0.0,2.0
84be74dffffffff,96.0,0.0,4.0
84be751ffffffff,72.0,0.0,1.0
84be755ffffffff,24.0,0.0,2.0
84be757ffffffff,2.0,0.0,0.0
84be759ffffffff,1.0,0.0,0.0
84be75bffffffff,18.0,0.0,0.0
84be75dffffffff,23.0,0.0,3.0
84be763ffffffff,3.0,0.0,0.0
84be765ffffffff,2.0,0.0,0.0
84be767ffffffff,45.0,0.0,1.0
84be769ffffffff,19.0,0.0,0.0
84be76bffffffff,28.0,0.0,0.0
84be76dffffffff,2.0,0.0,0.0
84bee45ffffffff,2.0,0.0,0.0
84bee4bffffffff,2.0,0.0,0.0
84bee67ffffffff,4.0,0.0,0.0
84bee6dffffffff,2.0,0.0,0.0
84bef0dffffffff,79.0,0.0,0.0
84bef41ffffffff,6.0,0.0,0.0
84bef43ffffffff,7.0,0.0,0.0
84bef47ffffffff,2.0,0.0,0.0
84bef5dffffffff,4.0,0.0,0.0
84bef63ffffffff,9.0,0.0,0.0
84bef67ffffffff,2.0,0.0,0.0
84bef6bffffffff,47.0,0.0,0.0
84bf481ffffffff,19.0,0.0,2.0
84bf483ffffffff,15.0,0.0,2.0
84bf485ffffffff,38.0,0.0,2.0
84bf487ffffffff,38.0,0.0,4.0
84bf489ffffffff,2.0,0.0,2.0
84bf48bffffffff,1.0,0.0,0.0
84bf48dffffffff,8.0,0.0,0.0
84bf491ffffffff,5.0,0.0,0.0
84bf493ffffffff,4.0,0.0,0.0
84bf495ffffffff,15.0,0.0,0.0
84bf49bffffffff,2.0,0.0,2.0
84bf49dffffffff,2.0,0.0,2.0
84bf4a1ffffffff,2.0,0.0,0.0
84bf4a9ffffffff,4.0,0.0,1.0
84bf4abffffffff,6.0,0.0,0.0
84bf4adffffffff,11.0,0.0,5.0
84bf4b1ffffffff,57.0,0.0,4.0
84bf4b3ffffffff,31.0,0.0,0.0
84bf4b9ffffffff,255.0,0.0,36.0
84bf4bbffffffff,36.0,0.0,4.0
84bf4bdffffffff,17.0,0.0,6.0
84bf4c1ffffffff,83.0,0.0,10.0
84bf4c3ffffffff,71.0,0.0,3.0
84bf4c5ffffffff,42.0,0.0,4.0
84bf4c7ffffffff,9.0,0.0,2.0
84bf4c9ffffffff,52.0,0.0,10.0
84bf4cbffffffff,182.0,0.0,31.0
84bf4d1ffffffff,10.0,0.0,0.0
84bf4d3ffffffff,2.0,0.0,0.0
84bf4d5ffffffff,68.0,0.0,8.0
84bf4d9ffffffff,17.0,0.0,6.0
84bf4ddffffffff,268.0,0.0,91.0
84bf4e3ffffffff,19.0,0.0,4.0
84bf4e7ffffffff,41.0,0.0,12.0
84bf4ebffffffff,43.0,0.0,7.0
84bf599ffffffff,2.0,0.0,2.0
84bf6b3ffffffff,6.0,0.0,0.0
84bf6b5ffffffff,20.0,0.0,14.0
84bf6b7ffffffff,611.0,0.0,120.0
84c9805ffffffff,6.0,1.0,0.0
84c9821ffffffff,30.0,15.0,0.0
84c9823ffffffff,13.0,11.0,0.0
84c9825ffffffff,22.0,22.0,0.0
84c9827ffffffff,52.0,39.0,0.0
84c9829ffffffff,2.0,0.0,0.0
84c982bffffffff,3.0,2.0,0.0
84c982dffffffff,114.0,98.0,0.0
84c9861ffffffff,13.0,2.0,0.0
84c9863ffffffff,4.0,0.0,0.0
84c9865ffffffff,7.0,4.0,0.0
84c9867ffffffff,6.0,6.0,0.0
84c9869ffffffff,5.0,2.0,0.0
84c986bffffffff,3.0,0.0,0.0
84c986dffffffff,27.0,11.0,0.0
84c9901ffffffff,54.0,10.0,0.0
84c9903ffffffff,3.0,0.0,0.0
84c9905ffffffff,275.0,70.0,0.0
84c9907ffffffff,11.0,1.0,0.0
84c990bffffffff,2.0,2.0,0.0
84c990dffffffff,1.0,0.0,0.0
84c9911ffffffff,1.0,1.0,0.0
84c9915ffffffff,1.0,1.0,0.0
84c9917ffffffff,23.0,2.0,0.0
84c9919ffffffff,1.0,1.0,0.0
84c991bffffffff,86.0,59.0,0.0
84c991dffffffff,5.0,0.0,0.0
84c9921ffffffff,14.0,1.0,0.0
84c9923ffffffff,103.0,19.0,0.0
84c9925ffffffff,22.0,0.0,0.0
84c9927ffffffff,88.0,26.0,0.0
84c992bffffffff,42.0,8.0,0.0
84c9931ffffffff,47.0,2.0,0.0
84c9935ffffffff,48.0,3.0,0.0
