cell_id,Eubucco richardsoni,Eubucco richardsoni richardsoni/nigriceps,Eubucco richardsoni aurantiicollis/purusianus
83665afffffffff,81.0,0.0,0.0
83665bfffffffff,116.0,0.0,0.0
8366c2fffffffff,58.0,0.0,0.0
8366c3fffffffff,1.0,0.0,0.0
8366c5fffffffff,5.0,0.0,0.0
8366cdfffffffff,1.0,0.0,0.0
8366d1fffffffff,2.0,0.0,0.0
8366d8fffffffff,33.0,1.0,0.0
8366dafffffffff,9.0,0.0,0.0
8366dbfffffffff,8.0,0.0,0.0
8366dcfffffffff,367.0,25.0,0.0
8366ddfffffffff,56.0,1.0,0.0
8366defffffffff,132.0,9.0,0.0
8366e8fffffffff,2.0,0.0,0.0
8366eafffffffff,15.0,0.0,0.0
8366eefffffffff,24.0,0.0,0.0
838a05fffffffff,2.0,0.0,0.0
838a31fffffffff,2.0,0.0,0.0
838a45fffffffff,11.0,0.0,0.0
838a4bfffffffff,1.0,0.0,0.0
838a63fffffffff,9.0,0.0,0.0
838a68fffffffff,8.0,0.0,0.0
838a69fffffffff,73.0,0.0,0.0
838a6dfffffffff,92.0,0.0,0.0
838b2afffffffff,1.0,0.0,0.0
838b40fffffffff,37.0,0.0,2.0
838b44fffffffff,149.0,0.0,6.0
838b45fffffffff,3.0,0.0,0.0
838b46fffffffff,6.0,0.0,0.0
838b48fffffffff,2.0,0.0,0.0
838b4efffffffff,4.0,0.0,0.0
838b56fffffffff,1.0,0.0,0.0
838b5cfffffffff,54.0,0.0,0.0
838b5dfffffffff,4.0,0.0,0.0
838b60fffffffff,1.0,0.0,0.0
838b61fffffffff,437.0,0.0,16.0
838b62fffffffff,26.0,0.0,0.0
838b63fffffffff,165.0,0.0,6.0
838b68fffffffff,8.0,0.0,0.0
838b69fffffffff,19.0,0.0,0.0
838b6cfffffffff,4.0,0.0,0.0
838b6efffffffff,63.0,0.0,0.0
838b71fffffffff,249.0,0.0,0.0
838b74fffffffff,49.0,0.0,0.0
838b75fffffffff,4.0,0.0,0.0
838e65fffffffff,8.0,0.0,0.0
838f40fffffffff,28.0,0.0,0.0
838f43fffffffff,7.0,0.0,0.0
838f44fffffffff,2.0,0.0,0.0
838f46fffffffff,8.0,0.0,0.0
838f48fffffffff,4.0,0.0,0.0
838f4bfffffffff,13.0,0.0,0.0
838f61fffffffff,70.0,0.0,0.0
838f63fffffffff,5.0,0.0,0.0
838f65fffffffff,3.0,0.0,0.0
838f6bfffffffff,16.0,0.0,0.0
838f6cfffffffff,1.0,0.0,0.0
838f6efffffffff,9.0,0.0,0.0
838f70fffffffff,22.0,0.0,0.0
838f71fffffffff,1.0,0.0,0.0
838f72fffffffff,183.0,21.0,0.0
838f74fffffffff,10.0,0.0,0.0
838f76fffffffff,10.0,0.0,0.0
