cell_id,Nystalus striolatus,Nystalus striolatus striolatus,Nystalus striolatus torridus
838062fffffffff,2.0,0.0,2.0
838066fffffffff,1.0,0.0,0.0
838070fffffffff,1.0,0.0,1.0
838071fffffffff,2.0,0.0,2.0
838072fffffffff,4.0,0.0,2.0
838075fffffffff,4.0,0.0,4.0
838141fffffffff,1.0,0.0,1.0
838143fffffffff,3.0,0.0,1.0
838146fffffffff,4.0,0.0,1.0
83814afffffffff,65.0,0.0,44.0
83814dfffffffff,39.0,0.0,30.0
83814efffffffff,49.0,0.0,31.0
838159fffffffff,2.0,0.0,2.0
83815dfffffffff,16.0,0.0,15.0
838a04fffffffff,2.0,2.0,0.0
838a05fffffffff,3.0,3.0,0.0
838a06fffffffff,1.0,0.0,0.0
838a15fffffffff,1.0,0.0,0.0
838a23fffffffff,7.0,4.0,0.0
838a31fffffffff,2.0,0.0,0.0
838a35fffffffff,3.0,0.0,0.0
838a80fffffffff,1.0,0.0,0.0
838ab2fffffffff,1.0,0.0,1.0
838ab6fffffffff,3.0,0.0,3.0
838b02fffffffff,1.0,0.0,0.0
838b08fffffffff,1.0,0.0,0.0
838b12fffffffff,2.0,2.0,0.0
838b56fffffffff,2.0,0.0,0.0
838b82fffffffff,7.0,0.0,6.0
838b83fffffffff,4.0,0.0,4.0
838b84fffffffff,4.0,3.0,0.0
838b8afffffffff,5.0,0.0,5.0
838b8dfffffffff,1.0,0.0,0.0
838b8efffffffff,1.0,0.0,1.0
838b99fffffffff,79.0,0.0,34.0
838b9cfffffffff,1.0,0.0,1.0
838b9dfffffffff,231.0,6.0,14.0
838b9efffffffff,1.0,0.0,0.0
838ba4fffffffff,3.0,0.0,0.0
838ba6fffffffff,7.0,0.0,0.0
