cell_id,Apalis cinerea,Apalis cinerea sclateri,Apalis cinerea grandis,Apalis cinerea cinerea/funebris
8458d13ffffffff,3.0,0.0,0.0,0.0
8458d33ffffffff,46.0,0.0,0.0,46.0
8458d37ffffffff,2.0,0.0,0.0,2.0
8458dcdffffffff,3.0,0.0,0.0,2.0
8458de3ffffffff,3.0,0.0,0.0,0.0
8458de5ffffffff,1.0,0.0,0.0,0.0
846ac0bffffffff,3.0,0.0,0.0,0.0
846ac15ffffffff,61.0,0.0,0.0,9.0
846ac35ffffffff,4.0,0.0,0.0,0.0
846ac3dffffffff,4.0,0.0,0.0,0.0
846ac5bffffffff,5.0,0.0,0.0,0.0
846ace5ffffffff,2.0,0.0,0.0,0.0
846ad1bffffffff,3.0,0.0,0.0,0.0
846ad8bffffffff,2.0,0.0,0.0,0.0
846adc1ffffffff,521.0,0.0,0.0,49.0
846adc5ffffffff,4.0,0.0,0.0,0.0
846adc7ffffffff,1.0,0.0,0.0,0.0
846add9ffffffff,2.0,0.0,0.0,0.0
846ade7ffffffff,76.0,0.0,0.0,0.0
846ae85ffffffff,2.0,0.0,0.0,0.0
846aea1ffffffff,12.0,0.0,0.0,5.0
846aea9ffffffff,2.0,0.0,0.0,2.0
846aedbffffffff,2.0,0.0,0.0,0.0
847a409ffffffff,9.0,0.0,0.0,0.0
847a40bffffffff,5.0,0.0,0.0,0.0
847a40dffffffff,1.0,0.0,0.0,0.0
847a41bffffffff,9.0,0.0,0.0,0.0
847a43bffffffff,5.0,0.0,0.0,0.0
847a451ffffffff,3.0,0.0,0.0,0.0
847a453ffffffff,42.0,0.0,0.0,0.0
847a455ffffffff,256.0,0.0,0.0,6.0
847a457ffffffff,114.0,0.0,0.0,0.0
847a45bffffffff,73.0,0.0,0.0,0.0
847a489ffffffff,36.0,0.0,0.0,0.0
847a48bffffffff,11.0,0.0,0.0,0.0
847a48dffffffff,15.0,0.0,0.0,0.0
847a4c5ffffffff,12.0,0.0,0.0,0.0
847a4c7ffffffff,6.0,0.0,0.0,0.0
847a4c9ffffffff,15.0,0.0,0.0,0.0
847a4cbffffffff,15.0,0.0,0.0,0.0
847a4cdffffffff,18.0,0.0,0.0,0.0
847a4ddffffffff,11.0,0.0,0.0,0.0
847a683ffffffff,20.0,0.0,0.0,0.0
847a68dffffffff,3.0,0.0,0.0,0.0
847a6a3ffffffff,3.0,0.0,0.0,0.0
847a6a5ffffffff,1.0,0.0,0.0,0.0
847a6adffffffff,3.0,0.0,0.0,0.0
847a6b5ffffffff,1.0,0.0,0.0,0.0
847a6b7ffffffff,4.0,0.0,0.0,0.0
847a6e1ffffffff,2.0,0.0,0.0,0.0
847a6e5ffffffff,62.0,0.0,0.0,0.0
847a6e7ffffffff,13.0,0.0,0.0,0.0
8482d03ffffffff,8.0,7.0,0.0,0.0
8482d1dffffffff,35.0,32.0,0.0,0.0
8482d3dffffffff,40.0,28.0,0.0,0.0
8483151ffffffff,1.0,0.0,1.0,0.0
8483263ffffffff,4.0,0.0,0.0,0.0
848332bffffffff,3.0,0.0,3.0,0.0
848333dffffffff,14.0,0.0,2.0,0.0
8496925ffffffff,5.0,0.0,0.0,0.0
8496933ffffffff,1.0,0.0,0.0,0.0
8496935ffffffff,6.0,0.0,0.0,0.0
