cell_id,Troglodytes pacificus,Troglodytes pacificus [alascensis Group],Troglodytes pacificus [pacificus Group]
830c41fffffffff,600.0,0.0,0.0
830c42fffffffff,483.0,0.0,0.0
830c44fffffffff,7.0,0.0,0.0
830c45fffffffff,64.0,0.0,0.0
830c46fffffffff,38.0,0.0,0.0
830c50fffffffff,5.0,0.0,0.0
830c51fffffffff,176.0,0.0,0.0
830c55fffffffff,9.0,0.0,0.0
830c5afffffffff,868.0,0.0,0.0
830c5efffffffff,2.0,0.0,0.0
830c6afffffffff,6.0,0.0,0.0
830c73fffffffff,39.0,0.0,0.0
830cccfffffffff,4.0,0.0,0.0
830ccdfffffffff,2.0,0.0,0.0
830cddfffffffff,2.0,0.0,0.0
830ce8fffffffff,2.0,0.0,0.0
830ce9fffffffff,11.0,0.0,0.0
830cedfffffffff,14.0,0.0,0.0
830ceefffffffff,3.0,0.0,0.0
83121afffffffff,18.0,0.0,0.0
831280fffffffff,217.0,0.0,0.0
831281fffffffff,4.0,0.0,0.0
831282fffffffff,16.0,0.0,0.0
831283fffffffff,3.0,0.0,0.0
831284fffffffff,97.0,0.0,0.0
831285fffffffff,39.0,0.0,0.0
831286fffffffff,146.0,0.0,0.0
831288fffffffff,2.0,0.0,0.0
831289fffffffff,5.0,0.0,0.0
83128bfffffffff,143.0,0.0,0.0
83128cfffffffff,4.0,0.0,0.0
83128dfffffffff,46.0,0.0,0.0
83128efffffffff,4.0,0.0,0.0
831290fffffffff,182.0,0.0,0.0
831291fffffffff,1.0,0.0,0.0
831293fffffffff,28.0,0.0,0.0
831294fffffffff,235.0,0.0,0.0
831295fffffffff,1.0,0.0,0.0
831298fffffffff,126.0,0.0,0.0
831299fffffffff,34.0,0.0,0.0
83129afffffffff,55.0,0.0,0.0
83129bfffffffff,297.0,0.0,0.0
83129cfffffffff,108.0,0.0,0.0
83129dfffffffff,15.0,0.0,0.0
8312a2fffffffff,113.0,0.0,0.0
8312a3fffffffff,14.0,0.0,0.0
8312a6fffffffff,4.0,0.0,0.0
8312a8fffffffff,24.0,0.0,0.0
8312a9fffffffff,46.0,0.0,0.0
8312aafffffffff,4.0,0.0,0.0
8312abfffffffff,40.0,0.0,0.0
8312adfffffffff,45.0,0.0,0.0
8312b0fffffffff,1316.0,0.0,0.0
8312b1fffffffff,17.0,0.0,0.0
8312b2fffffffff,5.0,0.0,0.0
8312b3fffffffff,8.0,0.0,0.0
8312b4fffffffff,224.0,0.0,0.0
8312b5fffffffff,87.0,0.0,0.0
