cell_id,Henicorhina leucophrys,Henicorhina leucophrys [mexicana Group],Henicorhina leucophrys brunneiceps,Henicorhina leucophrys bangsi,Henicorhina leucophrys manastarae,Henicorhina leucophrys meridana,Henicorhina leucophrys venezuelensis,Henicorhina leucophrys hilaris,Henicorhina leucophrys leucophrys/boliviana
824527fffffffff,725.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824537fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824987fffffffff,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824997fffffffff,1029.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82499ffffffffff,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8249affffffffff,235.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8249b7fffffffff,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826607fffffffff,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82660ffffffffff,3133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826617fffffffff,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82661ffffffffff,13305.0,0.0,681.0,0.0,0.0,0.0,0.0,0.0,188.0
826627fffffffff,4820.0,0.0,0.0,1666.0,398.0,0.0,0.0,0.0,0.0
82662ffffffffff,426.0,0.0,0.0,0.0,3.0,61.0,0.0,0.0,0.0
826637fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826657fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266a7fffffffff,1682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266b7fffffffff,12765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266c7fffffffff,3150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266d7fffffffff,10661.0,0.0,565.0,0.0,0.0,0.0,0.0,11.0,857.0
8266dffffffffff,3830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0
8266e7fffffffff,15653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0
8266f7fffffffff,6568.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,187.0
826747fffffffff,635.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
82674ffffffffff,899.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
826757fffffffff,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82675ffffffffff,493.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
82679ffffffffff,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826d07fffffffff,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826d17fffffffff,425.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826d27fffffffff,271.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826d2ffffffffff,7140.0,2580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826d37fffffffff,1695.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826d67fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826d6ffffffffff,10636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828b27fffffffff,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828b2ffffffffff,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828b67fffffffff,1526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0
828b6ffffffffff,1108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
828b77fffffffff,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828e67fffffffff,613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828e6ffffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
828f0ffffffffff,517.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0
828f2ffffffffff,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
828f47fffffffff,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
828f4ffffffffff,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828f57fffffffff,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
828f5ffffffffff,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
828f77fffffffff,1684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0
82b327fffffffff,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
