cell_id,Fregetta grallaria,Fregetta grallaria [grallaria Group],Fregetta grallaria titan
837d76fffffffff,1.0,0.0,0.0
8398f1fffffffff,1.0,0.0,0.0
8399acfffffffff,1.0,0.0,0.0
83a0edfffffffff,1.0,0.0,0.0
83a113fffffffff,1.0,0.0,0.0
83a16cfffffffff,6.0,2.0,4.0
83a980fffffffff,1.0,1.0,0.0
83ad30fffffffff,1.0,0.0,0.0
83b218fffffffff,2.0,0.0,0.0
83b219fffffffff,3.0,0.0,0.0
83b230fffffffff,14.0,0.0,0.0
83b232fffffffff,1.0,0.0,0.0
83b233fffffffff,9.0,0.0,0.0
83b236fffffffff,12.0,0.0,0.0
83b283fffffffff,1.0,0.0,0.0
83b289fffffffff,4.0,0.0,0.0
83b28bfffffffff,2.0,0.0,0.0
83b299fffffffff,17.0,0.0,0.0
83b2dafffffffff,3.0,0.0,0.0
83b393fffffffff,1.0,0.0,0.0
83b39afffffffff,1.0,0.0,0.0
83b3a9fffffffff,5.0,0.0,0.0
83b666fffffffff,1.0,0.0,0.0
83ba04fffffffff,36.0,0.0,0.0
83ba1afffffffff,1.0,0.0,0.0
83ba1cfffffffff,16.0,0.0,0.0
83ba1efffffffff,8.0,0.0,0.0
83ba2afffffffff,1.0,0.0,0.0
83bb01fffffffff,1.0,0.0,0.0
83bb59fffffffff,1.0,0.0,0.0
83bd24fffffffff,1.0,0.0,0.0
83bd62fffffffff,4.0,0.0,0.0
83bd75fffffffff,2.0,2.0,0.0
83be0efffffffff,4.0,0.0,0.0
83be1dfffffffff,1.0,0.0,0.0
83be8cfffffffff,23.0,0.0,0.0
83beaafffffffff,14.0,0.0,0.0
83beabfffffffff,11.0,0.0,0.0
83beaefffffffff,5.0,0.0,0.0
83c009fffffffff,1.0,0.0,0.0
83c018fffffffff,1.0,0.0,0.0
83c01bfffffffff,1.0,0.0,0.0
83c01efffffffff,4.0,0.0,0.0
83c046fffffffff,1.0,0.0,0.0
83c08afffffffff,1.0,1.0,0.0
83c08bfffffffff,2.0,0.0,0.0
83c08cfffffffff,1.0,0.0,0.0
83c0abfffffffff,1.0,0.0,0.0
83c0e2fffffffff,4.0,0.0,0.0
83c0e6fffffffff,1.0,0.0,0.0
83c288fffffffff,2.0,0.0,0.0
83c299fffffffff,1.0,0.0,0.0
83c386fffffffff,4.0,0.0,0.0
83c3a0fffffffff,2.0,0.0,0.0
83c3a1fffffffff,7.0,0.0,0.0
83c456fffffffff,1.0,0.0,0.0
83c492fffffffff,1.0,0.0,0.0
83c553fffffffff,1.0,0.0,0.0
83cb71fffffffff,1.0,1.0,0.0
83ced6fffffffff,4.0,0.0,0.0
83ced8fffffffff,1.0,0.0,0.0
83d134fffffffff,1.0,0.0,0.0
83d6d8fffffffff,5.0,0.0,0.0
83d6dbfffffffff,1.0,0.0,0.0
83dc58fffffffff,2.0,0.0,0.0
83dc5afffffffff,2.0,0.0,0.0
83dccdfffffffff,1.0,0.0,0.0
83dccefffffffff,1.0,0.0,0.0
83de4bfffffffff,2.0,0.0,0.0
83de5dfffffffff,2.0,0.0,0.0
