cell_id,Ramphastos tucanus,Ramphastos tucanus tucanus,Ramphastos tucanus cuvieri/inca
825f4ffffffffff,2.0,0.0,0.0
82661ffffffffff,3.0,0.0,0.0
826647fffffffff,8.0,0.0,8.0
8266c7fffffffff,7.0,0.0,0.0
8266d7fffffffff,5.0,0.0,0.0
8266dffffffffff,23.0,0.0,13.0
82814ffffffffff,1.0,1.0,0.0
828a07fffffffff,1.0,0.0,0.0
828a4ffffffffff,1.0,0.0,0.0
828af7fffffffff,5.0,5.0,0.0
828b47fffffffff,3.0,0.0,3.0
828b5ffffffffff,6.0,0.0,6.0
828b67fffffffff,9.0,0.0,9.0
828b9ffffffffff,1.0,0.0,1.0
828f4ffffffffff,4.0,0.0,0.0
828f77fffffffff,1.0,0.0,0.0
