cell_id,Dicaeum celebicum,Dicaeum celebicum [celebicum Group],Dicaeum celebicum kuehni
8468c23ffffffff,3.0,2.0,0.0
8468c27ffffffff,7.0,0.0,0.0
8468c2bffffffff,2.0,2.0,0.0
8468c31ffffffff,1.0,0.0,0.0
8468c37ffffffff,11.0,5.0,0.0
8468c81ffffffff,61.0,6.0,0.0
8468c89ffffffff,16.0,2.0,0.0
8468c8bffffffff,168.0,34.0,0.0
8468ca9ffffffff,33.0,6.0,0.0
8468cadffffffff,1.0,0.0,0.0
8468cd1ffffffff,8.0,0.0,0.0
8468cd9ffffffff,1.0,0.0,0.0
8468ce7ffffffff,76.0,26.0,0.0
8468d05ffffffff,7.0,0.0,0.0
8468d13ffffffff,2.0,0.0,0.0
8468d23ffffffff,17.0,10.0,0.0
8468d29ffffffff,57.0,17.0,0.0
8468d2bffffffff,115.0,26.0,0.0
8468d35ffffffff,2.0,2.0,0.0
8468d81ffffffff,4.0,2.0,0.0
8468d83ffffffff,2.0,0.0,0.0
8468d85ffffffff,42.0,6.0,0.0
8468d87ffffffff,7.0,1.0,0.0
8468d8dffffffff,7.0,2.0,0.0
8468dd9ffffffff,4.0,3.0,0.0
8468ddbffffffff,42.0,9.0,0.0
8473b09ffffffff,31.0,0.0,0.0
8473b61ffffffff,18.0,4.0,0.0
8473b6dffffffff,6.0,0.0,0.0
8495001ffffffff,2.0,0.0,0.0
8495003ffffffff,1.0,1.0,0.0
8495009ffffffff,4.0,2.0,0.0
849500bffffffff,34.0,9.0,0.0
8495055ffffffff,18.0,6.0,0.0
849505bffffffff,1.0,0.0,0.0
849509bffffffff,1.0,0.0,0.0
84950d1ffffffff,5.0,1.0,0.0
84950dbffffffff,1.0,0.0,0.0
849523bffffffff,1.0,0.0,0.0
84952b3ffffffff,1.0,0.0,0.0
84952d5ffffffff,2.0,0.0,0.0
8495605ffffffff,3.0,0.0,0.0
8495661ffffffff,10.0,2.0,0.0
8495665ffffffff,1.0,0.0,0.0
8495725ffffffff,17.0,0.0,15.0
849576dffffffff,2.0,2.0,0.0
