cell_id,Anthus correndera,Anthus correndera [correndera Group],Anthus correndera grayi
828e67fffffffff,2.0,0.0,0.0
82a907fffffffff,14.0,0.0,0.0
82a967fffffffff,2.0,0.0,0.0
82b247fffffffff,15.0,0.0,0.0
82b24ffffffffff,78.0,0.0,0.0
82b26ffffffffff,8.0,0.0,0.0
82b277fffffffff,1.0,0.0,0.0
82b2c7fffffffff,80.0,26.0,0.0
82b2cffffffffff,1.0,0.0,0.0
82b2e7fffffffff,23.0,0.0,0.0
82b2effffffffff,18.0,0.0,0.0
82b307fffffffff,17.0,1.0,0.0
82b30ffffffffff,13.0,0.0,0.0
82b31ffffffffff,15.0,0.0,0.0
82b327fffffffff,4.0,0.0,0.0
82b357fffffffff,18.0,0.0,0.0
82b35ffffffffff,6.0,0.0,0.0
82c21ffffffffff,5.0,5.0,0.0
82c2c7fffffffff,13.0,0.0,0.0
82c2cffffffffff,42.0,0.0,0.0
82c2d7fffffffff,16.0,0.0,0.0
82c2e7fffffffff,17.0,0.0,0.0
82c2effffffffff,80.0,0.0,0.0
82c2f7fffffffff,11.0,0.0,0.0
82c347fffffffff,18.0,0.0,0.0
82c34ffffffffff,36.0,0.0,0.0
82ce87fffffffff,4.0,0.0,0.0
82ce8ffffffffff,2.0,0.0,0.0
82cea7fffffffff,1.0,1.0,0.0
82cf17fffffffff,10.0,0.0,0.0
82cf8ffffffffff,2.0,0.0,0.0
82cfa7fffffffff,11.0,3.0,0.0
82de67fffffffff,6.0,0.0,6.0
82de77fffffffff,14.0,0.0,13.0
82df47fffffffff,5.0,0.0,0.0
82df6ffffffffff,21.0,2.0,0.0
