cell_id,Sitta carolinensis,Sitta carolinensis carolinensis,Sitta carolinensis [lagunae Group],Sitta carolinensis aculeata/alexandrae
820edffffffffff,1.0,0.0,0.0,0.0
82121ffffffffff,57.0,0.0,0.0,0.0
821247fffffffff,4.0,0.0,0.0,0.0
82124ffffffffff,61.0,0.0,0.0,0.0
821257fffffffff,597.0,182.0,0.0,0.0
82125ffffffffff,558.0,6.0,0.0,0.0
82126ffffffffff,11.0,0.0,0.0,0.0
821277fffffffff,8.0,0.0,0.0,0.0
82128ffffffffff,10.0,0.0,0.0,0.0
8212affffffffff,182.0,0.0,0.0,0.0
8212c7fffffffff,591.0,52.0,0.0,0.0
8212cffffffffff,14001.0,60.0,30.0,0.0
8212d7fffffffff,927.0,0.0,0.0,0.0
8212dffffffffff,2135.0,0.0,117.0,0.0
8212e7fffffffff,887.0,11.0,0.0,0.0
8212effffffffff,4390.0,74.0,0.0,0.0
8212f7fffffffff,14.0,0.0,0.0,0.0
822607fffffffff,2956.0,509.0,0.0,0.0
82260ffffffffff,7963.0,569.0,0.0,0.0
822617fffffffff,1145.0,40.0,102.0,0.0
82261ffffffffff,675.0,82.0,0.0,0.0
822627fffffffff,17660.0,767.0,0.0,0.0
82262ffffffffff,23856.0,720.0,0.0,0.0
822637fffffffff,1327.0,229.0,0.0,0.0
822647fffffffff,17811.0,1846.0,0.0,0.0
82264ffffffffff,13463.0,223.0,0.0,0.0
822657fffffffff,24318.0,1528.0,0.0,0.0
82265ffffffffff,9576.0,195.0,0.0,0.0
822667fffffffff,57878.0,6017.0,0.0,0.0
82266ffffffffff,21552.0,4001.0,0.0,0.0
822677fffffffff,7323.0,315.0,0.0,0.0
822687fffffffff,17068.0,0.0,3077.0,0.0
82268ffffffffff,32776.0,26.0,7195.0,0.0
822697fffffffff,197.0,0.0,42.0,0.0
82269ffffffffff,6254.0,0.0,972.0,0.0
8226a7fffffffff,840.0,7.0,109.0,0.0
8226affffffffff,3313.0,730.0,176.0,0.0
8226b7fffffffff,332.0,0.0,37.0,0.0
8226c7fffffffff,1350.0,37.0,0.0,0.0
8226cffffffffff,2404.0,32.0,0.0,0.0
8226d7fffffffff,165.0,8.0,4.0,0.0
8226dffffffffff,4.0,0.0,0.0,0.0
8226e7fffffffff,8605.0,592.0,0.0,0.0
8226effffffffff,5952.0,110.0,0.0,0.0
8226f7fffffffff,790.0,220.0,0.0,0.0
822707fffffffff,6290.0,0.0,0.0,0.0
82270ffffffffff,5375.0,527.0,0.0,0.0
822717fffffffff,1136.0,0.0,0.0,0.0
82271ffffffffff,3580.0,292.0,0.0,0.0
82272ffffffffff,21.0,0.0,0.0,0.0
822747fffffffff,14895.0,303.0,0.0,0.0
82274ffffffffff,84095.0,988.0,0.0,0.0
822757fffffffff,24541.0,1863.0,0.0,0.0
82275ffffffffff,64355.0,1931.0,0.0,0.0
822767fffffffff,2943.0,254.0,0.0,0.0
82276ffffffffff,8208.0,174.0,0.0,0.0
822777fffffffff,943.0,15.0,0.0,0.0
822787fffffffff,168.0,18.0,0.0,0.0
82278ffffffffff,711.0,32.0,55.0,0.0
822797fffffffff,1108.0,4.0,102.0,0.0
82279ffffffffff,730.0,0.0,15.0,0.0
8227a7fffffffff,531.0,0.0,0.0,0.0
8227affffffffff,1710.0,163.0,0.0,0.0
8227b7fffffffff,63.0,2.0,0.0,0.0
822807fffffffff,397.0,0.0,0.0,14.0
822817fffffffff,6976.0,0.0,220.0,969.0
82281ffffffffff,7195.0,0.0,0.0,917.0
822837fffffffff,62287.0,0.0,29.0,12825.0
822887fffffffff,1392.0,0.0,53.0,0.0
82288ffffffffff,1868.0,0.0,123.0,0.0
822897fffffffff,386.0,0.0,21.0,0.0
82289ffffffffff,2547.0,0.0,85.0,0.0
8228a7fffffffff,14.0,0.0,1.0,0.0
8228affffffffff,4189.0,0.0,523.0,0.0
8228b7fffffffff,89.0,0.0,0.0,0.0
8228d7fffffffff,1862.0,0.0,124.0,0.0
8228dffffffffff,2.0,0.0,0.0,0.0
8228f7fffffffff,18585.0,0.0,320.0,2090.0
822917fffffffff,5873.0,0.0,0.0,338.0
82291ffffffffff,732.0,0.0,0.0,445.0
822987fffffffff,725.0,0.0,63.0,0.0
82298ffffffffff,6073.0,0.0,1108.0,93.0
822997fffffffff,3170.0,0.0,528.0,0.0
82299ffffffffff,228.0,0.0,66.0,0.0
8229a7fffffffff,31742.0,0.0,0.0,1527.0
8229affffffffff,13562.0,0.0,279.0,2122.0
8229b7fffffffff,4687.0,0.0,682.0,0.0
822a07fffffffff,360.0,70.0,0.0,0.0
822a17fffffffff,147522.0,9834.0,0.0,0.0
822a37fffffffff,162632.0,23307.0,0.0,0.0
822a87fffffffff,36999.0,5369.0,0.0,0.0
822a8ffffffffff,56296.0,5604.0,0.0,0.0
822a97fffffffff,60115.0,5883.0,0.0,0.0
822a9ffffffffff,11562.0,757.0,0.0,0.0
822aa7fffffffff,70176.0,20135.0,0.0,0.0
822aaffffffffff,152023.0,13357.0,0.0,0.0
822ab7fffffffff,86698.0,4841.0,0.0,0.0
822ad7fffffffff,8758.0,2894.0,0.0,0.0
822af7fffffffff,12245.0,690.0,0.0,0.0
822b07fffffffff,3243.0,0.0,0.0,0.0
822b0ffffffffff,6186.0,0.0,0.0,0.0
822b17fffffffff,1451.0,4.0,0.0,0.0
822b1ffffffffff,10060.0,623.0,0.0,0.0
822b27fffffffff,7.0,0.0,0.0,0.0
822b2ffffffffff,84.0,0.0,0.0,0.0
822b37fffffffff,1.0,0.0,0.0,0.0
822b87fffffffff,51215.0,3175.0,0.0,0.0
822b8ffffffffff,93388.0,11494.0,0.0,0.0
822b97fffffffff,843.0,82.0,0.0,0.0
822b9ffffffffff,98809.0,9306.0,0.0,0.0
822ba7fffffffff,54.0,0.0,0.0,0.0
822baffffffffff,108091.0,458.0,0.0,0.0
824447fffffffff,141.0,0.0,0.0,0.0
82444ffffffffff,1922.0,31.0,0.0,0.0
824457fffffffff,13.0,0.0,0.0,0.0
82445ffffffffff,1653.0,78.0,0.0,0.0
82446ffffffffff,1116.0,35.0,0.0,0.0
8244c7fffffffff,19509.0,2939.0,0.0,0.0
8244cffffffffff,23930.0,1323.0,0.0,0.0
8244d7fffffffff,11543.0,588.0,0.0,0.0
8244dffffffffff,25248.0,3140.0,0.0,0.0
8244e7fffffffff,1527.0,62.0,0.0,0.0
8244effffffffff,3344.0,112.0,0.0,0.0
8244f7fffffffff,217.0,39.0,0.0,0.0
82480ffffffffff,2.0,0.0,0.0,0.0
824817fffffffff,230.0,0.0,0.0,0.0
82481ffffffffff,130.0,0.0,0.0,0.0
82482ffffffffff,85.0,0.0,47.0,0.0
824837fffffffff,71.0,0.0,0.0,0.0
82484ffffffffff,7.0,0.0,0.0,0.0
82485ffffffffff,382.0,0.0,0.0,1.0
82488ffffffffff,12.0,0.0,3.0,0.0
82489ffffffffff,72.0,0.0,0.0,0.0
8248a7fffffffff,445.0,0.0,0.0,0.0
8248affffffffff,498.0,0.0,113.0,0.0
8248c7fffffffff,18975.0,0.0,4975.0,0.0
8248cffffffffff,8867.0,0.0,2508.0,0.0
8248d7fffffffff,1154.0,0.0,208.0,0.0
8248dffffffffff,29967.0,0.0,5082.0,0.0
8248e7fffffffff,457.0,0.0,4.0,0.0
8248effffffffff,74247.0,0.0,21391.0,0.0
8248f7fffffffff,4021.0,0.0,919.0,0.0
824987fffffffff,680.0,0.0,48.0,0.0
82498ffffffffff,134.0,0.0,0.0,0.0
824997fffffffff,2944.0,0.0,234.0,0.0
82499ffffffffff,42.0,0.0,0.0,0.0
8249a7fffffffff,1.0,0.0,1.0,0.0
8249affffffffff,340.0,0.0,26.0,0.0
8249b7fffffffff,270.0,0.0,2.0,0.0
826d37fffffffff,294.0,0.0,81.0,0.0
