cell_id,Formicarius analis,Formicarius analis [hoffmanni Group],Formicarius analis [analis Group]
825f4ffffffffff,1.0,0.0,0.0
825f5ffffffffff,8.0,0.0,4.0
82660ffffffffff,2.0,0.0,0.0
826617fffffffff,15.0,4.0,0.0
82661ffffffffff,46.0,5.0,0.0
8266a7fffffffff,2.0,0.0,0.0
8266b7fffffffff,13.0,7.0,0.0
8266c7fffffffff,1.0,0.0,0.0
8266d7fffffffff,3.0,0.0,0.0
826747fffffffff,2.0,0.0,0.0
82675ffffffffff,14.0,0.0,0.0
826d6ffffffffff,57.0,45.0,0.0
828adffffffffff,1.0,0.0,0.0
828b47fffffffff,4.0,0.0,4.0
828b5ffffffffff,6.0,0.0,6.0
828b67fffffffff,9.0,0.0,9.0
828b6ffffffffff,1.0,0.0,0.0
