cell_id,Ramphocelus flammigerus,Ramphocelus flammigerus flammigerus,Ramphocelus flammigerus icteronotus,Ramphocelus flammigerus flammigerus x icteronotus
836610fffffffff,2.0,0.0,0.0,0.0
836611fffffffff,2.0,0.0,2.0,0.0
836618fffffffff,2.0,0.0,0.0,0.0
836619fffffffff,3.0,0.0,0.0,0.0
83661afffffffff,2.0,0.0,2.0,0.0
83661bfffffffff,17.0,16.0,1.0,0.0
8366a0fffffffff,17.0,0.0,1.0,0.0
8366a1fffffffff,5.0,0.0,0.0,0.0
8366a5fffffffff,9.0,0.0,0.0,0.0
8366b5fffffffff,2.0,0.0,0.0,0.0
8366c6fffffffff,4.0,4.0,0.0,0.0
8366d0fffffffff,6.0,0.0,6.0,0.0
8366d2fffffffff,4.0,0.0,4.0,0.0
8366d3fffffffff,68.0,0.0,62.0,0.0
8366d5fffffffff,6.0,0.0,0.0,0.0
8366e6fffffffff,4.0,1.0,0.0,0.0
8366f0fffffffff,11.0,1.0,6.0,3.0
8366f1fffffffff,10.0,3.0,4.0,0.0
8366f5fffffffff,1.0,0.0,0.0,0.0
838f0dfffffffff,27.0,0.0,22.0,0.0
838f2afffffffff,8.0,0.0,8.0,0.0
