cell_id,Pachyramphus major,Pachyramphus major uropygialis,Pachyramphus major [major Group]
824507fffffffff,26.0,0.0,0.0
82450ffffffffff,2.0,0.0,0.0
824527fffffffff,49.0,0.0,0.0
82452ffffffffff,31.0,0.0,0.0
82481ffffffffff,4.0,0.0,0.0
8248a7fffffffff,2.0,0.0,0.0
8248b7fffffffff,118.0,0.0,3.0
824987fffffffff,4.0,0.0,0.0
824997fffffffff,8.0,0.0,0.0
82499ffffffffff,5.0,0.0,0.0
8249a7fffffffff,1.0,0.0,0.0
8249b7fffffffff,4.0,0.0,0.0
826d17fffffffff,2.0,2.0,0.0
826d27fffffffff,6.0,0.0,0.0
826d2ffffffffff,12.0,0.0,0.0
826d37fffffffff,19.0,0.0,9.0
826d67fffffffff,2.0,0.0,0.0
