cell_id,Chlidonias niger,Chlidonias niger niger,Chlidonias niger surinamensis
8407465ffffffff,5.0,5.0,0.0
84075ddffffffff,2.0,0.0,1.0
8407733ffffffff,55.0,6.0,0.0
8408d45ffffffff,2.0,0.0,0.0
840991bffffffff,1.0,0.0,0.0
8409993ffffffff,4.0,2.0,0.0
840c64bffffffff,2.0,0.0,0.0
840e4d3ffffffff,2.0,0.0,0.0
840e4dbffffffff,2.0,0.0,0.0
840e805ffffffff,13.0,0.0,0.0
840ec19ffffffff,4.0,0.0,0.0
840ec91ffffffff,8.0,0.0,0.0
840ecbdffffffff,1.0,0.0,0.0
840ecc9ffffffff,27.0,0.0,0.0
840ee87ffffffff,1.0,0.0,0.0
840eea7ffffffff,97.0,0.0,1.0
840eeb5ffffffff,8.0,0.0,0.0
840ef39ffffffff,1.0,0.0,0.0
8411813ffffffff,4.0,4.0,0.0
84118cdffffffff,1.0,0.0,0.0
8411ae3ffffffff,4.0,0.0,0.0
8412181ffffffff,2.0,0.0,0.0
8412187ffffffff,3.0,0.0,0.0
84121a3ffffffff,2.0,0.0,0.0
84121e3ffffffff,2.0,0.0,0.0
8412515ffffffff,6.0,0.0,6.0
8412531ffffffff,1.0,0.0,0.0
8412597ffffffff,3.0,0.0,3.0
84125d3ffffffff,1.0,0.0,0.0
8412881ffffffff,1.0,0.0,1.0
8412885ffffffff,2.0,0.0,2.0
84128e3ffffffff,1.0,0.0,1.0
8412ab5ffffffff,3.0,0.0,0.0
8412c1bffffffff,1.0,0.0,1.0
8412c3bffffffff,3.0,0.0,0.0
8412cadffffffff,11.0,0.0,0.0
8412cb1ffffffff,17.0,0.0,0.0
8412cbbffffffff,5.0,0.0,0.0
8412cc1ffffffff,3.0,0.0,0.0
8412cc9ffffffff,1.0,0.0,0.0
8412ce3ffffffff,4.0,0.0,0.0
8412ce5ffffffff,2.0,0.0,0.0
8412ce7ffffffff,1.0,0.0,0.0
8412d03ffffffff,3.0,0.0,0.0
8412d11ffffffff,2.0,0.0,0.0
8412d17ffffffff,9.0,0.0,0.0
8412d39ffffffff,18.0,0.0,0.0
8412d3dffffffff,6.0,0.0,0.0
8412d95ffffffff,2.0,0.0,0.0
8412da9ffffffff,2.0,0.0,0.0
8412dd7ffffffff,1.0,0.0,0.0
8412ddbffffffff,31.0,0.0,0.0
8412de7ffffffff,17.0,0.0,0.0
8412ea3ffffffff,2.0,0.0,0.0
8412ea5ffffffff,3.0,0.0,0.0
8412eb9ffffffff,2.0,0.0,2.0
8412ec1ffffffff,3.0,0.0,3.0
8412f13ffffffff,3.0,0.0,0.0
8413829ffffffff,4.0,0.0,0.0
84138c3ffffffff,2.0,0.0,0.0
84138c7ffffffff,2.0,0.0,2.0
841391dffffffff,2.0,0.0,0.0
8418019ffffffff,3.0,3.0,0.0
841801dffffffff,1.0,1.0,0.0
8418053ffffffff,43.0,37.0,0.0
8418057ffffffff,5.0,5.0,0.0
841828bffffffff,3.0,1.0,0.0
84182abffffffff,1.0,0.0,0.0
84182c1ffffffff,11.0,11.0,0.0
84182cbffffffff,13.0,13.0,0.0
84182e5ffffffff,12.0,0.0,12.0
8418495ffffffff,16.0,3.0,0.0
841849dffffffff,2.0,0.0,0.0
8418595ffffffff,1.0,0.0,0.0
8418597ffffffff,1.0,0.0,0.0
84185bbffffffff,11.0,2.0,0.0
8418729ffffffff,1.0,0.0,0.0
8418763ffffffff,4.0,1.0,0.0
8419401ffffffff,2.0,0.0,0.0
8419407ffffffff,2.0,0.0,2.0
8419413ffffffff,4.0,2.0,0.0
8419421ffffffff,2.0,2.0,0.0
841942bffffffff,2.0,0.0,0.0
8419435ffffffff,1.0,0.0,0.0
8419485ffffffff,5.0,2.0,1.0
84194c5ffffffff,4.0,3.0,0.0
84194e5ffffffff,1.0,0.0,0.0
84194e7ffffffff,1.0,0.0,0.0
8419511ffffffff,1.0,0.0,0.0
8419527ffffffff,1.0,1.0,0.0
8419565ffffffff,2.0,0.0,0.0
