cell_id,Sicalis flaveola,Sicalis flaveola [flaveola Group],Sicalis flaveola pelzelni
8328d1fffffffff,1.0,0.0,0.0
8329a1fffffffff,2.0,0.0,0.0
8329a4fffffffff,2.0,0.0,0.0
832a30fffffffff,7.0,0.0,0.0
834412fffffffff,4.0,0.0,0.0
834416fffffffff,1.0,0.0,0.0
83441efffffffff,3.0,0.0,0.0
8344aefffffffff,14.0,0.0,0.0
8345b2fffffffff,10.0,0.0,0.0
834cc4fffffffff,1.0,0.0,0.0
834cc5fffffffff,56.0,0.0,0.0
834ceefffffffff,12.0,3.0,0.0
835d10fffffffff,23.0,2.0,0.0
835d11fffffffff,2.0,0.0,0.0
835d14fffffffff,2.0,0.0,0.0
835d16fffffffff,7.0,0.0,0.0
835f09fffffffff,2.0,0.0,0.0
835f4bfffffffff,2.0,0.0,0.0
835f58fffffffff,4.0,4.0,0.0
836608fffffffff,11.0,0.0,0.0
836612fffffffff,2.0,0.0,0.0
836622fffffffff,1.0,1.0,0.0
836629fffffffff,2.0,2.0,0.0
836641fffffffff,4.0,0.0,0.0
8366a0fffffffff,2.0,0.0,0.0
8366a1fffffffff,7.0,0.0,0.0
8366a5fffffffff,36.0,4.0,0.0
8366b5fffffffff,7.0,0.0,0.0
8366c6fffffffff,3.0,0.0,0.0
8366d1fffffffff,3.0,0.0,0.0
8366d3fffffffff,5.0,2.0,0.0
8366dafffffffff,1.0,0.0,0.0
8366dcfffffffff,7.0,0.0,0.0
8366e2fffffffff,2.0,0.0,0.0
8366e5fffffffff,2.0,0.0,0.0
8366e6fffffffff,2.0,0.0,0.0
8366f1fffffffff,5.0,0.0,0.0
836732fffffffff,3.0,0.0,0.0
836741fffffffff,26.0,3.0,0.0
836743fffffffff,1.0,0.0,0.0
836744fffffffff,23.0,0.0,0.0
836746fffffffff,6.0,0.0,0.0
836753fffffffff,1.0,0.0,0.0
836755fffffffff,1.0,0.0,0.0
836759fffffffff,1.0,1.0,0.0
83675afffffffff,5.0,2.0,0.0
83675cfffffffff,3.0,0.0,0.0
83675efffffffff,2.0,0.0,0.0
83678bfffffffff,1.0,0.0,0.0
836d66fffffffff,1.0,0.0,0.0
838adafffffffff,4.0,0.0,0.0
838af6fffffffff,12.0,0.0,0.0
838b20fffffffff,4.0,0.0,2.0
838b22fffffffff,9.0,0.0,9.0
838b25fffffffff,8.0,0.0,8.0
838b2cfffffffff,4.0,0.0,0.0
838b42fffffffff,8.0,0.0,0.0
838b71fffffffff,4.0,0.0,0.0
838bb5fffffffff,1.0,0.0,1.0
838e45fffffffff,3.0,0.0,0.0
838e62fffffffff,20.0,7.0,0.0
838e6afffffffff,2.0,0.0,0.0
838f2cfffffffff,3.0,3.0,0.0
838f73fffffffff,2.0,2.0,0.0
83a831fffffffff,1.0,1.0,0.0
83a835fffffffff,2.0,0.0,2.0
83a859fffffffff,2.0,0.0,2.0
83a895fffffffff,2.0,0.0,0.0
83a8a2fffffffff,4.0,4.0,0.0
83a90efffffffff,1.0,0.0,1.0
83a91bfffffffff,2.0,0.0,2.0
83a92cfffffffff,1.0,0.0,0.0
83a92dfffffffff,4.0,0.0,4.0
83a92efffffffff,4.0,0.0,0.0
83a952fffffffff,1.0,0.0,0.0
83a953fffffffff,15.0,0.0,15.0
83a961fffffffff,70.0,0.0,0.0
83a962fffffffff,5.0,0.0,5.0
83a965fffffffff,20.0,0.0,0.0
83a966fffffffff,1.0,0.0,1.0
83a96cfffffffff,23.0,0.0,0.0
83a96dfffffffff,2.0,0.0,0.0
83a96efffffffff,2.0,0.0,0.0
83b248fffffffff,19.0,0.0,0.0
83b249fffffffff,119.0,0.0,0.0
83b24bfffffffff,9.0,0.0,0.0
83b24cfffffffff,2.0,0.0,0.0
83b24dfffffffff,1111.0,0.0,0.0
83b254fffffffff,2.0,0.0,0.0
83b259fffffffff,2.0,0.0,0.0
83b25bfffffffff,1.0,0.0,0.0
83b25efffffffff,5.0,0.0,0.0
83b261fffffffff,12.0,0.0,0.0
83b268fffffffff,65.0,0.0,0.0
83b269fffffffff,91.0,0.0,0.0
83b26afffffffff,6.0,0.0,0.0
83b26bfffffffff,150.0,0.0,0.0
83b26cfffffffff,5.0,0.0,0.0
83b26dfffffffff,112.0,0.0,0.0
83b270fffffffff,4.0,0.0,0.0
83b2c3fffffffff,3.0,0.0,0.0
83b2d8fffffffff,21.0,0.0,0.0
83b2d9fffffffff,1.0,0.0,0.0
83b2dafffffffff,2.0,0.0,0.0
83b2e1fffffffff,1.0,0.0,0.0
83b2ecfffffffff,3.0,0.0,0.0
83b342fffffffff,2.0,0.0,0.0
83b355fffffffff,2.0,0.0,0.0
83b35cfffffffff,3.0,0.0,0.0
83b366fffffffff,1.0,0.0,0.0
83c21bfffffffff,3.0,0.0,3.0
83c221fffffffff,2.0,0.0,0.0
83c2c1fffffffff,8.0,0.0,0.0
83c2c5fffffffff,42.0,0.0,5.0
83c2c6fffffffff,8.0,0.0,0.0
83c2c9fffffffff,191.0,0.0,0.0
83c2cafffffffff,11.0,0.0,0.0
83c2cdfffffffff,207.0,0.0,0.0
83c2d3fffffffff,4.0,0.0,0.0
83c2d4fffffffff,8.0,0.0,4.0
83c2d5fffffffff,1.0,0.0,0.0
83c2d6fffffffff,2.0,0.0,2.0
83c2d9fffffffff,5.0,0.0,2.0
83c2e0fffffffff,2.0,0.0,0.0
83c2e3fffffffff,5.0,0.0,0.0
83c2e9fffffffff,62.0,0.0,0.0
83c2ebfffffffff,30.0,0.0,0.0
83c2eefffffffff,2.0,0.0,0.0
83c2f1fffffffff,2.0,0.0,0.0
83c2f2fffffffff,6.0,0.0,4.0
83c2f3fffffffff,13.0,0.0,0.0
83c32dfffffffff,6.0,0.0,0.0
83c340fffffffff,2.0,0.0,0.0
83c349fffffffff,1.0,0.0,0.0
83c34bfffffffff,7.0,0.0,0.0
83c370fffffffff,2.0,0.0,0.0
83c375fffffffff,1.0,0.0,0.0
83c376fffffffff,3.0,0.0,3.0
83ce81fffffffff,2.0,0.0,0.0
83ce88fffffffff,4.0,0.0,0.0
83ce8afffffffff,15.0,0.0,0.0
83ce8cfffffffff,16.0,0.0,0.0
83ce8efffffffff,20.0,0.0,0.0
83ce92fffffffff,2.0,0.0,2.0
83ce93fffffffff,14.0,0.0,3.0
83cea8fffffffff,2.0,0.0,0.0
83ceaafffffffff,32.0,0.0,2.0
83ceaefffffffff,2.0,0.0,0.0
83cf91fffffffff,2.0,0.0,0.0
