cell_id,Neophilydor fuscipenne,Neophilydor fuscipenne fuscipenne,Neophilydor fuscipenne erythronotum
8466015ffffffff,1.0,0.0,0.0
8466031ffffffff,1.0,0.0,0.0
846608dffffffff,38.0,0.0,0.0
84660a1ffffffff,4.0,0.0,0.0
84660a7ffffffff,14.0,0.0,0.0
8466115ffffffff,2.0,0.0,0.0
8466117ffffffff,2.0,0.0,0.0
8466129ffffffff,1.0,0.0,0.0
8466131ffffffff,84.0,0.0,17.0
8466139ffffffff,94.0,0.0,6.0
846613bffffffff,5.0,0.0,0.0
8466165ffffffff,12.0,0.0,0.0
8466183ffffffff,1.0,0.0,0.0
8466193ffffffff,1.0,0.0,0.0
8466199ffffffff,16.0,0.0,0.0
846619bffffffff,127.0,0.0,0.0
84661a5ffffffff,3.0,0.0,0.0
84661adffffffff,6.0,0.0,0.0
84661d1ffffffff,19.0,0.0,0.0
84661d3ffffffff,4.0,0.0,0.0
84661d9ffffffff,1.0,0.0,0.0
84661ddffffffff,1.0,0.0,0.0
84661ebffffffff,2.0,0.0,0.0
8466a01ffffffff,7.0,4.0,0.0
8466a5bffffffff,2.0,1.0,0.0
848f0dbffffffff,100.0,0.0,19.0
