cell_id,Prinia flaviventris,Prinia flaviventris [flaviventris Group],Prinia flaviventris sonitans
84209a5ffffffff,131.0,0.0,0.0
84309a3ffffffff,2.0,0.0,0.0
84309a5ffffffff,1.0,0.0,0.0
84309adffffffff,3.0,0.0,0.0
84309b5ffffffff,5.0,0.0,0.0
843c159ffffffff,43.0,1.0,0.0
843c1c3ffffffff,10.0,0.0,0.0
843c333ffffffff,10.0,0.0,0.0
843c335ffffffff,3.0,0.0,0.0
843c337ffffffff,5.0,0.0,0.0
843c369ffffffff,25.0,0.0,0.0
843c36bffffffff,9.0,0.0,0.0
843c581ffffffff,12.0,0.0,0.0
843c585ffffffff,138.0,0.0,0.0
843c587ffffffff,13.0,0.0,0.0
843c58dffffffff,31.0,0.0,0.0
843c5a1ffffffff,3.0,0.0,0.0
843c5a9ffffffff,418.0,0.0,0.0
843c5abffffffff,6.0,0.0,0.0
843c5bdffffffff,8.0,0.0,0.0
843c5e3ffffffff,22.0,0.0,0.0
843c5e7ffffffff,4.0,0.0,0.0
843c885ffffffff,59.0,0.0,0.0
843c8dbffffffff,1.0,0.0,0.0
843cc21ffffffff,11.0,0.0,0.0
843cc9dffffffff,1.0,0.0,0.0
843ccb5ffffffff,2.0,0.0,0.0
843cd91ffffffff,4.0,0.0,0.0
843ce13ffffffff,10.0,0.0,0.0
843ce55ffffffff,10.0,0.0,0.0
843ce57ffffffff,4.0,0.0,0.0
843cea1ffffffff,9.0,0.0,0.0
843cea7ffffffff,27.0,0.0,0.0
843cf0dffffffff,2.0,0.0,0.0
843cf27ffffffff,93.0,0.0,0.0
843cf29ffffffff,819.0,0.0,0.0
843cf2dffffffff,148.0,0.0,0.0
843cf61ffffffff,7.0,0.0,0.0
843cf6bffffffff,3.0,0.0,0.0
843d107ffffffff,38.0,0.0,0.0
843d10dffffffff,9.0,0.0,0.0
843d123ffffffff,9.0,0.0,0.0
843d135ffffffff,8.0,0.0,0.0
843d137ffffffff,5.0,0.0,0.0
843d13dffffffff,82.0,0.0,0.0
843d141ffffffff,2.0,0.0,0.0
843d147ffffffff,8.0,0.0,0.0
843d16bffffffff,28.0,0.0,0.0
843d305ffffffff,5.0,0.0,0.0
843d307ffffffff,1.0,0.0,0.0
843d321ffffffff,2.0,0.0,0.0
843d327ffffffff,3.0,0.0,0.0
843d32bffffffff,6.0,0.0,0.0
843d361ffffffff,1.0,0.0,0.0
843d363ffffffff,22.0,0.0,0.0
843d36bffffffff,59.0,0.0,0.0
843d853ffffffff,2.0,0.0,0.0
843d859ffffffff,6.0,0.0,0.0
843d8d5ffffffff,6.0,0.0,0.0
843d8ddffffffff,9.0,0.0,0.0
843da03ffffffff,1.0,0.0,0.0
843da0bffffffff,8.0,0.0,0.0
843da11ffffffff,563.0,0.0,0.0
843da13ffffffff,67.0,0.0,0.0
843da15ffffffff,4.0,0.0,0.0
843da19ffffffff,66.0,0.0,0.0
843da1bffffffff,154.0,0.0,0.0
