cell_id,Psittacara holochlorus,Psittacara holochlorus holochlorus/brewsteri,Psittacara holochlorus rubritorquis
8244a7fffffffff,208.0,3.0,0.0
824527fffffffff,35.0,0.0,10.0
824537fffffffff,3.0,0.0,2.0
82481ffffffffff,1.0,0.0,0.0
824887fffffffff,3.0,0.0,0.0
824897fffffffff,1.0,0.0,0.0
8248a7fffffffff,2.0,0.0,0.0
8248b7fffffffff,69.0,3.0,0.0
8248c7fffffffff,2.0,0.0,0.0
824987fffffffff,9.0,0.0,0.0
824997fffffffff,12.0,0.0,0.0
82499ffffffffff,6.0,3.0,0.0
8249b7fffffffff,69.0,0.0,0.0
826d07fffffffff,10.0,3.0,0.0
826d27fffffffff,15.0,6.0,0.0
826d2ffffffffff,5.0,0.0,0.0
826d37fffffffff,2.0,2.0,0.0
826d67fffffffff,5.0,0.0,5.0
826d77fffffffff,3.0,0.0,0.0
