cell_id,Rhipidura rufofronta,Rhipidura rufofronta [rufofronta Group],Rhipidura rufofronta russata/kuperi,Rhipidura rufofronta ugiensis
837680fffffffff,11.0,1.0,0.0,0.0
837684fffffffff,6.0,4.0,0.0,0.0
83768afffffffff,3.0,0.0,0.0,0.0
837699fffffffff,1.0,0.0,0.0,0.0
83769dfffffffff,33.0,0.0,0.0,0.0
839ed1fffffffff,8.0,0.0,3.0,0.0
839ed3fffffffff,3.0,0.0,0.0,0.0
839ed5fffffffff,56.0,0.0,1.0,0.0
839edafffffffff,17.0,0.0,0.0,0.0
839edcfffffffff,1.0,0.0,0.0,0.0
839edefffffffff,2.0,0.0,0.0,0.0
839ef3fffffffff,11.0,0.0,2.0,0.0
