cell_id,Hylexetastes uniformis,Hylexetastes uniformis uniformis,Hylexetastes uniformis brigidai
828a07fffffffff,12.0,6.0,0.0
828a17fffffffff,2.0,2.0,0.0
828a27fffffffff,10.0,3.0,0.0
828a37fffffffff,1.0,1.0,0.0
828aaffffffffff,7.0,7.0,0.0
