cell_id,Oriolus chlorocephalus,Oriolus chlorocephalus chlorocephalus/amani,Oriolus chlorocephalus speculifer
847b481ffffffff,2.0,0.0,0.0
847b487ffffffff,243.0,20.0,0.0
847b4a7ffffffff,80.0,0.0,0.0
847b4b9ffffffff,8.0,5.0,0.0
847b4dbffffffff,8.0,0.0,0.0
847b597ffffffff,1.0,0.0,0.0
8496b0dffffffff,1.0,0.0,0.0
8496b47ffffffff,5.0,0.0,0.0
8496b67ffffffff,1.0,0.0,0.0
8497895ffffffff,1.0,0.0,0.0
8497913ffffffff,3.0,0.0,0.0
8497937ffffffff,9.0,0.0,0.0
8497a89ffffffff,16.0,0.0,0.0
8497ac3ffffffff,1.0,0.0,0.0
8497ac7ffffffff,1.0,0.0,0.0
