cell_id,Prionops plumatus,Prionops plumatus plumatus,Prionops plumatus [poliocephalus Group]
8454195ffffffff,5.0,1.0,0.0
8454199ffffffff,5.0,1.0,0.0
845419bffffffff,7.0,3.0,0.0
84541a3ffffffff,47.0,10.0,0.0
84541a5ffffffff,16.0,6.0,0.0
84541b1ffffffff,1.0,1.0,0.0
84541b5ffffffff,2.0,0.0,0.0
84541b9ffffffff,5.0,0.0,0.0
84541bbffffffff,1.0,1.0,0.0
84541bdffffffff,2.0,0.0,0.0
8454499ffffffff,2.0,0.0,0.0
8454563ffffffff,1.0,0.0,0.0
8454a93ffffffff,26.0,0.0,0.0
8454a9bffffffff,13.0,3.0,0.0
8454ad1ffffffff,1.0,0.0,0.0
8454e21ffffffff,2.0,0.0,0.0
8454e25ffffffff,1.0,0.0,0.0
8454e41ffffffff,41.0,0.0,0.0
8454e43ffffffff,2.0,0.0,0.0
8454e49ffffffff,14.0,0.0,0.0
8454e4bffffffff,2.0,0.0,0.0
8454e4dffffffff,19.0,6.0,0.0
8454e51ffffffff,18.0,0.0,0.0
8454e59ffffffff,7.0,0.0,0.0
8454e5bffffffff,13.0,2.0,0.0
8454e61ffffffff,2.0,0.0,0.0
8454e8bffffffff,7.0,0.0,0.0
8454f43ffffffff,2.0,0.0,0.0
8454f47ffffffff,8.0,4.0,0.0
8454f49ffffffff,18.0,3.0,0.0
8454f4dffffffff,20.0,0.0,0.0
8454f51ffffffff,2.0,0.0,0.0
8458883ffffffff,1.0,0.0,0.0
8458943ffffffff,1.0,0.0,0.0
845894bffffffff,2.0,0.0,0.0
8458969ffffffff,10.0,2.0,0.0
8458a2dffffffff,1.0,0.0,0.0
8458a4dffffffff,2.0,0.0,0.0
8458c4dffffffff,2.0,0.0,0.0
8458c8bffffffff,2.0,0.0,0.0
8458cd9ffffffff,2.0,0.0,0.0
8459827ffffffff,4.0,0.0,0.0
84598bbffffffff,2.0,0.0,0.0
8459985ffffffff,1.0,0.0,0.0
846a109ffffffff,2.0,0.0,0.0
846a4a3ffffffff,1.0,0.0,0.0
846a4b3ffffffff,5.0,0.0,0.0
846a5a9ffffffff,37.0,0.0,0.0
846a5adffffffff,2.0,0.0,0.0
846a5b3ffffffff,5.0,0.0,0.0
846ac1dffffffff,2.0,0.0,2.0
846acadffffffff,2.0,0.0,0.0
846ad8bffffffff,19.0,0.0,0.0
846add5ffffffff,2.0,0.0,0.0
846add7ffffffff,3.0,0.0,0.0
846ae85ffffffff,52.0,0.0,10.0
846aea1ffffffff,1.0,0.0,0.0
846aea3ffffffff,16.0,0.0,0.0
846aea9ffffffff,6.0,0.0,2.0
846aeabffffffff,9.0,0.0,1.0
846aeb5ffffffff,1.0,0.0,0.0
846aee3ffffffff,11.0,0.0,0.0
846bb61ffffffff,1.0,0.0,0.0
847518dffffffff,2.0,0.0,0.0
8475201ffffffff,67.0,0.0,0.0
8475203ffffffff,4.0,0.0,0.0
8475207ffffffff,72.0,0.0,0.0
8475209ffffffff,2.0,0.0,0.0
847520bffffffff,5.0,1.0,0.0
8475293ffffffff,19.0,0.0,0.0
847529bffffffff,51.0,11.0,0.0
84752adffffffff,2.0,0.0,0.0
84752d3ffffffff,5.0,5.0,0.0
8475323ffffffff,1.0,0.0,0.0
847532bffffffff,2.0,0.0,0.0
847a401ffffffff,12.0,0.0,0.0
847a403ffffffff,1.0,0.0,0.0
847a407ffffffff,18.0,0.0,0.0
847a40dffffffff,10.0,0.0,0.0
847a413ffffffff,48.0,0.0,0.0
847a419ffffffff,2.0,0.0,0.0
847a41bffffffff,1.0,0.0,0.0
847a41dffffffff,4.0,0.0,0.0
847a439ffffffff,1.0,0.0,0.0
847a443ffffffff,1.0,0.0,0.0
847a457ffffffff,7.0,0.0,0.0
847a45dffffffff,4.0,0.0,0.0
847a481ffffffff,19.0,0.0,0.0
847a489ffffffff,1.0,0.0,0.0
847a48dffffffff,3.0,0.0,0.0
847a495ffffffff,2.0,0.0,0.0
847a4b1ffffffff,8.0,0.0,0.0
847a4b7ffffffff,1.0,0.0,0.0
847a4c1ffffffff,2.0,0.0,0.0
847a4c5ffffffff,4.0,0.0,0.0
847a4cdffffffff,8.0,0.0,0.0
847a4e3ffffffff,10.0,0.0,0.0
847a503ffffffff,2.0,0.0,0.0
847a531ffffffff,2.0,0.0,0.0
847a533ffffffff,2.0,0.0,0.0
847a555ffffffff,2.0,0.0,0.0
847a5adffffffff,2.0,0.0,2.0
847a5ddffffffff,3.0,0.0,0.0
847a601ffffffff,4.0,0.0,0.0
847a603ffffffff,5.0,0.0,0.0
847a609ffffffff,33.0,0.0,0.0
847a60bffffffff,7.0,0.0,0.0
847a61dffffffff,7.0,0.0,0.0
847a641ffffffff,45.0,0.0,0.0
847a643ffffffff,13.0,0.0,0.0
847a645ffffffff,2.0,0.0,0.0
847a647ffffffff,4.0,0.0,0.0
847a655ffffffff,1.0,0.0,0.0
847a659ffffffff,12.0,0.0,0.0
847a669ffffffff,17.0,0.0,0.0
847a6a1ffffffff,33.0,0.0,0.0
847a6a5ffffffff,3.0,0.0,0.0
847a6d1ffffffff,8.0,0.0,0.0
847a6d3ffffffff,1.0,0.0,0.0
847a6d9ffffffff,3.0,0.0,0.0
847a6e5ffffffff,13.0,0.0,0.0
847a6ebffffffff,1.0,0.0,0.0
847a713ffffffff,1.0,0.0,0.0
847ac15ffffffff,3.0,0.0,1.0
847ac81ffffffff,4.0,0.0,0.0
847aca3ffffffff,2.0,0.0,0.0
847accdffffffff,10.0,0.0,0.0
847ad91ffffffff,1.0,0.0,0.0
847ad99ffffffff,25.0,0.0,3.0
847ae81ffffffff,15.0,0.0,0.0
847ae85ffffffff,8.0,0.0,0.0
847ae87ffffffff,9.0,0.0,3.0
847ae8bffffffff,4.0,0.0,0.0
847ae95ffffffff,2.0,0.0,2.0
847ae99ffffffff,13.0,0.0,0.0
847ae9bffffffff,6.0,0.0,2.0
847ae9dffffffff,8.0,0.0,2.0
847aea3ffffffff,9.0,0.0,2.0
847aea7ffffffff,3.0,0.0,2.0
847aeabffffffff,8.0,0.0,0.0
847aed3ffffffff,2.0,0.0,0.0
847aed7ffffffff,4.0,0.0,0.0
847aedbffffffff,1.0,0.0,0.0
847b49bffffffff,4.0,0.0,0.0
847b4b7ffffffff,9.0,0.0,0.0
847b4cbffffffff,2.0,0.0,0.0
847b4d1ffffffff,1.0,0.0,0.0
847b4d3ffffffff,2.0,0.0,0.0
847b6bbffffffff,4.0,0.0,0.0
8483117ffffffff,10.0,0.0,0.0
8483125ffffffff,4.0,0.0,2.0
84831e5ffffffff,7.0,0.0,1.0
848320dffffffff,7.0,0.0,2.0
848335bffffffff,3.0,0.0,3.0
8496009ffffffff,14.0,0.0,6.0
849600bffffffff,2.0,0.0,0.0
8496015ffffffff,12.0,0.0,2.0
849602dffffffff,10.0,0.0,4.0
8496047ffffffff,8.0,0.0,1.0
8496051ffffffff,2.0,0.0,0.0
8496093ffffffff,1.0,0.0,1.0
84960b5ffffffff,1.0,0.0,0.0
84960d3ffffffff,1.0,0.0,0.0
8496141ffffffff,6.0,0.0,4.0
8496145ffffffff,3.0,0.0,1.0
8496147ffffffff,2.0,0.0,1.0
8496149ffffffff,4.0,0.0,0.0
849615dffffffff,12.0,0.0,8.0
849616bffffffff,2.0,0.0,0.0
8496201ffffffff,12.0,0.0,0.0
8496203ffffffff,8.0,0.0,0.0
8496207ffffffff,57.0,0.0,0.0
8496215ffffffff,4.0,0.0,0.0
8496217ffffffff,3.0,0.0,0.0
8496219ffffffff,2.0,0.0,0.0
849621dffffffff,1.0,0.0,0.0
849622bffffffff,10.0,0.0,0.0
849622dffffffff,2.0,0.0,0.0
8496233ffffffff,2.0,0.0,0.0
849623bffffffff,85.0,0.0,0.0
8496241ffffffff,2.0,0.0,0.0
8496261ffffffff,2.0,0.0,0.0
8496263ffffffff,19.0,0.0,0.0
849626dffffffff,1.0,0.0,0.0
8496283ffffffff,19.0,0.0,0.0
8496287ffffffff,6.0,0.0,0.0
849628bffffffff,5.0,0.0,0.0
849629dffffffff,4.0,0.0,0.0
84962b9ffffffff,6.0,0.0,0.0
84962c9ffffffff,47.0,0.0,21.0
84962d1ffffffff,3.0,0.0,1.0
84962d7ffffffff,7.0,0.0,2.0
84962d9ffffffff,3.0,0.0,1.0
84962e5ffffffff,11.0,0.0,8.0
8496331ffffffff,2.0,0.0,0.0
8496335ffffffff,22.0,0.0,2.0
8496355ffffffff,2.0,0.0,0.0
8496365ffffffff,24.0,0.0,2.0
84966cdffffffff,1.0,0.0,0.0
8496703ffffffff,6.0,0.0,0.0
849675dffffffff,2.0,0.0,2.0
8496809ffffffff,2.0,0.0,0.0
8496815ffffffff,2.0,0.0,0.0
8496833ffffffff,2.0,0.0,0.0
8496843ffffffff,2.0,0.0,0.0
849685dffffffff,1.0,0.0,0.0
84968c9ffffffff,2.0,0.0,0.0
84968cdffffffff,2.0,0.0,0.0
8496905ffffffff,6.0,0.0,0.0
8496907ffffffff,18.0,0.0,0.0
8496921ffffffff,123.0,0.0,0.0
8496923ffffffff,2.0,0.0,0.0
8496925ffffffff,6.0,0.0,0.0
849692bffffffff,25.0,0.0,0.0
849692dffffffff,4.0,0.0,0.0
8496933ffffffff,2.0,0.0,0.0
8496935ffffffff,6.0,0.0,0.0
849693bffffffff,5.0,0.0,0.0
849693dffffffff,46.0,0.0,0.0
84969a5ffffffff,8.0,0.0,0.0
8496a27ffffffff,2.0,0.0,0.0
8496a3bffffffff,2.0,0.0,0.0
8496a59ffffffff,14.0,0.0,0.0
8496a8bffffffff,2.0,0.0,0.0
8496abdffffffff,2.0,0.0,0.0
8496b01ffffffff,2.0,0.0,0.0
8496b0bffffffff,3.0,0.0,0.0
8496b0dffffffff,2.0,0.0,0.0
8496b13ffffffff,22.0,0.0,0.0
8496b19ffffffff,39.0,0.0,0.0
8496b1bffffffff,42.0,0.0,0.0
8496b2bffffffff,2.0,0.0,0.0
8496b57ffffffff,2.0,0.0,0.0
8496b61ffffffff,4.0,0.0,0.0
8496b63ffffffff,31.0,0.0,0.0
8496b69ffffffff,4.0,0.0,0.0
8496b6dffffffff,7.0,0.0,0.0
8496e49ffffffff,2.0,0.0,0.0
8497003ffffffff,3.0,0.0,0.0
8497015ffffffff,6.0,0.0,0.0
8497019ffffffff,1.0,0.0,0.0
849702bffffffff,5.0,0.0,0.0
8497035ffffffff,11.0,0.0,0.0
849703dffffffff,8.0,0.0,0.0
8497053ffffffff,5.0,0.0,0.0
8497057ffffffff,4.0,0.0,0.0
8497085ffffffff,5.0,0.0,0.0
8497087ffffffff,2.0,0.0,0.0
84970a5ffffffff,2.0,0.0,0.0
84970a7ffffffff,5.0,0.0,0.0
84970c5ffffffff,4.0,0.0,0.0
84970ddffffffff,2.0,0.0,0.0
8497103ffffffff,19.0,0.0,0.0
8497107ffffffff,8.0,0.0,0.0
8497119ffffffff,126.0,0.0,0.0
849711bffffffff,2.0,0.0,0.0
849711dffffffff,18.0,0.0,0.0
8497139ffffffff,1.0,0.0,0.0
8497157ffffffff,2.0,0.0,0.0
8497199ffffffff,47.0,0.0,0.0
849719bffffffff,9.0,0.0,0.0
84971b9ffffffff,3.0,0.0,0.0
84971c3ffffffff,4.0,0.0,0.0
84971d7ffffffff,3.0,0.0,0.0
84971d9ffffffff,2.0,0.0,0.0
849721bffffffff,12.0,0.0,2.0
8497245ffffffff,15.0,0.0,0.0
8497253ffffffff,2.0,0.0,0.0
8497287ffffffff,1.0,0.0,0.0
849728dffffffff,62.0,0.0,6.0
8497291ffffffff,19.0,0.0,7.0
8497295ffffffff,8.0,0.0,6.0
84972a5ffffffff,2.0,0.0,0.0
84972abffffffff,1.0,0.0,0.0
84972adffffffff,2.0,0.0,0.0
84972c5ffffffff,28.0,0.0,7.0
84972c9ffffffff,4.0,0.0,0.0
84972cbffffffff,7.0,0.0,2.0
84972cdffffffff,41.0,0.0,16.0
84972d5ffffffff,1.0,0.0,1.0
84972d9ffffffff,4.0,0.0,0.0
84972e3ffffffff,117.0,0.0,17.0
84972e7ffffffff,2.0,0.0,0.0
84972ebffffffff,69.0,0.0,40.0
8497311ffffffff,1.0,0.0,0.0
8497313ffffffff,3.0,0.0,0.0
8497317ffffffff,1.0,0.0,1.0
8497357ffffffff,1.0,0.0,0.0
8497359ffffffff,1.0,0.0,0.0
849735bffffffff,1.0,0.0,0.0
8497405ffffffff,8.0,0.0,8.0
8497409ffffffff,1.0,0.0,0.0
849740bffffffff,2.0,0.0,0.0
8497411ffffffff,4.0,0.0,0.0
8497415ffffffff,5.0,0.0,0.0
8497417ffffffff,5.0,0.0,0.0
849741dffffffff,8.0,0.0,0.0
8497431ffffffff,38.0,0.0,5.0
8497435ffffffff,21.0,0.0,0.0
8497437ffffffff,19.0,0.0,4.0
8497439ffffffff,9.0,0.0,3.0
849743bffffffff,42.0,0.0,4.0
849743dffffffff,2.0,0.0,0.0
8497459ffffffff,6.0,0.0,0.0
849745dffffffff,2.0,0.0,0.0
8497485ffffffff,5.0,0.0,0.0
84974a9ffffffff,3.0,0.0,0.0
84974abffffffff,41.0,0.0,11.0
84974adffffffff,1.0,0.0,0.0
84974b9ffffffff,57.0,0.0,19.0
84974bbffffffff,2.0,0.0,0.0
84974bdffffffff,11.0,0.0,0.0
84974cdffffffff,2.0,0.0,0.0
84974e9ffffffff,4.0,0.0,0.0
84974edffffffff,7.0,0.0,2.0
8497503ffffffff,2.0,0.0,0.0
8497509ffffffff,41.0,0.0,0.0
849750bffffffff,4.0,0.0,0.0
8497511ffffffff,6.0,0.0,0.0
8497513ffffffff,84.0,0.0,14.0
8497515ffffffff,77.0,0.0,3.0
8497517ffffffff,47.0,0.0,2.0
8497529ffffffff,3.0,0.0,0.0
8497535ffffffff,4.0,0.0,4.0
8497543ffffffff,5.0,0.0,0.0
8497547ffffffff,5.0,0.0,0.0
8497557ffffffff,5.0,0.0,0.0
8497583ffffffff,4.0,0.0,0.0
84975c1ffffffff,2.0,0.0,0.0
84975c3ffffffff,12.0,0.0,8.0
84975c5ffffffff,41.0,0.0,0.0
84975c7ffffffff,63.0,0.0,16.0
84975c9ffffffff,6.0,0.0,0.0
84975cbffffffff,10.0,0.0,0.0
84975d1ffffffff,16.0,0.0,8.0
84975d3ffffffff,3.0,0.0,0.0
84975d5ffffffff,3.0,0.0,0.0
84975d9ffffffff,2.0,0.0,0.0
84975ddffffffff,16.0,0.0,7.0
84975e1ffffffff,6.0,0.0,2.0
84975e9ffffffff,3.0,0.0,0.0
84975ebffffffff,6.0,0.0,2.0
8497725ffffffff,4.0,0.0,0.0
849772dffffffff,9.0,0.0,0.0
849773bffffffff,1.0,0.0,0.0
8497749ffffffff,1.0,0.0,0.0
849774dffffffff,4.0,0.0,0.0
8497751ffffffff,2.0,0.0,0.0
8497827ffffffff,4.0,0.0,0.0
849788bffffffff,2.0,0.0,0.0
84978d9ffffffff,5.0,0.0,0.0
84978ddffffffff,1.0,0.0,0.0
8497913ffffffff,3.0,0.0,0.0
8497997ffffffff,3.0,0.0,0.0
8497a85ffffffff,2.0,0.0,0.0
8497a8bffffffff,14.0,0.0,2.0
8497aabffffffff,31.0,0.0,11.0
8497acbffffffff,2.0,0.0,0.0
84ac801ffffffff,8.0,0.0,0.0
84ac805ffffffff,10.0,0.0,0.0
84ac81bffffffff,2.0,0.0,0.0
84ac829ffffffff,2.0,0.0,0.0
84ac82dffffffff,4.0,0.0,0.0
84ac851ffffffff,2.0,0.0,0.0
