cell_id,Melithreptus gularis,Melithreptus gularis laetior,Melithreptus gularis gularis
83945afffffffff,3.0,3.0,0.0
839c23fffffffff,1.0,1.0,0.0
839c25fffffffff,1.0,0.0,0.0
839c62fffffffff,4.0,4.0,0.0
839d4afffffffff,1.0,1.0,0.0
83b916fffffffff,2.0,0.0,0.0
83be09fffffffff,1.0,0.0,0.0
83be0afffffffff,1.0,0.0,0.0
83be0bfffffffff,1.0,0.0,1.0
83be0dfffffffff,2.0,0.0,0.0
83be1afffffffff,2.0,0.0,0.0
83be44fffffffff,3.0,0.0,0.0
83be49fffffffff,1.0,0.0,0.0
83be4cfffffffff,14.0,0.0,0.0
83be4efffffffff,2.0,0.0,0.0
83be6afffffffff,1.0,0.0,0.0
83be71fffffffff,4.0,0.0,1.0
83be8dfffffffff,5.0,0.0,0.0
83bea9fffffffff,1.0,0.0,0.0
83bee4fffffffff,2.0,0.0,2.0
83bef2fffffffff,2.0,0.0,0.0
