cell_id,Alaemon alaudipes,Alaemon alaudipes boavistae,Alaemon alaudipes [alaudipes Group]
822c37fffffffff,1.0,0.0,0.0
822c97fffffffff,9.0,0.0,0.0
822d97fffffffff,2.0,0.0,0.0
822da7fffffffff,19.0,0.0,0.0
822daffffffffff,12.0,0.0,0.0
822db7fffffffff,4.0,0.0,0.0
823857fffffffff,1.0,0.0,0.0
8238cffffffffff,1.0,0.0,0.0
8238dffffffffff,2.0,0.0,0.0
824257fffffffff,56.0,0.0,1.0
8242c7fffffffff,89.0,0.0,0.0
8242cffffffffff,3.0,0.0,0.0
8242e7fffffffff,5.0,0.0,0.0
8242effffffffff,3.0,0.0,0.0
824397fffffffff,4.0,0.0,4.0
8243a7fffffffff,17.0,0.0,0.0
8243affffffffff,1.0,0.0,0.0
82524ffffffffff,2.0,0.0,2.0
82526ffffffffff,6.0,0.0,6.0
8254b7fffffffff,9.0,9.0,0.0
825907fffffffff,4.0,0.0,0.0
82590ffffffffff,2.0,0.0,0.0
826337fffffffff,2.0,0.0,2.0
