cell_id,Galerida cristata,Galerida cristata [cristata Group],Galerida cristata macrorhyncha/randonii
82089ffffffffff,2.0,0.0,0.0
821127fffffffff,2.0,2.0,0.0
82119ffffffffff,1.0,0.0,0.0
82184ffffffffff,8.0,0.0,0.0
82185ffffffffff,188.0,0.0,0.0
82194ffffffffff,3.0,0.0,0.0
821e07fffffffff,5.0,0.0,0.0
821e27fffffffff,30.0,0.0,0.0
821e2ffffffffff,5.0,0.0,0.0
821ea7fffffffff,1.0,0.0,0.0
821ec7fffffffff,4.0,0.0,0.0
821eeffffffffff,12.0,12.0,0.0
821f07fffffffff,3.0,0.0,0.0
821f0ffffffffff,8.0,0.0,0.0
821f1ffffffffff,10.0,0.0,0.0
821f27fffffffff,4.0,1.0,0.0
821f5ffffffffff,2.0,0.0,0.0
821f77fffffffff,10.0,0.0,0.0
821fa7fffffffff,1.0,0.0,0.0
821faffffffffff,5.0,0.0,0.0
82248ffffffffff,1.0,0.0,0.0
8224c7fffffffff,2.0,0.0,0.0
822c0ffffffffff,14.0,14.0,0.0
822c2ffffffffff,35.0,35.0,0.0
822cc7fffffffff,3.0,0.0,0.0
822cd7fffffffff,2.0,0.0,0.0
822cf7fffffffff,2.0,0.0,0.0
822d17fffffffff,50.0,0.0,0.0
822d37fffffffff,3.0,0.0,0.0
822da7fffffffff,18.0,0.0,0.0
822daffffffffff,7.0,0.0,0.0
822db7fffffffff,2.0,0.0,0.0
8230e7fffffffff,1.0,0.0,0.0
82380ffffffffff,1.0,1.0,0.0
823817fffffffff,5.0,1.0,3.0
823847fffffffff,1.0,1.0,0.0
823857fffffffff,1.0,0.0,1.0
823867fffffffff,24.0,23.0,0.0
823877fffffffff,50.0,34.0,14.0
823907fffffffff,33.0,1.0,0.0
82390ffffffffff,5.0,1.0,0.0
823917fffffffff,4.0,0.0,0.0
82391ffffffffff,4.0,2.0,0.0
823927fffffffff,8.0,0.0,0.0
82392ffffffffff,7.0,0.0,0.0
823937fffffffff,3.0,0.0,0.0
823957fffffffff,2.0,0.0,0.0
823977fffffffff,10.0,3.0,0.0
823987fffffffff,1.0,0.0,0.0
82398ffffffffff,36.0,0.0,1.0
82399ffffffffff,8.0,1.0,7.0
8239affffffffff,5.0,5.0,0.0
823c1ffffffffff,2.0,0.0,0.0
823c37fffffffff,2.0,0.0,0.0
823d17fffffffff,4.0,0.0,0.0
823d87fffffffff,4.0,0.0,0.0
823d8ffffffffff,4.0,0.0,0.0
823d97fffffffff,2.0,0.0,0.0
823da7fffffffff,1.0,1.0,0.0
823daffffffffff,2.0,0.0,0.0
823e5ffffffffff,1.0,0.0,0.0
823e6ffffffffff,11.0,0.0,0.0
823e77fffffffff,1.0,0.0,0.0
823f67fffffffff,1.0,0.0,0.0
8242cffffffffff,11.0,0.0,0.0
8242dffffffffff,31.0,0.0,0.0
824367fffffffff,1.0,0.0,0.0
825517fffffffff,1.0,0.0,1.0
