cell_id,Anas crecca,Anas crecca crecca,Anas crecca carolinensis,Anas crecca crecca x carolinensis
8401225ffffffff,1.0,0.0,0.0,0.0
8401243ffffffff,2.0,0.0,0.0,0.0
8401247ffffffff,2.0,2.0,0.0,0.0
840125dffffffff,1.0,0.0,0.0,0.0
8401261ffffffff,3.0,0.0,0.0,0.0
8401265ffffffff,12.0,3.0,0.0,0.0
8401267ffffffff,2.0,0.0,0.0,0.0
8401269ffffffff,9.0,0.0,0.0,0.0
840126dffffffff,3.0,0.0,0.0,0.0
840130bffffffff,34.0,12.0,0.0,0.0
8401319ffffffff,19.0,7.0,0.0,0.0
840131dffffffff,4.0,0.0,0.0,0.0
840134bffffffff,6.0,4.0,0.0,0.0
840134dffffffff,1.0,0.0,0.0,0.0
8401351ffffffff,49.0,14.0,0.0,0.0
8401353ffffffff,54.0,25.0,0.0,0.0
8401355ffffffff,24.0,10.0,0.0,0.0
8401357ffffffff,19.0,11.0,0.0,0.0
840135bffffffff,44.0,10.0,0.0,0.0
840135dffffffff,1.0,1.0,0.0,0.0
8401515ffffffff,2.0,0.0,0.0,0.0
840153bffffffff,7.0,3.0,0.0,0.0
84015e1ffffffff,13.0,13.0,0.0,0.0
8402cadffffffff,2.0,0.0,0.0,0.0
84041abffffffff,35.0,0.0,0.0,0.0
8404cddffffffff,5.0,0.0,0.0,0.0
8404eb1ffffffff,4.0,0.0,0.0,0.0
840588dffffffff,3.0,3.0,0.0,0.0
84058c7ffffffff,9.0,9.0,0.0,0.0
84058cbffffffff,8.0,8.0,0.0,0.0
8407411ffffffff,15.0,7.0,0.0,0.0
8407417ffffffff,19.0,7.0,0.0,0.0
8407419ffffffff,32.0,16.0,0.0,0.0
840741dffffffff,16.0,16.0,0.0,0.0
8407421ffffffff,2.0,2.0,0.0,0.0
8407425ffffffff,43.0,33.0,0.0,0.0
8407427ffffffff,18.0,10.0,0.0,0.0
840742dffffffff,23.0,18.0,0.0,0.0
8407431ffffffff,22.0,2.0,0.0,0.0
8407433ffffffff,169.0,42.0,0.0,0.0
8407437ffffffff,38.0,8.0,0.0,0.0
8407439ffffffff,2.0,0.0,0.0,0.0
840743bffffffff,5.0,0.0,0.0,0.0
840744bffffffff,12.0,7.0,0.0,0.0
8407451ffffffff,1.0,0.0,0.0,0.0
8407455ffffffff,4.0,0.0,0.0,0.0
8407457ffffffff,32.0,24.0,0.0,0.0
840745dffffffff,16.0,4.0,0.0,0.0
8407461ffffffff,236.0,155.0,0.0,0.0
8407465ffffffff,159.0,139.0,0.0,0.0
8407467ffffffff,20.0,10.0,0.0,0.0
840746bffffffff,2.0,2.0,0.0,0.0
840746dffffffff,69.0,48.0,0.0,0.0
84074edffffffff,8.0,5.0,0.0,0.0
8407513ffffffff,12.0,2.0,0.0,0.0
840751bffffffff,1.0,1.0,0.0,0.0
8407551ffffffff,1.0,1.0,0.0,0.0
8407553ffffffff,7.0,5.0,0.0,0.0
840755bffffffff,18.0,10.0,0.0,0.0
840755dffffffff,53.0,39.0,0.0,0.0
8407589ffffffff,17.0,5.0,0.0,0.0
840758dffffffff,26.0,10.0,0.0,0.0
84075c1ffffffff,4.0,4.0,0.0,0.0
84075c3ffffffff,26.0,7.0,0.0,0.0
84075c5ffffffff,10.0,0.0,0.0,0.0
84075c9ffffffff,4.0,0.0,0.0,0.0
84075cbffffffff,17.0,14.0,0.0,0.0
84075cdffffffff,2.0,2.0,0.0,0.0
84075d1ffffffff,138.0,99.0,0.0,0.0
84075d9ffffffff,129.0,52.0,0.0,0.0
84075ddffffffff,323.0,109.0,0.0,0.0
