cell_id,Chalybura buffonii,Chalybura buffonii [buffonii Group],Chalybura buffonii caeruleogaster,Chalybura buffonii intermedia
826607fffffffff,28.0,0.0,0.0,0.0
82660ffffffffff,1106.0,14.0,19.0,0.0
826617fffffffff,1964.0,138.0,0.0,0.0
82661ffffffffff,3041.0,50.0,0.0,0.0
826627fffffffff,2370.0,162.0,0.0,0.0
82662ffffffffff,199.0,2.0,0.0,0.0
826637fffffffff,8.0,0.0,0.0,0.0
826657fffffffff,17.0,0.0,0.0,0.0
826667fffffffff,2.0,0.0,0.0,0.0
8266a7fffffffff,3828.0,155.0,0.0,0.0
8266c7fffffffff,1100.0,30.0,0.0,0.0
8266d7fffffffff,24.0,0.0,0.0,0.0
8266e7fffffffff,6911.0,58.0,232.0,0.0
8266effffffffff,2.0,0.0,0.0,0.0
8266f7fffffffff,551.0,5.0,0.0,0.0
826747fffffffff,530.0,6.0,0.0,0.0
82674ffffffffff,900.0,19.0,0.0,0.0
826757fffffffff,458.0,0.0,0.0,0.0
82675ffffffffff,294.0,0.0,0.0,0.0
828f0ffffffffff,245.0,0.0,0.0,64.0
828f77fffffffff,15.0,0.0,0.0,13.0
