cell_id,Anisognathus igniventris,Anisognathus igniventris [lunulatus Group],Anisognathus igniventris igniventris
84660b9ffffffff,1.0,0.0,0.0
84660bdffffffff,2.0,0.0,0.0
8466c61ffffffff,20.0,0.0,0.0
8466c69ffffffff,18.0,0.0,0.0
8466c6dffffffff,1.0,0.0,0.0
8466d11ffffffff,3.0,0.0,0.0
8466d19ffffffff,13.0,0.0,0.0
8466d1dffffffff,11.0,0.0,0.0
8466d31ffffffff,21.0,0.0,0.0
8466d33ffffffff,1.0,1.0,0.0
8466d39ffffffff,2.0,0.0,0.0
8466d53ffffffff,12.0,0.0,0.0
8466de1ffffffff,4.0,4.0,0.0
8466de5ffffffff,3.0,3.0,0.0
8466dedffffffff,10.0,9.0,0.0
8466e2dffffffff,6.0,0.0,0.0
8466e65ffffffff,39.0,0.0,2.0
8466e67ffffffff,2.0,0.0,0.0
8466e6dffffffff,34.0,0.0,0.0
8466f19ffffffff,19.0,0.0,0.0
8466f53ffffffff,5.0,0.0,0.0
848b21dffffffff,1.0,0.0,1.0
848b2cdffffffff,5.0,0.0,5.0
848b611ffffffff,3.0,0.0,3.0
848b617ffffffff,3.0,0.0,3.0
848b6cdffffffff,5.0,0.0,5.0
848e651ffffffff,2.0,0.0,2.0
848e655ffffffff,2.0,0.0,2.0
848e657ffffffff,1.0,0.0,0.0
848e6d9ffffffff,4.0,0.0,4.0
848f54dffffffff,2.0,0.0,0.0
848f721ffffffff,3.0,3.0,0.0
848f727ffffffff,3.0,3.0,0.0
848f765ffffffff,4.0,0.0,0.0
84b3253ffffffff,6.0,0.0,6.0
