cell_id,Megascops koepckeae,Megascops koepckeae koepckeae,Megascops koepckeae hockingi
848e619ffffffff,4.0,0.0,0.0
848e629ffffffff,15.0,1.0,0.0
848e62dffffffff,9.0,0.0,0.0
848e657ffffffff,4.0,0.0,4.0
848e6c1ffffffff,1.0,0.0,0.0
848e6d1ffffffff,7.0,0.0,7.0
848e6d9ffffffff,2.0,0.0,2.0
848f50dffffffff,6.0,0.0,0.0
848f515ffffffff,2.0,0.0,0.0
848f517ffffffff,2.0,0.0,0.0
848f51dffffffff,3.0,0.0,0.0
848f553ffffffff,4.0,0.0,0.0
848f557ffffffff,2.0,0.0,0.0
848f581ffffffff,2.0,0.0,0.0
848f589ffffffff,1.0,1.0,0.0
848f58dffffffff,1.0,0.0,0.0
848f5cdffffffff,2.0,0.0,0.0
848f72dffffffff,82.0,7.0,0.0
