cell_id,Agriornis micropterus,Agriornis micropterus andecola,Agriornis micropterus micropterus
84b2435ffffffff,2.0,0.0,0.0
84b248bffffffff,5.0,0.0,0.0
84b2497ffffffff,1.0,0.0,0.0
84b249dffffffff,17.0,0.0,0.0
84b24b3ffffffff,1.0,0.0,0.0
84b24d1ffffffff,8.0,0.0,0.0
84b24d5ffffffff,2.0,0.0,0.0
84b24d7ffffffff,2.0,0.0,0.0
84b24d9ffffffff,2.0,0.0,0.0
84b24dbffffffff,2.0,0.0,0.0
84b2587ffffffff,2.0,0.0,0.0
84b2595ffffffff,2.0,0.0,0.0
84b25b9ffffffff,2.0,0.0,0.0
84b25e1ffffffff,2.0,0.0,0.0
84b268bffffffff,6.0,0.0,0.0
84b26c3ffffffff,4.0,0.0,0.0
84b2749ffffffff,1.0,0.0,0.0
84b2ca9ffffffff,4.0,0.0,4.0
84b3001ffffffff,1.0,0.0,0.0
84b3011ffffffff,3.0,0.0,0.0
84b3015ffffffff,2.0,0.0,0.0
84b3051ffffffff,2.0,0.0,0.0
84b3053ffffffff,4.0,0.0,0.0
84b305dffffffff,1.0,0.0,0.0
84b30a7ffffffff,5.0,0.0,0.0
84b30b3ffffffff,13.0,0.0,0.0
84b30b5ffffffff,3.0,0.0,0.0
84b30bdffffffff,3.0,0.0,0.0
84b30e9ffffffff,4.0,0.0,0.0
84b30edffffffff,15.0,0.0,0.0
84b31dbffffffff,6.0,0.0,0.0
84b3209ffffffff,1.0,0.0,0.0
84b3235ffffffff,3.0,0.0,0.0
84b32a5ffffffff,3.0,0.0,0.0
84b335dffffffff,2.0,0.0,0.0
84b342bffffffff,3.0,0.0,0.0
84b349dffffffff,2.0,0.0,0.0
84b34b9ffffffff,4.0,0.0,0.0
84b34dbffffffff,2.0,0.0,0.0
84b352dffffffff,2.0,0.0,0.0
84b3565ffffffff,11.0,0.0,0.0
84b35e1ffffffff,1.0,0.0,0.0
84b35e5ffffffff,1.0,0.0,0.0
84c2c53ffffffff,5.0,0.0,3.0
84c2ca9ffffffff,2.0,0.0,0.0
84c2cd3ffffffff,5.0,0.0,0.0
84c2e31ffffffff,3.0,0.0,0.0
84c2e3bffffffff,1.0,0.0,0.0
84c2e91ffffffff,2.0,0.0,0.0
84c2e97ffffffff,3.0,0.0,0.0
84c2e99ffffffff,4.0,0.0,0.0
84c2ebbffffffff,3.0,0.0,0.0
84c3083ffffffff,4.0,0.0,0.0
84c320dffffffff,1.0,0.0,0.0
84c3241ffffffff,3.0,0.0,0.0
84c3243ffffffff,5.0,0.0,0.0
84c3247ffffffff,1.0,0.0,0.0
84c32a9ffffffff,2.0,0.0,0.0
84c32adffffffff,1.0,0.0,1.0
84c32e1ffffffff,7.0,0.0,0.0
84c32e9ffffffff,1.0,0.0,0.0
84c32edffffffff,2.0,0.0,0.0
84c3487ffffffff,2.0,0.0,0.0
84c356bffffffff,3.0,0.0,0.0
84ce807ffffffff,3.0,0.0,0.0
84ce83dffffffff,1.0,0.0,0.0
84ce9e5ffffffff,2.0,0.0,0.0
84ce9e9ffffffff,2.0,2.0,0.0
84ce9edffffffff,3.0,0.0,0.0
84cea2bffffffff,1.0,0.0,0.0
84cf127ffffffff,22.0,0.0,3.0
84cf129ffffffff,3.0,0.0,0.0
84cf12bffffffff,2.0,0.0,0.0
84cf885ffffffff,3.0,0.0,0.0
84cf88dffffffff,2.0,0.0,0.0
84cf8c7ffffffff,3.0,0.0,0.0
84cf913ffffffff,2.0,0.0,0.0
84cf943ffffffff,11.0,0.0,0.0
84cf989ffffffff,2.0,0.0,0.0
84cf98dffffffff,2.0,0.0,0.0
84cf9ebffffffff,4.0,0.0,0.0
84cfa27ffffffff,3.0,0.0,0.0
84cfa45ffffffff,4.0,0.0,0.0
84cfac1ffffffff,2.0,0.0,0.0
84cfae1ffffffff,2.0,0.0,0.0
