cell_id,Lybius leucocephalus,Lybius leucocephalus [leucocephalus Group],Lybius leucocephalus senex,Lybius leucocephalus leucogaster
82585ffffffffff,2.0,0.0,0.0,0.0
8258e7fffffffff,10.0,0.0,0.0,0.0
826a5ffffffffff,31.0,1.0,0.0,0.0
826ac7fffffffff,208.0,22.0,0.0,0.0
826acffffffffff,128.0,10.0,0.0,0.0
826adffffffffff,32.0,9.0,0.0,0.0
826ae7fffffffff,1.0,0.0,0.0,0.0
826aeffffffffff,94.0,21.0,0.0,0.0
827a47fffffffff,59.0,0.0,0.0,0.0
827a4ffffffffff,136.0,0.0,0.0,0.0
827a67fffffffff,106.0,0.0,0.0,0.0
827a6ffffffffff,845.0,17.0,61.0,0.0
827b4ffffffffff,2.0,0.0,0.0,0.0
828327fffffffff,5.0,0.0,0.0,0.0
829687fffffffff,1.0,0.0,0.0,0.0
829697fffffffff,169.0,9.0,0.0,0.0
8296b7fffffffff,32.0,0.0,0.0,0.0
