cell_id,Arremon brunneinucha,Arremon brunneinucha apertus,Arremon brunneinucha [brunneinucha Group]
824997fffffffff,13.0,0.0,9.0
826617fffffffff,2.0,0.0,0.0
82661ffffffffff,1.0,0.0,1.0
8266b7fffffffff,15.0,0.0,7.0
8266c7fffffffff,41.0,0.0,0.0
8266d7fffffffff,18.0,0.0,1.0
8266dffffffffff,1.0,0.0,1.0
8266e7fffffffff,2.0,0.0,0.0
8266f7fffffffff,1.0,0.0,0.0
826747fffffffff,1.0,0.0,1.0
82674ffffffffff,4.0,0.0,0.0
826757fffffffff,1.0,0.0,0.0
82675ffffffffff,6.0,0.0,0.0
826d27fffffffff,6.0,0.0,4.0
826d2ffffffffff,4.0,0.0,3.0
826d37fffffffff,36.0,5.0,11.0
826d6ffffffffff,50.0,0.0,21.0
828b67fffffffff,4.0,0.0,0.0
828b6ffffffffff,3.0,0.0,3.0
828f4ffffffffff,2.0,0.0,0.0
828f57fffffffff,2.0,0.0,0.0
828f77fffffffff,4.0,0.0,2.0
