cell_id,Ploceus katangae,Ploceus katangae upembae,Ploceus katangae katangae
8496021ffffffff,4.0,0.0,3.0
8496025ffffffff,32.0,0.0,3.0
8496027ffffffff,3.0,0.0,2.0
8496119ffffffff,1.0,0.0,0.0
8496153ffffffff,3.0,0.0,1.0
84961abffffffff,8.0,0.0,2.0
8496a8bffffffff,4.0,0.0,0.0
