cell_id,Pterodroma brevipes,Pterodroma brevipes brevipes,Pterodroma brevipes magnificens
8288e7fffffffff,1.0,0.0,0.0
829a27fffffffff,1.0,0.0,0.0
829a37fffffffff,1.0,0.0,0.0
829b0ffffffffff,1.0,0.0,0.0
829b47fffffffff,5.0,0.0,0.0
829b4ffffffffff,2.0,0.0,0.0
829b57fffffffff,2.0,0.0,0.0
829b5ffffffffff,2.0,0.0,0.0
829b6ffffffffff,1.0,0.0,0.0
829b77fffffffff,1.0,0.0,0.0
829e07fffffffff,4.0,0.0,3.0
829e17fffffffff,2.0,0.0,0.0
829e1ffffffffff,3.0,0.0,3.0
829e27fffffffff,8.0,0.0,1.0
829e2ffffffffff,1.0,1.0,0.0
829e37fffffffff,1.0,0.0,1.0
829e57fffffffff,1.0,0.0,0.0
829e77fffffffff,1.0,1.0,0.0
829f0ffffffffff,1.0,0.0,0.0
829f17fffffffff,1.0,0.0,0.0
829f1ffffffffff,1.0,0.0,0.0
829f57fffffffff,5.0,2.0,0.0
829f5ffffffffff,1.0,0.0,0.0
829f77fffffffff,3.0,0.0,0.0
