cell_id,Thinornis dubius,Thinornis dubius curonicus,Thinornis dubius dubius/jerdoni
820137fffffffff,2.0,0.0,0.0
820bb7fffffffff,1.0,1.0,0.0
821187fffffffff,2.0,2.0,0.0
8211affffffffff,26.0,26.0,0.0
82182ffffffffff,12.0,0.0,0.0
821847fffffffff,3.0,0.0,0.0
82184ffffffffff,23.0,2.0,0.0
82185ffffffffff,12.0,1.0,0.0
821867fffffffff,2.0,0.0,0.0
82186ffffffffff,2.0,0.0,0.0
82192ffffffffff,2.0,0.0,0.0
821947fffffffff,10.0,0.0,0.0
82194ffffffffff,12.0,0.0,0.0
821957fffffffff,9.0,4.0,0.0
82195ffffffffff,1.0,0.0,0.0
82196ffffffffff,11.0,0.0,0.0
821977fffffffff,6.0,0.0,0.0
821e07fffffffff,36.0,11.0,0.0
821e0ffffffffff,7.0,2.0,0.0
821e17fffffffff,6.0,2.0,0.0
821e1ffffffffff,7.0,0.0,0.0
821e27fffffffff,2.0,0.0,0.0
821e2ffffffffff,5.0,0.0,0.0
821e37fffffffff,2.0,0.0,0.0
821e5ffffffffff,1.0,0.0,0.0
821ea7fffffffff,12.0,1.0,0.0
821eb7fffffffff,2.0,0.0,0.0
821ec7fffffffff,5.0,0.0,0.0
821ecffffffffff,14.0,1.0,0.0
821ed7fffffffff,8.0,0.0,0.0
821edffffffffff,3.0,0.0,0.0
821eeffffffffff,3.0,0.0,0.0
821f07fffffffff,2.0,0.0,0.0
821f0ffffffffff,2.0,0.0,0.0
821f17fffffffff,2.0,0.0,0.0
821f2ffffffffff,8.0,6.0,0.0
821f37fffffffff,1.0,0.0,0.0
821f77fffffffff,1.0,0.0,0.0
821f87fffffffff,7.0,0.0,0.0
821f9ffffffffff,7.0,0.0,0.0
821fa7fffffffff,6.0,0.0,0.0
821faffffffffff,12.0,6.0,0.0
821fb7fffffffff,8.0,0.0,0.0
822017fffffffff,1.0,0.0,0.0
82204ffffffffff,3.0,3.0,0.0
822157fffffffff,4.0,2.0,0.0
82240ffffffffff,2.0,0.0,0.0
82242ffffffffff,1.0,0.0,0.0
822457fffffffff,3.0,0.0,0.0
822477fffffffff,1.0,1.0,0.0
8224d7fffffffff,2.0,0.0,0.0
822517fffffffff,5.0,5.0,0.0
822c07fffffffff,1.0,0.0,0.0
822c17fffffffff,1.0,0.0,0.0
822c2ffffffffff,5.0,3.0,0.0
822c57fffffffff,23.0,0.0,0.0
822c5ffffffffff,2.0,0.0,0.0
822c97fffffffff,4.0,0.0,0.0
822ce7fffffffff,2.0,0.0,0.0
822d07fffffffff,2.0,2.0,0.0
822d17fffffffff,2.0,2.0,0.0
822d1ffffffffff,3.0,2.0,0.0
822d37fffffffff,8.0,2.0,0.0
822d67fffffffff,1.0,0.0,0.0
822daffffffffff,6.0,0.0,0.0
822db7fffffffff,33.0,1.0,0.0
822e67fffffffff,2.0,0.0,0.0
822e8ffffffffff,1.0,0.0,0.0
822f5ffffffffff,6.0,0.0,0.0
823037fffffffff,2.0,2.0,0.0
82309ffffffffff,29.0,2.0,0.0
8230e7fffffffff,2.0,0.0,0.0
8230effffffffff,5.0,0.0,0.0
823187fffffffff,3.0,0.0,0.0
8231affffffffff,5.0,0.0,0.0
82344ffffffffff,11.0,11.0,0.0
823467fffffffff,3.0,0.0,0.0
82346ffffffffff,16.0,16.0,0.0
82351ffffffffff,34.0,0.0,0.0
823817fffffffff,1.0,1.0,0.0
823827fffffffff,1.0,0.0,0.0
823867fffffffff,20.0,0.0,0.0
823877fffffffff,36.0,0.0,0.0
823907fffffffff,256.0,18.0,0.0
82390ffffffffff,137.0,6.0,0.0
823917fffffffff,83.0,0.0,0.0
82391ffffffffff,27.0,0.0,0.0
823927fffffffff,58.0,3.0,0.0
82392ffffffffff,92.0,0.0,0.0
823937fffffffff,13.0,0.0,0.0
823947fffffffff,88.0,16.0,0.0
823957fffffffff,19.0,0.0,0.0
82395ffffffffff,10.0,2.0,0.0
82396ffffffffff,6.0,0.0,0.0
823977fffffffff,207.0,20.0,0.0
82399ffffffffff,2.0,0.0,0.0
8239affffffffff,9.0,0.0,0.0
823c07fffffffff,15.0,0.0,0.0
823c0ffffffffff,2.0,0.0,0.0
823c17fffffffff,2.0,0.0,0.0
823c1ffffffffff,64.0,0.0,7.0
823c37fffffffff,3.0,0.0,0.0
823c5ffffffffff,3.0,0.0,0.0
823c8ffffffffff,25.0,0.0,2.0
823c9ffffffffff,15.0,0.0,0.0
823caffffffffff,9.0,0.0,2.0
823cc7fffffffff,6.0,0.0,0.0
823ccffffffffff,3.0,0.0,0.0
823ce7fffffffff,5.0,0.0,2.0
823ceffffffffff,12.0,0.0,0.0
823cf7fffffffff,103.0,0.0,2.0
823d07fffffffff,11.0,0.0,0.0
823d27fffffffff,2.0,0.0,0.0
823d37fffffffff,12.0,0.0,0.0
823d87fffffffff,5.0,0.0,2.0
823d8ffffffffff,25.0,0.0,0.0
823d9ffffffffff,6.0,0.0,0.0
823daffffffffff,7.0,0.0,5.0
823db7fffffffff,2.0,0.0,0.0
823e67fffffffff,2.0,2.0,0.0
823e6ffffffffff,17.0,2.0,0.0
823f4ffffffffff,4.0,4.0,0.0
823f67fffffffff,3.0,0.0,0.0
823f6ffffffffff,2.0,0.0,0.0
82404ffffffffff,4.0,0.0,4.0
8240dffffffffff,2.0,0.0,0.0
82411ffffffffff,2.0,2.0,0.0
82415ffffffffff,2.0,0.0,0.0
82416ffffffffff,2.0,0.0,2.0
824177fffffffff,5.0,0.0,0.0
8241a7fffffffff,10.0,0.0,0.0
