cell_id,Sciaphylax hemimelaena,Sciaphylax hemimelaena hemimelaena,Sciaphylax hemimelaena pallens
828a07fffffffff,59.0,0.0,27.0
828a17fffffffff,4.0,0.0,0.0
828a1ffffffffff,2.0,0.0,0.0
828a27fffffffff,25.0,0.0,13.0
828a2ffffffffff,3.0,0.0,0.0
828a37fffffffff,6.0,0.0,6.0
828a47fffffffff,26.0,0.0,0.0
828a6ffffffffff,47.0,0.0,0.0
828a77fffffffff,4.0,0.0,0.0
828a87fffffffff,14.0,0.0,0.0
828a97fffffffff,2.0,0.0,0.0
828a9ffffffffff,15.0,0.0,0.0
828aaffffffffff,4.0,0.0,0.0
828ab7fffffffff,1.0,0.0,0.0
828ae7fffffffff,1.0,0.0,0.0
828b0ffffffffff,14.0,0.0,3.0
828b17fffffffff,12.0,0.0,1.0
828b1ffffffffff,4.0,0.0,2.0
828b27fffffffff,130.0,0.0,0.0
828b2ffffffffff,80.0,0.0,0.0
828b47fffffffff,1311.0,17.0,0.0
828b4ffffffffff,34.0,1.0,0.0
828b57fffffffff,79.0,5.0,0.0
828b5ffffffffff,124.0,43.0,0.0
828b67fffffffff,972.0,40.0,0.0
828b6ffffffffff,199.0,0.0,0.0
828b77fffffffff,185.0,0.0,0.0
828b87fffffffff,51.0,0.0,23.0
828b8ffffffffff,13.0,0.0,2.0
828b9ffffffffff,45.0,0.0,7.0
828ba7fffffffff,1.0,0.0,0.0
828baffffffffff,1.0,0.0,1.0
828e67fffffffff,27.0,0.0,0.0
828f47fffffffff,229.0,5.0,0.0
828f4ffffffffff,78.0,0.0,0.0
828f5ffffffffff,4.0,0.0,0.0
828f6ffffffffff,25.0,6.0,0.0
82b327fffffffff,14.0,0.0,0.0
