cell_id,Stercorarius antarcticus,Stercorarius antarcticus lonnbergi,Stercorarius antarcticus antarcticus,Stercorarius antarcticus hamiltoni
837b36fffffffff,1.0,0.0,0.0,0.0
8385b0fffffffff,1.0,0.0,0.0,0.0
83a221fffffffff,2.0,0.0,0.0,0.0
83a2aefffffffff,4.0,0.0,0.0,0.0
83a391fffffffff,2.0,0.0,0.0,0.0
83a726fffffffff,85.0,0.0,0.0,0.0
83ac12fffffffff,3.0,0.0,0.0,0.0
83acacfffffffff,2.0,2.0,0.0,0.0
83ad30fffffffff,1.0,0.0,0.0,0.0
83ad34fffffffff,138.0,73.0,0.0,0.0
83ad36fffffffff,87.0,43.0,0.0,0.0
83b913fffffffff,2.0,0.0,0.0,0.0
83b94bfffffffff,1.0,0.0,0.0,0.0
83bb29fffffffff,3.0,0.0,3.0,0.0
83bb36fffffffff,21.0,7.0,0.0,0.0
83bb53fffffffff,5.0,0.0,0.0,0.0
83bc09fffffffff,7.0,0.0,0.0,0.0
83bc0bfffffffff,2.0,0.0,0.0,0.0
83bc1bfffffffff,19.0,12.0,0.0,0.0
83bc44fffffffff,7.0,1.0,0.0,0.0
83bc45fffffffff,3.0,1.0,0.0,0.0
83bc65fffffffff,2.0,2.0,0.0,0.0
83bc68fffffffff,3.0,0.0,0.0,0.0
83bc69fffffffff,82.0,33.0,0.0,0.0
83bc6dfffffffff,10.0,7.0,0.0,0.0
83bc6efffffffff,2.0,0.0,0.0,0.0
83bc73fffffffff,5.0,5.0,0.0,0.0
83bd25fffffffff,2.0,2.0,0.0,0.0
83bd2efffffffff,3.0,0.0,0.0,0.0
83bd62fffffffff,9.0,3.0,0.0,0.0
83bd75fffffffff,2.0,2.0,0.0,0.0
83be08fffffffff,4.0,0.0,0.0,0.0
83be0cfffffffff,48.0,1.0,0.0,0.0
83be0dfffffffff,4.0,0.0,0.0,0.0
83be0efffffffff,135.0,2.0,0.0,0.0
83be1afffffffff,5.0,0.0,0.0,0.0
83be1dfffffffff,8.0,0.0,0.0,0.0
83be29fffffffff,59.0,8.0,0.0,0.0
83be2bfffffffff,4.0,0.0,0.0,0.0
83be63fffffffff,15.0,0.0,0.0,0.0
83be68fffffffff,45.0,7.0,0.0,0.0
83be69fffffffff,15.0,0.0,0.0,0.0
83be76fffffffff,2.0,0.0,0.0,0.0
83bea9fffffffff,1.0,0.0,0.0,0.0
83beabfffffffff,1.0,0.0,0.0,0.0
83bf4cfffffffff,196.0,45.0,0.0,0.0
83bf5bfffffffff,10.0,3.0,0.0,0.0
83c01efffffffff,11.0,0.0,0.0,9.0
83c0d4fffffffff,1.0,0.0,0.0,0.0
83c0e2fffffffff,2.0,0.0,0.0,2.0
83c203fffffffff,32.0,0.0,0.0,0.0
83c205fffffffff,6.0,0.0,0.0,0.0
83c215fffffffff,3.0,0.0,0.0,0.0
83c21afffffffff,2.0,0.0,0.0,0.0
83c21bfffffffff,14.0,0.0,0.0,0.0
83c21cfffffffff,13.0,0.0,0.0,0.0
83c21dfffffffff,1.0,0.0,0.0,0.0
