cell_id,Larus dominicanus,Larus dominicanus dominicanus,Larus dominicanus austrinus,Larus dominicanus judithae,Larus dominicanus vetula,Larus dominicanus melisandae
831943fffffffff,17.0,0.0,0.0,0.0,9.0,0.0
831aa0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8326aafffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832834fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8329a1fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
832a84fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832a86fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832aa8fffffffff,48.0,0.0,0.0,0.0,0.0,0.0
832ab3fffffffff,33.0,0.0,0.0,0.0,0.0,0.0
832b0cfffffffff,7.0,0.0,0.0,0.0,0.0,0.0
833911fffffffff,2.0,0.0,0.0,0.0,2.0,0.0
833922fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
833933fffffffff,7.0,0.0,0.0,0.0,4.0,0.0
833992fffffffff,3.0,0.0,0.0,0.0,2.0,0.0
83441afffffffff,4.0,0.0,0.0,0.0,0.0,0.0
834454fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
834455fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
834463fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83446cfffffffff,11.0,0.0,0.0,0.0,0.0,0.0
834473fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83450bfffffffff,11.0,0.0,0.0,0.0,0.0,0.0
834572fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
834833fffffffff,4.0,1.0,0.0,0.0,0.0,0.0
834892fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8348b2fffffffff,26.0,0.0,0.0,0.0,0.0,0.0
83541afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8354acfffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8354adfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8354c5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
835512fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
835f58fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
836620fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8366a1fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8366a5fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
