cell_id,Chalcites minutillus,Chalcites minutillus [minutillus Group],Chalcites minutillus [poecilurus Group],Chalcites minutillus rufomerus/salvadorii
836503fffffffff,8.0,0.0,0.0,0.0
836505fffffffff,2.0,0.0,0.0,0.0
83650efffffffff,1.0,0.0,0.0,0.0
836518fffffffff,12.0,0.0,0.0,0.0
836519fffffffff,6.0,0.0,0.0,0.0
83651cfffffffff,3.0,0.0,0.0,0.0
83651dfffffffff,51.0,0.0,0.0,0.0
836520fffffffff,19.0,0.0,0.0,0.0
836523fffffffff,3.0,0.0,0.0,0.0
836526fffffffff,18.0,0.0,0.0,0.0
836585fffffffff,1.0,0.0,0.0,0.0
836811fffffffff,8.0,0.0,0.0,0.0
836818fffffffff,4.0,0.0,0.0,0.0
836828fffffffff,4.0,0.0,0.0,0.0
836844fffffffff,2.0,0.0,0.0,0.0
839451fffffffff,1.0,0.0,0.0,0.0
839480fffffffff,2.0,2.0,0.0,0.0
8394edfffffffff,2.0,2.0,0.0,0.0
83956dfffffffff,5.0,0.0,0.0,0.0
839c05fffffffff,1.0,0.0,0.0,0.0
839c0efffffffff,1.0,1.0,0.0,0.0
839c23fffffffff,9.0,3.0,4.0,0.0
839cd3fffffffff,4.0,0.0,0.0,0.0
83be89fffffffff,3.0,0.0,0.0,0.0
83be8dfffffffff,4.0,0.0,0.0,0.0
83beabfffffffff,3.0,0.0,0.0,0.0
83bef0fffffffff,5.0,0.0,0.0,0.0
83bef2fffffffff,2.0,0.0,0.0,0.0
83bef6fffffffff,2.0,0.0,0.0,0.0
