cell_id,Pheucticus aureoventris,Pheucticus aureoventris meridensis,Pheucticus aureoventris crissalis,Pheucticus aureoventris uropygialis/terminalis,Pheucticus aureoventris aureoventris
82660ffffffffff,592.0,0.0,0.0,1.0,0.0
82661ffffffffff,1.0,0.0,0.0,0.0,0.0
82662ffffffffff,24.0,4.0,0.0,0.0,0.0
8266c7fffffffff,7.0,0.0,0.0,0.0,0.0
8266d7fffffffff,208.0,0.0,6.0,0.0,0.0
8266dffffffffff,4.0,0.0,0.0,0.0,0.0
8266e7fffffffff,1911.0,0.0,0.0,31.0,0.0
828b07fffffffff,3.0,0.0,0.0,0.0,0.0
828b17fffffffff,5.0,0.0,0.0,0.0,0.0
828b27fffffffff,625.0,0.0,0.0,0.0,0.0
828b2ffffffffff,122.0,0.0,0.0,0.0,0.0
828b37fffffffff,5.0,0.0,0.0,0.0,0.0
828b57fffffffff,2.0,0.0,0.0,0.0,0.0
828b67fffffffff,1121.0,0.0,0.0,86.0,0.0
828b6ffffffffff,246.0,0.0,0.0,0.0,0.0
828b77fffffffff,25.0,0.0,0.0,0.0,0.0
828bb7fffffffff,14.0,0.0,0.0,0.0,0.0
828e67fffffffff,69.0,0.0,0.0,0.0,0.0
828e6ffffffffff,478.0,0.0,0.0,3.0,0.0
828f2ffffffffff,136.0,0.0,5.0,0.0,0.0
828f5ffffffffff,1.0,0.0,0.0,0.0,0.0
82a85ffffffffff,2.0,0.0,0.0,0.0,0.0
82a86ffffffffff,5.0,0.0,0.0,0.0,0.0
82a94ffffffffff,2.0,0.0,0.0,0.0,0.0
82a95ffffffffff,1.0,0.0,0.0,0.0,0.0
82b247fffffffff,15.0,0.0,0.0,0.0,0.0
82b257fffffffff,2.0,0.0,0.0,0.0,0.0
82b25ffffffffff,154.0,0.0,0.0,0.0,0.0
82b277fffffffff,233.0,0.0,0.0,0.0,0.0
82b327fffffffff,117.0,0.0,0.0,0.0,0.0
82b32ffffffffff,7.0,0.0,0.0,0.0,0.0
82b347fffffffff,695.0,0.0,0.0,0.0,0.0
82b34ffffffffff,9.0,0.0,0.0,0.0,0.0
82b357fffffffff,333.0,0.0,0.0,0.0,0.0
82b35ffffffffff,964.0,0.0,0.0,0.0,0.0
82b367fffffffff,114.0,0.0,0.0,0.0,0.0
82b36ffffffffff,9.0,0.0,0.0,0.0,0.0
82b377fffffffff,1.0,0.0,0.0,0.0,0.0
